block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,10.434000015258789,delay,49565.99998474121,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),32677.5,A,enter,I,enter,10384,,10433.09999999404,22244.40000000596,,DWL,A,1
8,14.200000047683716,delay,45799.999952316284,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),36443.59999999404,A,enter,I,enter,3747,,3764.0,32679.59999999404,,DWL,A,2
8,27.134000062942505,delay,32865.999937057495,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),49377.20000000298,A,delayedrecallthreeenter,I,enter,122,,12932.5,36444.70000000298,,DWL,A,3
8,32.134000062942505,delay,27865.999937057495,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),54377.40000000596,A,delayedrecallfourenter,I,enter,176,,4999.300000011921,49378.09999999404,,DWL,A,4
8,33.50099992752075,delay,26499.000072479248,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),55744.20000000298,A,enter,I,enter,1329,,1365.6000000089407,54378.59999999404,,DWL,A,5
8,33.634000062942505,delay,26365.999937057495,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),55877.5,A,enter,I,enter,99,,132.0,55745.5,,DWL,A,6
8,33.76699995994568,delay,26233.00004005432,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),56011.0,A,enter,I,enter,106,,132.09999999403954,55878.90000000596,,DWL,A,7
8,33.89999985694885,delay,26100.000143051147,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),56144.09999999404,A,enter,I,enter,107,,131.69999998807907,56012.40000000596,,DWL,A,8
8,34.03399991989136,delay,25966.000080108643,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),56277.5,A,enter,I,enter,114,,132.0,56145.5,,DWL,A,9
8,34.16700005531311,delay,25832.99994468689,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),56410.70000000298,A,enter,I,enter,113,,131.90000000596046,56278.79999999702,,DWL,A,10
8,34.33399987220764,delay,25666.00012779236,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),56577.29999999702,A,enter,I,enter,124,,165.70000000298023,56411.59999999404,,DWL,A,11
8,34.467000007629395,delay,25532.999992370605,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),56711.0,A,enter,I,enter,96,,132.40000000596046,56578.59999999404,,DWL,A,12
8,34.6010000705719,delay,25398.9999294281,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),56844.40000000596,A,enter,I,enter,102,,132.20000000298023,56712.20000000298,,DWL,A,13
8,34.73399996757507,delay,25266.000032424927,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),56977.40000000596,A,enter,I,enter,106,,131.80000001192093,56845.59999999404,,DWL,A,14
8,34.86699986457825,delay,25133.000135421753,Sun Jun 07 2026 18:52:56 GMT-0500 (Central Daylight Time),57110.70000000298,A,enter,I,enter,103,,132.0,56978.70000000298,,DWL,A,15
