acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,-192,92072,CFD-BM-250-170-N.jpg,Sam,64,I,None,3015,,3015,,,1,,4026,-416,-256,88046,,FN,C,,62697,,,1,192,-320,-224
1,prac,1,1,,344.0273127123553,-4.368584131457856,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,32,96673,CFD-WM-255-219-N.jpg,John,64,I,1,1509,,1509,,,2,,2530,224,-32,94143,,FN,C,,68796,,,2,192,320,0
2,prac,1,1,,-303.61775534614213,221.70650707951847,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,256,99305,CFD-LF-208-127-N.jpg,Tina,64,I,1,1577,,1577,,,3,,2587,-416,192,96718,,FN,C,,71362,,,3,192,-320,224
3,prac,1,1,,315.6314075360974,-228.25937494426051,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,-192,101504,CFD-BM-250-170-N.jpg,Sam,64,I,1,1178,,1178,,,4,,2195,224,-256,99309,,FN,C,,73962,,,4,192,320,-224
4,prac,1,1,,-363.6860162959184,-10.921485325978908,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,104038,CFD-WM-255-219-N.jpg,John,64,I,1,1508,,1508,,,5,,2531,-416,-32,101507,,FN,C,,76162,,,5,192,-320,0
5,prac,1,1,,329.82936012422635,234.81230946856058,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,105971,CFD-LF-208-127-N.jpg,Tina,64,I,1,915,,915,,,6,,1931,224,192,104040,,FN,C,,78695,,,6,192,320,224
0,prac,1,0,m,329.82936012422635,234.81230946856058,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,132437,CFD-WM-255-219-N.jpg,Sam,64,I,None,4016,,,4016,,1,,5033,224,192,127404,,FN,C,,,102061,,1,192,320,224
1,prac,1,1,z,329.82936012422635,234.81230946856058,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,136570,CFD-LF-208-127-N.jpg,Tina,64,I,z,2341,,,2341,,3,,4130,224,192,132440,,FN,C,,,107094,,2,192,320,224
2,prac,1,1,m,329.82936012422635,234.81230946856058,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,139853,CFD-BM-250-170-N.jpg,John,64,I,m,1484,,,1484,,2,,3279,224,192,136574,,FN,C,,,111227,,3,192,320,224
1,learn,1,1,,-307.9863561424895,221.70650707951847,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,256,158018,CFD-BF-207-004-N.jpg,Lisa,64,I,1,1718,1718,,,,9,,2735,-416,192,155283,,FN,C,129926,,,,1,192,-320,224
2,learn,1,1,,366.96246689317894,-6.552884529631541,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,32,160568,CFD-WF-212-050-N.jpg,Nichole,64,I,1,1472,1472,,,,29,,2490,224,-32,158078,,FN,C,132726,,,,2,192,320,0
3,learn,1,1,,325.460759327879,-226.07507454608682,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,-192,162935,CFD-WM-252-224-N.jpg,Carl,64,I,1,1324,1324,,,,22,,2335,224,-256,160600,,FN,C,135242,,,,3,192,320,-224
4,learn,1,1,,-266.4846485771895,-197.6791693698289,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,-192,166018,CFD-WM-224-197-N.jpg,Chris,64,I,1,1993,1993,,,,19,,3007,-416,-256,163011,,FN,C,137659,,,,4,192,-320,-224
5,learn,1,1,,325.460759327879,209.69285488956322,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,168551,CFD-BF-239-180-N.jpg,Sarah,64,I,1,1464,1464,,,,12,,2471,224,192,166080,,FN,C,140725,,,,5,192,320,224
6,learn,1,1,,-303.61775534614213,-219.52217335156575,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,-192,171651,CFD-BM-216-088-N.jpg,David,64,I,1,2052,2052,,,,7,,3070,-416,-256,168581,,FN,C,143225,,,,6,192,-320,-224
7,learn,1,1,,328.7372099251395,207.50855449138953,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,174467,CFD-BM-243-218-N.jpg,Brian,64,I,1,1763,1763,,,,6,,2776,224,192,171691,,FN,C,146342,,,,7,192,320,224
8,learn,1,1,,-306.89420594340265,224.982957676779,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,256,177000,CFD-LF-217-082-N.jpg,Irene,64,I,1,1461,1461,,,,45,,2480,-416,192,174520,,FN,C,149175,,,,8,192,-320,224
9,learn,1,1,,322.18430873061845,209.69285488956322,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,179801,CFD-LF-210-220-N.jpg,Helen,64,I,1,1741,1741,,,,48,,2769,224,192,177032,,FN,C,151691,,,,9,192,320,224
10,learn,1,1,,302.5256051470553,12.013668854844777,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,32,182450,CFD-WM-230-131-N.jpg,Paul,64,I,1,1590,1590,,,,17,,2614,224,-32,179836,,FN,C,154491,,,,10,192,320,0
11,learn,1,1,,313.4471071379237,-228.25937494426051,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,-192,185117,CFD-WF-224-099-N.jpg,Kate,64,I,1,1602,1602,,,,28,,2629,224,-256,182488,,FN,C,157141,,,,11,192,320,-224
12,learn,1,1,,-353.85666450413686,-209.6928215597842,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,-192,187867,CFD-WF-229-004-N.jpg,Julie,64,I,1,1686,1686,,,,25,,2716,-416,-256,185151,,FN,C,159807,,,,12,192,-320,-224
13,learn,1,1,,-360.4095656986579,-221.70647374973944,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,-192,190416,CFD-LM-208-110-N.jpg,Richard,64,I,1,1483,1483,,,,37,,2497,-416,-256,187919,,FN,C,162573,,,,13,192,-320,-224
14,learn,1,1,,-322.18430873061845,230.4437086722132,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,256,192816,CFD-BF-227-137-N.jpg,Lucy,64,I,1,1362,1362,,,,15,,2367,-416,192,190449,,FN,C,165091,,,,14,192,-320,224
15,learn,1,1,,369.14676729135266,221.70650707951847,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,195066,CFD-LF-219-223-N.jpg,Jane,64,I,1,1196,1196,,,,42,,2214,224,192,192852,,FN,C,167507,,,,15,192,320,224
16,learn,1,1,,321.0921585315316,-210.78497175887102,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,-192,197599,CFD-BF-227-137-N.jpg,Lucy,64,I,1,1504,1504,,,,16,,2531,224,-256,195068,,FN,C,169723,,,,16,192,320,-224
17,learn,1,1,,-346.21161311052896,4.368617461236881,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,200216,CFD-LF-200-058-N.jpg,Cindy,64,I,1,1553,1553,,,,44,,2575,-416,-32,197641,,FN,C,172290,,,,17,192,-320,0
18,learn,1,1,,-364.7781664950053,-230.44367534243418,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,-192,202799,CFD-BM-239-136-N.jpg,Mark,64,I,1,1535,1535,,,,1,,2556,-416,-256,200243,,FN,C,174890,,,,18,192,-320,-224
19,learn,1,1,,-370.2389174904395,-14.197935923239436,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,205099,CFD-BM-216-088-N.jpg,David,64,I,1,1271,1271,,,,8,,2299,-416,-32,202800,,FN,C,177457,,,,19,192,-320,0
20,learn,1,1,,-360.4095656986579,204.232103894129,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,256,207515,CFD-WF-224-099-N.jpg,Kate,64,I,1,1393,1393,,,,27,,2410,-416,192,205105,,FN,C,179756,,,,20,192,-320,224
21,learn,1,1,,334.1979609205737,-208.60067136069733,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,-192,210065,CFD-LM-212-143-N.jpg,Peter,64,I,1,1514,1514,,,,34,,2518,224,-256,207547,,FN,C,182189,,,,21,192,320,-224
22,learn,1,1,,350.58021390687634,-2.184283733284172,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,32,212865,CFD-WM-240-125-N.jpg,Mike,64,I,1,1748,1748,,,,23,,2764,224,-32,210101,,FN,C,184755,,,,22,192,320,0
23,learn,1,1,,348.3959135087027,2.184317063063197,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,32,215681,CFD-LF-219-223-N.jpg,Jane,64,I,1,1791,1791,,,,41,,2814,224,-32,212867,,FN,C,187523,,,,23,192,320,0
24,learn,1,1,,341.8430123141816,-199.8634697680026,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,-192,218532,CFD-LM-202-072-N.jpg,Robert,64,I,1,1801,1801,,,,40,,2818,224,-256,215714,,FN,C,190356,,,,24,192,320,-224
25,learn,1,1,,-318.90785813335793,-4.368584131457856,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,220798,CFD-LM-208-110-N.jpg,Richard,64,I,1,1242,1242,,,,38,,2264,-416,-32,218534,,FN,C,193188,,,,25,192,-320,0
26,learn,1,1,,322.18430873061845,-6.552884529631541,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,32,223381,CFD-LM-237-264-N.jpg,Jack,64,I,1,1519,1519,,,,35,,2542,224,-32,220839,,FN,C,195489,,,,26,192,320,0
27,learn,1,1,,-313.4471071379237,-18.566536719586804,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,225930,CFD-BM-239-136-N.jpg,Mark,64,I,1,1532,1532,,,,2,,2547,-416,-32,223383,,FN,C,198038,,,,27,192,-320,0
28,learn,1,1,,357.1331151013974,230.4437086722132,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,228498,CFD-LM-237-264-N.jpg,Jack,64,I,1,1540,1540,,,,36,,2565,224,192,225933,,FN,C,200589,,,,28,192,320,224
29,learn,1,1,,-303.61775534614213,-4.368584131457856,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,230880,CFD-WM-224-197-N.jpg,Chris,64,I,1,1353,1353,,,,20,,2378,-416,-32,228502,,FN,C,203154,,,,29,192,-320,0
30,learn,1,1,,373.51536808770004,-5.460734330544699,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,32,232997,CFD-BF-239-180-N.jpg,Sarah,64,I,1,1093,1093,,,,11,,2114,224,-32,230883,,FN,C,205538,,,,30,192,320,0
31,learn,1,1,,-330.92151032331316,-223.89077414791313,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,-192,235431,CFD-LF-200-058-N.jpg,Cindy,64,I,1,1400,1400,,,,43,,2432,-416,-256,232999,,FN,C,207654,,,,31,192,-320,-224
32,learn,1,1,,277.4061505680579,-245.73377812964998,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,-192,237581,CFD-BF-207-004-N.jpg,Lisa,64,I,1,1120,1120,,,,10,,2148,224,-256,235433,,FN,C,210089,,,,32,192,320,-224
33,learn,1,1,,-310.1706565406632,-242.45732753238946,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,-192,240013,CFD-WF-244-163-N.jpg,Rachel,64,I,1,1360,1360,,,,31,,2383,-416,-256,237630,,FN,C,212288,,,,33,192,-320,-224
34,learn,1,1,,365.87031669409214,-7.645034728718382,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,32,242547,CFD-BM-243-218-N.jpg,Brian,64,I,1,1506,1506,,,,5,,2531,224,-32,240016,,FN,C,214671,,,,34,192,320,0
35,learn,1,1,,291.60410315618685,-230.44367534243418,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,-192,245180,CFD-BM-240-207-N.jpg,George,64,I,1,1560,1560,,,,4,,2577,224,-256,242603,,FN,C,217255,,,,35,192,320,-224
36,learn,1,1,,-303.61775534614213,-214.06142235613154,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,-192,247913,CFD-BF-243-164-N.jpg,Emily,64,I,1,1659,1659,,,,13,,2683,-416,-256,245230,,FN,C,219887,,,,36,192,-320,-224
37,learn,1,1,,338.56656171692106,220.61435688043164,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,250412,CFD-WM-230-131-N.jpg,Paul,64,I,1,1425,1425,,,,18,,2447,224,192,247965,,FN,C,222620,,,,37,192,320,224
38,learn,1,1,,-341.8430123141816,-5.460734330544699,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,252846,CFD-BF-243-164-N.jpg,Emily,64,I,1,1407,1407,,,,14,,2431,-416,-32,250415,,FN,C,225069,,,,38,192,-320,0
39,learn,1,1,,298.1570043507079,-4.368584131457856,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,32,255146,CFD-LF-210-220-N.jpg,Helen,64,I,1,1244,1244,,,,47,,2256,224,-32,252890,,FN,C,227536,,,,39,192,320,0
40,learn,1,1,,332.0136605224,226.07510787586585,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,257329,CFD-WF-212-050-N.jpg,Nichole,64,I,1,1117,1117,,,,30,,2139,224,192,255190,,FN,C,229836,,,,40,192,320,224
41,learn,1,1,,-312.35495693883684,216.24575608408426,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,256,259346,CFD-BM-240-207-N.jpg,George,64,I,1,987,987,,,,3,,2015,-416,192,257331,,FN,C,231987,,,,41,192,-320,224
42,learn,1,1,,-300.3413047488816,221.70650707951847,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,256,261828,CFD-WM-252-224-N.jpg,Carl,64,I,1,1415,1415,,,,21,,2430,-416,192,259398,,FN,C,234053,,,,42,192,-320,224
43,learn,1,1,,307.9863561424895,212.96930548682374,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,256,264062,CFD-WM-240-125-N.jpg,Mike,64,I,1,1200,1200,,,,24,,2231,224,192,261831,,FN,C,236486,,,,43,192,320,224
44,learn,1,1,,298.1570043507079,-243.5494777314763,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),416,-192,266145,CFD-LF-217-082-N.jpg,Irene,64,I,1,1010,1010,,,,46,,2030,224,-256,264115,,FN,C,238769,,,,44,192,320,-224
45,learn,1,1,,-274.1296999707974,-14.197935923239436,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,268128,CFD-WF-229-004-N.jpg,Julie,64,I,1,963,963,,,,26,,1981,-416,-32,266147,,FN,C,240802,,,,45,192,-320,0
46,learn,1,1,,-329.82936012422635,229.35155847312637,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,256,270429,CFD-LM-212-143-N.jpg,Peter,64,I,1,1271,1271,,,,33,,2299,-416,192,268130,,FN,C,242789,,,,46,192,-320,224
47,learn,1,1,,-303.61775534614213,219.52220668134478,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,256,272728,CFD-LM-202-072-N.jpg,Robert,64,I,1,1273,1273,,,,39,,2291,-416,192,270437,,FN,C,245085,,,,47,192,-320,224
48,learn,1,1,,-322.18430873061845,-14.197935923239436,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,275329,CFD-WF-244-163-N.jpg,Rachel,64,I,1,1566,1566,,,,32,,2598,-416,-32,272731,,FN,C,247386,,,,48,192,-320,0
0,test,1,0,m,-322.18430873061845,-14.197935923239436,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,363422,CFD-LM-202-072-N.jpg,Jack,64,I,z,2053,,,,2053.0,20,,3079,-416,-32,360343,,FN,C,,,,334997.0,1,192,-320,0
1,test,1,1,z,-322.18430873061845,-14.197935923239436,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,365939,CFD-WM-252-224-N.jpg,Carl,64,I,z,1483,,,,1483.0,11,,2508,-416,-32,363431,,FN,C,,,,338080.0,2,192,-320,0
1,test,1,0,m,-322.18430873061845,-14.197935923239436,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,368522,CFD-WF-244-163-N.jpg,Rachel,64,I,z,1509,,,,1509.0,16,,2523,-416,-32,365999,,FN,C,,,,340646.0,3,192,-320,0
2,test,1,1,z,-322.18430873061845,-14.197935923239436,Mon Jun 08 2026 15:02:36 GMT-0600 (Mountain Daylight Time),-224,32,370639,CFD-BM-243-218-N.jpg,Brian,64,I,z,1080,,,,1080.0,3,,2091,-416,-32,368548,,FN,C,,,,343198.0,4,192,-320,0
