acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),23587.20000001788,O,z,2054,,,2,yes,,3560.300000011921,20026.90000000596,NBGFSM,NBGFSM,,LC,A,,,1
1,1,0.0,prac,0,m,30000.0,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),26719.09999999404,O,z,1590,,,3,no,,3123.899999976158,23595.20000001788,QHZXPC,QHZWPC,,LC,A,,,2
2,1,0.0,prac,1,m,30000.0,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),29533.59999999404,O,m,1287,,,1,no,,2810.0999999940395,26723.5,RNV,FNV,,LC,A,,,3
3,1,0.0,prac,1,z,30000.0,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),32367.59999999404,O,z,1303,,,4,yes,,2828.699999988079,29538.90000000596,RSM,RSM,,LC,A,,,4
4,1,0.0,prac,1,z,30000.0,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),40181.0,O,z,6275,,,6,yes,,7807.0999999940395,32373.90000000596,CSDBFPHXZ,CSDBFPHXZ,,LC,A,,,5
5,1,0.0,prac,1,m,30000.0,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),46513.0,O,m,4812,,,5,no,,6322.5,40190.5,LNDPRSKQB,LNDPRSJQB,,LC,A,,,6
1,1,1.5340001583099365,test,1,m,28465.999841690063,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),53310.90000000596,O,m,1525,1525,,1,no,,1529.5999999940395,51781.30000001192,HCF,RCF,,LC,A,50104,,1
2,1,4.9120001792907715,test,1,m,25087.99982070923,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),56691.30000001192,O,m,3367,3367,,2,no,,3375.9000000059605,53315.40000000596,QTPRJX,QTPNJX,,LC,A,51638,,2
3,1,9.394999980926514,test,1,m,20605.000019073486,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),61174.0,O,m,4475,4475,,3,no,,4478.5,56695.5,MZDYGVGKQ,MZDYGLBKQ,,LC,A,55018,,3
4,1,11.377000093460083,test,1,m,18622.999906539917,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),63156.20000001788,O,m,1975,1975,,4,no,,1977.9000000059605,61178.30000001192,FQTNMK,JQTNMK,,LC,A,59501,,4
5,1,12.544000148773193,test,1,z,17455.999851226807,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),64323.40000000596,O,z,1156,1156,,5,yes,,1163.9000000059605,63159.5,CLJ,CLJ,,LC,A,61482,,5
5,1,16.4760000705719,test,0,m,13523.9999294281,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),68255.5,O,z,3916,3916,,6,no,,3928.699999988079,64326.80000001192,JGDMNSVPW,JGZMNSVPW,,LC,A,62649,,6
6,1,21.02400016784668,test,1,z,8975.99983215332,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),72803.70000001788,O,z,4533,4533,,7,yes,,4543.300000011921,68260.40000000596,FPTVHKCBJ,FPTVHKCBJ,,LC,A,66583,,7
7,1,22.32200002670288,test,1,m,7677.999973297119,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),74101.70000001788,O,m,1289,1289,,8,no,,1293.5,72808.20000001788,XRPZBS,ZRPBDH,,LC,A,71131,,8
8,1,24.039999961853027,test,1,m,5960.000038146973,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),75819.5,O,m,1706,1706,,9,no,,1715.5,74104.0,ZSQ,ZSP,,LC,A,72426,,9
9,1,26.805000066757202,test,1,z,3194.999933242798,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),78584.5,O,z,2755,2755,,10,yes,,2762.0,75822.5,MPZRXL,MPZRXL,,LC,A,74145,,10
10,1,28.105000019073486,test,1,m,1894.9999809265137,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),79884.0,O,m,1286,1286,,11,no,,1296.0999999940395,78587.90000000596,KJH,KRH,,LC,A,76910,,11
10,1,30.021000146865845,test,0,z,-21.000146865844727,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),81800.80000001192,O,None,1911,1911,,12,yes,,1911.0999999940395,79889.70000001788,SMNHVTFCB,SMNHVTFCB,,LC,A,78212,,12
1,2,4.496999979019165,test,1,z,25503.000020980835,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),87664.80000001192,O,z,4486,,4486.0,1,yes,,7775.0999999940395,79889.70000001788,PRDBZTYFN,PRDBZTYFN,,LC,A,,81494.0,1
1,2,6.447999954223633,test,0,m,23552.000045776367,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),89615.0,O,z,1934,,1934.0,2,no,,9725.299999982119,79889.70000001788,NCWJDZ,NCMJDZ,,LC,A,,85990.0,2
2,2,7.664000034332275,test,1,m,22335.999965667725,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),90831.20000001788,O,m,1207,,1207.0,3,no,,10941.5,79889.70000001788,KHW,KBW,,LC,A,,87942.0,3
3,2,10.38100004196167,test,1,m,19618.99995803833,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),93548.40000000596,O,m,2704,,2704.0,4,no,,13658.699999988079,79889.70000001788,ZRBGMF,ZRBCMF,,LC,A,,89156.0,4
4,2,11.345999956130981,test,1,m,18654.00004386902,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),94513.90000000596,O,m,946,,946.0,5,no,,14624.199999988079,79889.70000001788,BTH,BYH,,LC,A,,91874.0,5
4,2,14.67900013923645,test,0,z,15320.99986076355,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),97846.40000000596,O,m,3316,,3316.0,6,yes,,17956.69999998808,79889.70000001788,XWKQRYCNZ,XWKQRYCNZ,,LC,A,,92840.0,6
5,2,16.978000164031982,test,1,z,13021.999835968018,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),100145.0,O,z,2280,,2280.0,7,yes,,20255.29999998212,79889.70000001788,HNPDLK,HNPDLK,,LC,A,,96172.0,7
6,2,20.259999990463257,test,1,m,9740.000009536743,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),103427.20000001788,O,m,3277,,3277.0,8,no,,23537.5,79889.70000001788,WMQTRSGLZ,WMQTRZGLZ,,LC,A,,98472.0,8
7,2,21.292999982833862,test,1,z,8707.000017166138,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),104460.59999999404,O,z,1020,,1020.0,9,yes,,24570.899999976158,79889.70000001788,JPN,JPN,,LC,A,,101753.0,9
8,2,24.092000007629395,test,1,m,5907.9999923706055,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),107259.09999999404,O,m,2786,,2786.0,10,no,,27369.399999976158,79889.70000001788,QLXSVT,QLNSVT,,LC,A,,102786.0,10
9,2,28.10800004005432,test,1,z,1891.9999599456787,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),111275.70000001788,O,z,4005,,4005.0,11,yes,,31386.0,79889.70000001788,YXHKZVFPB,YXHKZVFPD,,LC,A,,105583.0,11
10,2,29.307000160217285,test,1,z,692.9998397827148,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),112474.70000001788,O,z,1180,,1180.0,12,yes,,32585.0,79889.70000001788,RJZ,RJZ,,LC,A,,109601.0,12
10,2,30.006999969482422,test,0,z,-6.999969482421875,Fri Feb 20 2026 14:29:16 GMT-0600 (Central Standard Time),113174.0,O,None,695,,695.0,13,yes,,33284.29999998212,79889.70000001788,CLNPZD,CLNPZD,,LC,A,,110801.0,13
