acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),,093_m_f_n_a.png,I,space,19615,1,,,,,NNB,C,0
1,prac,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),272894.0,098_y_f_n_a.png,I,m,1524,2,,2300.0,270594.0,,NNB,C,1
2,prac,1,1.0,1-Back,1.0,z,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),274711.0,098_y_f_n_a.png,I,z,937,3,,1810.0,272901.0,,NNB,C,2
3,prac,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),276276.0,059_o_m_n_a.png,I,m,780,4,,1552.0,274724.0,,NNB,C,3
4,prac,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),278177.0,092_m_m_n_a.png,I,m,864,5,,1743.0,276434.0,,NNB,C,4
5,prac,1,1.0,1-Back,1.0,z,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),279693.0,092_m_m_n_a.png,I,z,663,6,,1511.0,278182.0,,NNB,C,5
6,prac,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),281476.0,130_o_f_n_a.png,I,m,714,7,,1591.0,279885.0,,NNB,C,6
7,prac,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),283059.0,082_m_m_n_a.png,I,m,691,8,,1577.0,281482.0,,NNB,C,7
8,prac,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),284677.0,093_m_f_n_a.png,I,m,769,9,,1611.0,283066.0,,NNB,C,8
9,prac,1,1.0,1-Back,1.0,z,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),286110.0,093_m_f_n_a.png,I,z,577,10,,1430.0,284680.0,,NNB,C,9
10,prac,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),287742.0,059_o_m_n_a.png,I,m,780,11,,1628.0,286114.0,,NNB,C,10
11,prac,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),289543.0,028_y_f_n_a.png,I,m,902,12,,1796.0,287747.0,,NNB,C,11
0,test,1,0.0,1-Back,,,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),289543.0,098_y_f_n_a.png,I,space,17250,1,,1796.0,287747.0,,NNB,C,0
1,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),319174.0,006_m_f_n_a.png,I,m,845,2,,1944.0,317230.0,,NNB,C,1
2,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),321274.0,028_y_f_n_a.png,I,m,1006,3,,2096.0,319178.0,,NNB,C,2
3,test,1,1.0,1-Back,1.0,z,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),323024.0,028_y_f_n_a.png,I,z,661,4,,1747.0,321277.0,,NNB,C,3
4,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),324941.0,006_m_f_n_a.png,I,m,884,5,,1913.0,323028.0,,NNB,C,4
5,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),326957.0,059_o_m_n_a.png,I,m,921,6,,2010.0,324947.0,,NNB,C,5
6,test,1,1.0,1-Back,1.0,z,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),328724.0,059_o_m_n_a.png,I,z,678,7,,1764.0,326960.0,,NNB,C,6
7,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),330507.0,092_m_m_n_a.png,I,m,692,8,,1781.0,328726.0,,NNB,C,7
8,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),332357.0,130_o_f_n_a.png,I,m,749,9,,1847.0,330510.0,,NNB,C,8
9,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),334240.0,092_m_m_n_a.png,I,m,802,10,,1881.0,332359.0,,NNB,C,9
10,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),336140.0,057_y_m_n_a.png,I,m,724,11,,1741.0,334399.0,,NNB,C,10
11,test,1,1.0,1-Back,1.0,z,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),337806.0,057_y_m_n_a.png,I,z,571,12,,1663.0,336143.0,,NNB,C,11
12,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),339673.0,030_o_f_n_a.png,I,m,618,13,,1703.0,337970.0,,NNB,C,12
13,test,1,1.0,1-Back,1.0,z,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),341356.0,030_o_f_n_a.png,I,z,575,14,,1680.0,339676.0,,NNB,C,13
14,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),343272.0,031_y_m_n_a.png,I,m,669,15,,1751.0,341521.0,,NNB,C,14
15,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),344989.0,093_m_f_n_a.png,I,m,640,16,,1711.0,343278.0,,NNB,C,15
16,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),346889.0,146_o_m_n_a.png,I,m,672,17,,1747.0,345142.0,,NNB,C,16
17,test,1,0.0,1-Back,1.0,m,Mon Jun 08 2026 14:46:44 GMT-0600 (Mountain Daylight Time),348789.0,093_m_f_n_a.png,I,m,810,18,,1896.0,346893.0,,NNB,C,17
