Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
7,1,prac,1,A,circle.png,1,m,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),57794.5,1700,O,m,987,6,,3461.5,54333.0,,NTS,A,1
9,2,prac,1,A,circle.png,1,m,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),60842.59999999404,1500,O,m,752,8,,3040.699999988079,57801.90000000596,,NTS,A,2
6,3,prac,1,A,circle.png,1,m,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),64375.29999998212,1900,O,m,831,5,,3525.5,60849.79999998212,,NTS,A,3
1,4,prac,1,A,circle.png,1,z,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),67041.69999998808,1000,O,z,881,1,,2659.0999999940395,64382.59999999404,,NTS,A,4
2,5,prac,1,A,circle.png,1,z,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),70974.29999998212,2000,O,z,1132,2,,3925.699999988079,67048.59999999404,,NTS,A,5
3,6,prac,1,A,circle.png,1,z,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),73771.90000000596,1200,O,z,802,3,,2790.9000000059605,70981.0,,NTS,A,6
4,7,prac,1,A,circle.png,1,z,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),76786.90000000596,1400,O,z,828,4,,3008.600000023842,73778.29999998212,,NTS,A,7
8,8,prac,1,A,circle.png,1,m,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),80002.69999998808,1600,O,m,829,7,,3209.2999999821186,76793.40000000596,,NTS,A,8
6,9,prac,1,A,circle.png,1,m,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),83734.79999998212,1900,O,m,1040,5,,3725.2999999821186,80009.5,,NTS,A,9
7,10,prac,1,A,circle.png,1,m,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),87533.09999999404,1700,O,m,1298,6,,3793.0,83740.09999999404,,NTS,A,10
1,11,prac,1,A,circle.png,1,z,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),90065.59999999404,1000,O,z,737,1,,2525.199999988079,87540.40000000596,,NTS,A,11
3,12,prac,1,A,circle.png,1,z,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),92798.69999998808,1200,O,z,741,3,,2724.2999999821186,90074.40000000596,,NTS,A,12
3,1,prac,1,B,triangle.png,1,z,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),137334.5,1600,O,z,1134,3,,3507.5,133827.0,,NTS,A,1
1,2,prac,1,B,triangle.png,1,z,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),140900.5,1900,O,z,877,1,,3559.0999999940395,137341.40000000596,,NTS,A,2
9,3,prac,1,B,triangle.png,1,z,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),144165.40000000596,1400,O,z,1075,8,,3258.100000023842,140907.29999998212,,NTS,A,3
8,4,prac,1,B,triangle.png,1,m,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),147198.40000000596,1200,O,m,1034,7,,3026.300000011921,144172.09999999404,,NTS,A,4
6,5,prac,1,B,triangle.png,1,m,Fri Feb 20 2026 13:02:32 GMT-0600 (Central Standard Time),149829.29999998212,1000,O,m,841,5,,2625.2999999821186,147204.0,,NTS,A,5
