acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),31240.800000190735,I,z,2533,,,1,yes,,4058.199999809265,27182.60000038147,practrial1.png,practrial1.png,,PC,B,,,1
2,1,0.0,prac,1,m,30000.0,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),33753.800000190735,I,m,983,,,6,no,,2505.3999996185303,31248.400000572205,practrial6.png,practrial6b.png,,PC,B,,,2
3,1,0.0,prac,1,z,30000.0,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),36284.300000190735,I,z,1005,,,3,yes,,2524.300000190735,33760.0,practrial3.png,practrial3.png,,PC,B,,,3
4,1,0.0,prac,1,z,30000.0,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),39415.900000572205,I,z,1608,,,5,yes,,3124.699999809265,36291.20000076294,practrial5.png,practrial5.png,,PC,B,,,4
5,1,0.0,prac,1,m,30000.0,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),42178.900000572205,I,m,1226,,,4,no,,2757.199999809265,39421.70000076294,practrial4.png,practrial4b.png,,PC,B,,,5
6,1,0.0,prac,1,m,30000.0,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),44844.400000572205,I,m,1139,,,2,no,,2659.5,42184.900000572205,practrial2.png,practrial2b.png,,PC,B,,,6
1,1,1.9649999141693115,test,1,z,28035.00008583069,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),49206.10000038147,I,z,1946,1946,,1,yes,,1960.8999996185303,47245.20000076294,test1trial1.png,test1trial1.png,,PC,B,36368,,1
2,1,3.1640000343322754,test,1,m,26835.999965667725,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),50405.300000190735,I,m,1191,1191,,2,no,,1194.3999996185303,49210.900000572205,test1trial2.png,test1trial2b.png,,PC,B,38334,,2
3,1,4.2790000438690186,test,1,z,25720.99995613098,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),51520.20000076294,I,z,1107,1107,,3,yes,,1110.1000003814697,50410.10000038147,test1trial3.png,test1trial3.png,,PC,B,39533,,3
4,1,5.227999925613403,test,1,m,24772.000074386597,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),52469.300000190735,I,m,930,930,,4,no,,944.6999998092651,51524.60000038147,test1trial4.png,test1trial4b.png,,PC,B,40648,,4
5,1,6.444000005722046,test,1,z,23555.999994277954,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),53684.70000076294,I,z,1199,1199,,5,yes,,1211.0,52473.70000076294,test1trial5.png,test1trial5.png,,PC,B,41597,,5
6,1,7.542999982833862,test,1,m,22457.000017166138,Sun Jun 07 2026 19:16:09 GMT-0500 (Central Daylight Time),54783.800000190735,I,m,1078,1078,,6,no,,1094.6999998092651,53689.10000038147,test1trial6.png,test1trial6b.png,,PC,B,42813,,6
