Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,1,prac,1,1,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),224487.69999999995,I,z,1584,1,,16.bmp,-120,-120,17.bmp,120,-120,18.bmp,-120,120,19.bmp,120,120,10412.600000000093,214075.09999999986,,yes,SM,B,16.bmp,-120,-120,56525,50496,58542,52509,,,,,1
3,0,0,1,0,1,prac,1,0,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),234504.2999999998,I,z,1200,2,,20.bmp,-120,-120,21.bmp,120,-120,22.bmp,-120,120,23.bmp,120,120,10010.699999999953,224493.59999999986,,no,SM,B,23.bmp,-120,120,66942,60915,68959,62926,,,,,2
4,0,0,0,1,2,prac,1,1,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),244137.59999999986,I,m,814,3,,24.bmp,-120,-120,25.bmp,120,-120,26.bmp,-120,120,27.bmp,120,120,9628.0,234509.59999999986,,no,SM,B,24.bmp,120,120,76959,70931,78976,72942,,,,,3
2,0,1,0,0,2,prac,1,0,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),254037.5,I,m,1070,4,,28.bmp,-120,-120,29.bmp,120,-120,30.bmp,-120,120,31.bmp,120,120,9896.0,244141.5,,yes,SM,B,29.bmp,120,-120,86592,80563,88609,82576,,,,,4
3,0,0,1,0,2,prac,1,0,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),263687.5,I,m,818,5,,32.bmp,-120,-120,33.bmp,120,-120,34.bmp,-120,120,35.bmp,120,120,9645.0,254042.5,,yes,SM,B,34.bmp,-120,120,96492,90464,98509,92475,,,,,5
1,1,0,0,0,2,prac,1,0,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),274520.8999999999,I,None,2016,6,,36.bmp,-120,-120,37.bmp,120,-120,38.bmp,-120,120,39.bmp,120,120,10829.199999999953,263691.69999999995,,no,SM,B,39.bmp,-120,-120,106142,100113,108159,102125,,,,,6
2,0,1,0,0,2,prac,1,0,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),284320.7999999998,I,z,975,7,,40.bmp,-120,-120,41.bmp,120,-120,42.bmp,-120,120,43.bmp,120,120,9794.699999999953,274526.09999999986,,no,SM,B,40.bmp,120,-120,116975,110947,118992,112959,,,,,7
4,0,0,0,1,2,prac,1,0,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),293838.09999999986,I,m,694,8,,44.bmp,-120,-120,45.bmp,120,-120,46.bmp,-120,120,47.bmp,120,120,9512.5,284325.59999999986,,yes,SM,B,47.bmp,120,120,126775,120747,128793,122759,,,,,8
4,0,0,0,1,0,test,1,0,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),308888.3999999999,I,None,2016,1,,48.bmp,-120,-120,49.bmp,120,-120,50.bmp,-120,120,43.bmp,120,120,10057.600000000093,298830.7999999998,,yes,SM,B,50.bmp,120,120,126775,120747,128793,122759,141276.0,135252.0,143293.0,137260.0,1
2,0,1,0,0,1,test,1,1,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),317688.09999999986,I,m,736,2,,1.bmp,-120,-120,2.bmp,120,-120,3.bmp,-120,120,4.bmp,120,120,8791.09999999986,308897.0,,yes,SM,B,3.bmp,120,-120,126775,120747,128793,122759,151342.0,145318.0,153360.0,147326.0,2
1,1,0,0,0,1,test,1,0,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),326387.59999999986,I,m,639,3,,5.bmp,-120,-120,6.bmp,120,-120,7.bmp,-120,120,8.bmp,120,120,8691.09999999986,317696.5,,yes,SM,B,5.bmp,-120,-120,126775,120747,128793,122759,160142.0,154118.0,162160.0,156126.0,3
3,0,0,1,0,2,test,1,1,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),335371.19999999995,I,m,932,4,,9.bmp,-120,-120,10.bmp,120,-120,11.bmp,-120,120,12.bmp,120,120,8979.699999999953,326391.5,,yes,SM,B,9.bmp,-120,120,126775,120747,128793,122759,168843.0,162813.0,170860.0,164826.0,4
2,0,1,0,0,2,test,1,0,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),344171.0,I,m,748,5,,13.bmp,-120,-120,14.bmp,120,-120,15.bmp,-120,120,16.bmp,120,120,8790.700000000186,335380.2999999998,,yes,SM,B,14.bmp,120,-120,126775,120747,128793,122759,177826.0,171801.0,179843.0,173810.0,5
3,0,0,1,0,2,test,1,0,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),352804.3999999999,I,m,570,6,,17.bmp,-120,-120,18.bmp,120,-120,19.bmp,-120,120,20.bmp,120,120,8626.600000000093,344177.7999999998,,yes,SM,B,19.bmp,-120,120,126775,120747,128793,122759,186626.0,180599.0,188644.0,182610.0,6
4,0,0,0,1,2,test,1,0,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),361554.69999999995,I,m,691,7,,21.bmp,-120,-120,22.bmp,120,-120,23.bmp,-120,120,24.bmp,120,120,8745.699999999953,352809.0,,yes,SM,B,24.bmp,120,120,126775,120747,128793,122759,195259.0,189230.0,197276.0,191243.0,7
2,0,1,0,0,3,test,1,1,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),370804.59999999986,I,m,1189,8,,25.bmp,-120,-120,26.bmp,120,-120,27.bmp,-120,120,28.bmp,120,120,9243.5,361561.09999999986,,yes,SM,B,25.bmp,120,-120,126775,120747,128793,122759,204009.0,197982.0,206026.0,199993.0,8
3,0,0,1,0,4,test,1,1,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),379871.19999999995,I,m,1011,9,,29.bmp,-120,-120,30.bmp,120,-120,31.bmp,-120,120,32.bmp,120,120,9059.0,370812.19999999995,,yes,SM,B,30.bmp,-120,120,126775,120747,128793,122759,213259.0,207233.0,215276.0,209243.0,9
4,0,0,0,1,4,test,1,0,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),389238.09999999986,I,m,1305,10,,37.bmp,-120,-120,38.bmp,120,-120,39.bmp,-120,120,40.bmp,120,120,9358.800000000047,379879.2999999998,,yes,SM,B,40.bmp,120,120,126775,120747,128793,122759,222326.0,216301.0,224343.0,218309.0,10
3,0,0,1,0,4,test,1,0,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),399221.2999999998,I,m,1921,11,,33.bmp,-120,-120,34.bmp,120,-120,35.bmp,-120,120,36.bmp,120,120,9975.0,389246.2999999998,,yes,SM,B,35.bmp,-120,120,126775,120747,128793,122759,231692.0,225668.0,233710.0,227676.0,11
2,0,1,0,0,5,test,1,1,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),408404.69999999995,I,m,1123,12,,41.bmp,-120,-120,42.bmp,120,-120,43.bmp,-120,120,44.bmp,120,120,9174.800000000047,399229.8999999999,,yes,SM,B,41.bmp,120,-120,126775,120747,128793,122759,241676.0,235651.0,243693.0,237660.0,12
3,0,0,1,0,6,test,1,1,m,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),417287.8999999999,I,m,819,13,,45.bmp,-120,-120,46.bmp,120,-120,47.bmp,-120,120,48.bmp,120,120,8876.0,408411.8999999999,,yes,SM,B,46.bmp,-120,120,126775,120747,128793,122759,250859.0,244833.0,252876.0,246843.0,13
1,1,0,0,0,7,test,1,1,z,Wed Nov 12 2025 14:44:21 GMT-0500 (Eastern Standard Time),426054.69999999995,I,z,703,14,,49.bmp,-120,-120,50.bmp,120,-120,4.bmp,-120,120,1.bmp,120,120,8757.199999999953,417297.5,,yes,SM,B,49.bmp,-120,-120,126775,120747,128793,122759,259742.0,253719.0,261759.0,255726.0,14
