acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),,124_o_f_d_a.png,I,space,1400,1,,,,,VNB,A,0
0,prac,1,0.0,1-Back,0.0,m,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),273359.9,071_y_f_n_a.png,I,None,2012,2,,2831.5999999999767,270528.30000000005,,VNB,A,1
1,prac,1,0.0,1-Back,1.0,m,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),274309.80000000005,165_m_m_h_a.png,I,m,84,3,,929.0,273380.80000000005,,VNB,A,2
1,prac,1,0.0,1-Back,0.0,m,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),277159.6,109_y_m_d_a.png,I,None,2008,4,,2831.5999999999767,274328.0,,VNB,A,3
2,prac,1,0.0,1-Back,1.0,m,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),278043.1,124_o_f_n_a.png,I,m,2,5,,855.3999999999069,277187.70000000007,,VNB,A,4
3,prac,1,1.0,1-Back,1.0,z,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),279860.0,109_y_m_n_a.png,I,z,959,6,,1797.0999999999767,278062.9,,VNB,A,5
4,prac,1,0.0,1-Back,1.0,m,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),281559.1,039_o_m_h_a.png,I,m,862,7,,1674.5999999999767,279884.5,,VNB,A,6
4,prac,1,0.0,1-Back,0.0,m,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),282943.0,139_m_f_d_a.png,I,z,545,8,,1368.6999999999534,281574.30000000005,,VNB,A,7
4,prac,1,1.0,1-Back,0.0,z,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),284309.6,071_y_f_d_a.png,I,m,535,9,,1349.0999999999767,282960.5,,VNB,A,8
5,prac,1,0.0,1-Back,1.0,m,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),285592.70000000007,165_m_m_n_a.png,I,m,447,10,,1265.9000000000233,284326.80000000005,,VNB,A,9
5,prac,1,0.0,1-Back,0.0,m,Wed Nov 12 2025 14:12:27 GMT-0500 (Eastern Standard Time),287076.4,124_o_f_h_a.png,I,z,622,11,,1472.4000000000233,285604.0,,VNB,A,10
