acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),53202.09999996424,CFD-WF-013-009-HC.jpg,1500,solid,I,m,964,11,3,3248.899999976158,49953.19999998808,8017,ATS,C,1
2,prac,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),56168.09999996424,CFD-WM-035-036-HC.jpg,1700,solid,I,m,475,9,3,6214.899999976158,49953.19999998808,8017,ATS,C,2
3,prac,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),58367.09999996424,CFD-WF-023-013-A.jpg,1000,solid,I,z,400,12,3,8413.899999976158,49953.19999998808,8017,ATS,C,3
4,prac,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),61234.19999998808,CFD-BM-043-014-A.jpg,1600,solid,I,z,474,2,3,11281.0,49953.19999998808,8017,ATS,C,4
5,prac,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),64781.69999998808,CFD-BF-019-004-HC.jpg,2000,solid,I,m,751,5,3,14828.5,49953.19999998808,8017,ATS,C,5
6,prac,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),67747.69999998808,CFD-WF-037-016-A.jpg,1600,solid,I,z,571,10,3,17794.5,49953.19999998808,8017,ATS,C,6
7,prac,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),70613.5,CFD-WM-028-005-HC.jpg,1400,solid,I,m,669,7,3,20660.30000001192,49953.19999998808,8017,ATS,C,7
8,prac,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),73812.5,CFD-WM-036-018-A.jpg,1900,solid,I,z,503,8,3,23859.30000001192,49953.19999998808,8017,ATS,C,8
9,prac,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),76261.69999998808,CFD-BF-031-020-A.jpg,1000,solid,I,z,660,4,3,26308.5,49953.19999998808,8017,ATS,C,9
10,prac,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),78744.09999996424,CFD-BF-002-018-A.jpg,1200,solid,I,z,499,6,3,28790.899999976158,49953.19999998808,8017,ATS,C,10
11,prac,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),81626.79999995232,CFD-BM-022-004-HC.jpg,1500,solid,I,m,588,3,3,31673.599999964237,49953.19999998808,8017,ATS,C,11
12,prac,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),84692.29999995232,CFD-BM-034-035-HC.jpg,1700,solid,I,m,579,1,3,34739.09999996424,49953.19999998808,8017,ATS,C,12
1,prac,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),101138.29999995232,CFD-WM-035-036-HC.jpg,1600,10,I,m,914,dash,3,3300.099999964237,97838.19999998808,8017,ATS,C,1
2,prac,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),104586.09999996424,CFD-WM-034-040-A.jpg,1200,6,I,m,1464,dash,3,6747.899999976158,97838.19999998808,8017,ATS,C,2
3,prac,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),107951.59999996424,CFD-BF-042-031-HC.jpg,1500,3,I,z,1066,dash,3,10113.399999976158,97838.19999998808,8017,ATS,C,3
4,prac,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),111050.69999998808,CFD-BM-021-026-A.jpg,1600,2,I,m,713,dash,3,13212.5,97838.19999998808,8017,ATS,C,4
5,prac,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),113650.0,CFD-BF-031-020-A.jpg,1000,4,I,z,806,dash,3,15811.800000011921,97838.19999998808,8017,ATS,C,5
6,prac,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),116415.89999997616,CFD-WF-037-016-A.jpg,1500,11,I,z,466,dash,3,18577.69999998808,97838.19999998808,8017,ATS,C,6
7,prac,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),119831.29999995232,CFD-WF-001-010-HC.jpg,1900,8,I,z,717,dash,3,21993.099999964237,97838.19999998808,8017,ATS,C,7
8,prac,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),122230.59999996424,CFD-WF-013-009-HC.jpg,1000,12,I,z,601,dash,3,24392.399999976158,97838.19999998808,8017,ATS,C,8
9,prac,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),125646.39999997616,CFD-BM-022-004-HC.jpg,1700,1,I,m,927,dash,3,27808.19999998808,97838.19999998808,8017,ATS,C,9
10,prac,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),128795.09999996424,CFD-WM-036-018-A.jpg,1700,9,I,m,663,dash,3,30956.899999976158,97838.19999998808,8017,ATS,C,10
11,prac,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),132077.29999995232,CFD-BM-043-014-A.jpg,2000,5,I,m,487,dash,3,34239.09999996424,97838.19999998808,8017,ATS,C,11
12,prac,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),134843.19999998808,CFD-BF-019-004-HC.jpg,1400,7,I,z,579,dash,3,37005.0,97838.19999998808,8017,ATS,C,12
1,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),148272.5,CFD-WM-035-036-HC.jpg,1700,solid,I,m,510,9,3,2232.7000000476837,146039.79999995232,8017,ATS,C,1
2,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),150421.69999998808,CFD-WM-035-036-HC.jpg,1700,solid,I,m,429,9,3,4381.900000035763,146039.79999995232,8017,ATS,C,2
3,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),152654.5,CFD-WF-037-016-A.jpg,1600,solid,I,z,604,10,3,6614.700000047684,146039.79999995232,8017,ATS,C,3
3,test,1,A,haborder.png,0,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),155086.79999995232,CFD-BM-043-014-A.jpg,1600,solid,I,m,810,2,3,9047.0,146039.79999995232,8017,ATS,C,4
4,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),156821.5,CFD-WF-023-013-A.jpg,1000,solid,I,z,717,12,3,10781.700000047684,146039.79999995232,8017,ATS,C,5
5,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),159269.0,CFD-WF-013-009-HC.jpg,1500,solid,I,m,929,11,3,13229.200000047684,146039.79999995232,8017,ATS,C,6
6,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),161301.5,CFD-BM-022-004-HC.jpg,1500,solid,I,m,512,3,3,15261.700000047684,146039.79999995232,8017,ATS,C,7
7,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),163884.29999995232,CFD-WF-013-009-HC.jpg,1500,solid,I,m,1056,11,3,17844.5,146039.79999995232,8017,ATS,C,8
8,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),166716.59999996424,CFD-BF-019-004-HC.jpg,2000,solid,I,m,812,5,3,20676.80000001192,146039.79999995232,8017,ATS,C,9
9,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),168449.5,CFD-WF-023-013-A.jpg,1000,solid,I,z,701,12,3,22409.700000047684,146039.79999995232,8017,ATS,C,10
10,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),170765.39999997616,CFD-BM-043-014-A.jpg,1600,solid,I,z,688,2,3,24725.600000023842,146039.79999995232,8017,ATS,C,11
11,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),172598.19999998808,CFD-BF-002-018-A.jpg,1200,solid,I,z,611,6,3,26558.400000035763,146039.79999995232,8017,ATS,C,12
12,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),175347.19999998808,CFD-BF-019-004-HC.jpg,2000,solid,I,m,730,5,3,29307.400000035763,146039.79999995232,8017,ATS,C,13
13,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),177412.79999995232,CFD-BM-022-004-HC.jpg,1500,solid,I,m,545,3,3,31373.0,146039.79999995232,8017,ATS,C,14
14,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),180245.5,CFD-WM-036-018-A.jpg,1900,solid,I,z,903,8,3,34205.700000047684,146039.79999995232,8017,ATS,C,15
15,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),181928.29999995232,CFD-BF-031-020-A.jpg,1000,solid,I,z,646,4,3,35888.5,146039.79999995232,8017,ATS,C,16
16,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),183394.69999998808,CFD-BF-031-020-A.jpg,1000,solid,I,z,440,4,3,37354.90000003576,146039.79999995232,8017,ATS,C,17
17,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),185094.0,CFD-BF-002-018-A.jpg,1200,solid,I,z,470,6,3,39054.200000047684,146039.79999995232,8017,ATS,C,18
18,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),187260.0,CFD-WF-037-016-A.jpg,1600,solid,I,z,547,10,3,41220.200000047684,146039.79999995232,8017,ATS,C,19
19,test,1,A,haborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),189659.5,CFD-WM-036-018-A.jpg,1900,solid,I,z,473,8,3,43619.700000047684,146039.79999995232,8017,ATS,C,20
20,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),192125.29999995232,CFD-BM-034-035-HC.jpg,1700,solid,I,m,745,1,3,46085.5,146039.79999995232,8017,ATS,C,21
21,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),194624.5,CFD-BM-034-035-HC.jpg,1700,solid,I,m,767,1,3,48584.700000047684,146039.79999995232,8017,ATS,C,22
22,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),196557.29999995232,CFD-WM-028-005-HC.jpg,1400,solid,I,m,504,7,3,50517.5,146039.79999995232,8017,ATS,C,23
23,test,1,A,haborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),198406.59999996424,CFD-WM-028-005-HC.jpg,1400,solid,I,m,427,7,3,52366.80000001192,146039.79999995232,8017,ATS,C,24
1,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),207737.0,CFD-BF-042-031-HC.jpg,1500,dash,I,z,1000,3,3,2532.300000011921,205204.69999998808,8017,ATS,C,1
2,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),210385.89999997616,CFD-BM-043-014-A.jpg,2000,dash,I,m,631,5,3,5181.199999988079,205204.69999998808,8017,ATS,C,2
3,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),213868.5,CFD-BM-043-014-A.jpg,2000,dash,I,m,1461,5,3,8663.800000011921,205204.69999998808,8017,ATS,C,3
4,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),216401.0,CFD-WM-035-036-HC.jpg,1600,dash,I,m,900,10,3,11196.300000011921,205204.69999998808,8017,ATS,C,4
5,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),218333.69999998808,CFD-BF-019-004-HC.jpg,1400,dash,I,z,511,7,3,13129.0,205204.69999998808,8017,ATS,C,5
6,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),220999.59999996424,CFD-BM-021-026-A.jpg,1600,dash,I,m,1044,2,3,15794.899999976158,205204.69999998808,8017,ATS,C,6
7,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),222732.19999998808,CFD-WF-013-009-HC.jpg,1000,dash,I,z,713,12,3,17527.5,205204.69999998808,8017,ATS,C,7
8,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),225614.89999997616,CFD-WM-036-018-A.jpg,1700,dash,I,m,1161,9,3,20410.19999998808,205204.69999998808,8017,ATS,C,8
9,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),227564.19999998808,CFD-WF-013-009-HC.jpg,1000,dash,I,z,930,12,3,22359.5,205204.69999998808,8017,ATS,C,9
10,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),229696.59999996424,CFD-BM-021-026-A.jpg,1600,dash,I,m,509,2,3,24491.899999976158,205204.69999998808,8017,ATS,C,10
11,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),232145.69999998808,CFD-WF-001-010-HC.jpg,1900,dash,I,z,532,8,3,26941.0,205204.69999998808,8017,ATS,C,11
12,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),233745.5,CFD-BF-031-020-A.jpg,1000,dash,I,z,574,4,3,28540.80000001192,205204.69999998808,8017,ATS,C,12
13,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),235911.59999996424,CFD-WF-037-016-A.jpg,1500,dash,I,z,643,11,3,30706.899999976158,205204.69999998808,8017,ATS,C,13
14,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),238244.29999995232,CFD-WF-037-016-A.jpg,1500,dash,I,z,806,11,3,33039.59999996424,205204.69999998808,8017,ATS,C,14
15,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),240626.5,CFD-WM-034-040-A.jpg,1200,dash,I,m,1165,6,3,35421.80000001192,205204.69999998808,8017,ATS,C,15
16,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),243642.19999998808,CFD-WM-035-036-HC.jpg,1600,dash,I,m,1397,10,3,38437.5,205204.69999998808,8017,ATS,C,16
16,test,1,B,mfborder.png,0,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),246175.0,CFD-BF-031-020-A.jpg,1000,dash,I,None,1516,4,3,40970.30000001192,205204.69999998808,8017,ATS,C,17
17,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),248441.0,CFD-BF-042-031-HC.jpg,1500,dash,I,z,734,3,3,43236.30000001192,205204.69999998808,8017,ATS,C,18
18,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),250890.39999997616,CFD-BM-022-004-HC.jpg,1700,dash,I,m,724,1,3,45685.69999998808,205204.69999998808,8017,ATS,C,19
19,test,1,B,mfborder.png,1,z,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),253339.39999997616,CFD-WF-001-010-HC.jpg,1900,dash,I,z,531,8,3,48134.69999998808,205204.69999998808,8017,ATS,C,20
20,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),255955.39999997616,CFD-WM-036-018-A.jpg,1700,dash,I,m,897,9,3,50750.69999998808,205204.69999998808,8017,ATS,C,21
21,test,1,B,mfborder.png,1,m,Thu Aug 14 2025 11:52:55 GMT-0500 (Central Daylight Time),257604.79999995232,CFD-WM-034-040-A.jpg,1200,dash,I,m,430,6,3,52400.09999996424,205204.69999998808,8017,ATS,C,22
