Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
9,1,prac,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),67212.5,1500,I,m,962,8,3,3242.5,63970.0,8018,NTS,A,1
1,2,prac,1,A,circle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),69728.30000019073,1000,I,z,724,1,3,2508.2000002861023,67220.09999990463,8018,NTS,A,2
9,3,prac,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),72693.90000009537,1500,I,m,667,8,3,2960.300000190735,69733.59999990463,8018,NTS,A,3
6,4,prac,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),76342.80000019073,1900,I,m,950,5,3,3642.800000190735,72700.0,8018,NTS,A,4
3,5,prac,1,A,circle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),78958.69999980927,1200,I,z,625,3,3,2610.0,76348.69999980927,8018,NTS,A,5
8,6,prac,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),82058.59999990463,1600,I,m,714,7,3,3093.5999999046326,78965.0,8018,NTS,A,6
6,7,prac,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),85473.09999990463,1900,I,m,732,5,3,3409.199999809265,82063.90000009537,8018,NTS,A,7
1,8,prac,1,A,circle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),87839.09999990463,1000,I,z,567,1,3,2360.7999997138977,85478.30000019073,8018,NTS,A,8
7,9,prac,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),91138.19999980927,1700,I,m,813,6,3,3294.199999809265,87844.0,8018,NTS,A,9
2,10,prac,1,A,circle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),94603.5,2000,I,z,679,2,3,3459.699999809265,91143.80000019073,8018,NTS,A,10
7,11,prac,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),97752.80000019073,1700,I,m,665,6,3,3143.300000190735,94609.5,8018,NTS,A,11
4,12,prac,1,A,circle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),100668.40000009537,1400,I,z,719,4,3,2910.5999999046326,97757.80000019073,8018,NTS,A,12
4,1,prac,1,B,triangle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),133408.30000019073,1500,I,m,941,4,3,3226.6000003814697,130181.69999980927,8018,NTS,A,1
2,2,prac,1,B,triangle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),136840.40000009537,1700,I,m,948,2,3,3425.300000190735,133415.09999990463,8018,NTS,A,2
7,3,prac,1,B,triangle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),140322.69999980927,2000,I,z,688,6,3,3475.0999999046326,136847.59999990463,8018,NTS,A,3
1,4,prac,1,B,triangle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),143821.59999990463,1900,I,z,802,1,3,3493.4000000953674,140328.19999980927,8018,NTS,A,4
3,5,prac,1,B,triangle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),147003.80000019073,1600,I,z,787,3,3,3177.1000003814697,143826.69999980927,8018,NTS,A,5
8,6,prac,1,B,triangle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),149619.69999980927,1200,I,m,628,7,3,2610.199999809265,147009.5,8018,NTS,A,6
4,7,prac,1,B,triangle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),152718.69999980927,1500,I,m,809,4,3,3094.0,149624.69999980927,8018,NTS,A,7
2,8,prac,1,B,triangle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),156067.69999980927,1700,I,m,862,2,3,3344.0,152723.69999980927,8018,NTS,A,8
9,9,prac,1,B,triangle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),159033.5,1400,I,z,782,8,3,2960.4000000953674,156073.09999990463,8018,NTS,A,9
6,10,prac,1,B,triangle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),161699.40000009537,1000,I,m,871,5,3,2660.5,159038.90000009537,8018,NTS,A,10
3,11,prac,1,B,triangle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),164798.30000019073,1600,I,z,701,3,3,3093.4000000953674,161704.90000009537,8018,NTS,A,11
6,12,prac,1,B,triangle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),167214.09999990463,1000,I,m,627,5,3,2410.4000000953674,164803.69999980927,8018,NTS,A,12
7,1,test,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),190423.59999990463,1700,I,m,1009,6,3,2728.0999999046326,187695.5,8018,NTS,A,1
6,2,test,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),193039.5,1900,I,m,684,5,3,2611.4000000953674,190428.09999990463,8018,NTS,A,2
3,3,test,1,A,circle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),194888.59999990463,1200,I,z,625,3,3,1845.0999999046326,193043.5,8018,NTS,A,3
4,4,test,1,A,circle.png,1,z,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),197421.30000019073,1400,I,z,1111,4,3,2528.4000000953674,194892.90000009537,8018,NTS,A,4
9,5,test,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),199487.30000019073,1500,I,m,543,8,3,2062.0,197425.30000019073,8018,NTS,A,5
9,6,test,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),201570.90000009537,1500,I,m,565,8,3,2080.0,199490.90000009537,8018,NTS,A,6
9,7,test,1,A,circle.png,1,m,Thu Oct 23 2025 17:49:09 GMT-0500 (Central Daylight Time),203786.0,1500,I,m,690,8,3,2211.300000190735,201574.69999980927,8018,NTS,A,7
