Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,270,140,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),,box1,yes,I,1,,,,8023,DSST,C,,,,0,160,113
O,1,1,0.0,6,prac,yes,1,6,120000.0,295,147,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),95828.40000000037,box6,yes,I,1,,3384.300000000745,92444.09999999963,8023,DSST,C,,,,1,160,113
L,2,1,0.0,4,prac,yes,1,4,120000.0,309,154,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),99577.20000000112,box4,yes,I,1,,2974.0,96603.20000000112,8023,DSST,C,,,,2,160,113
T,3,1,0.0,2,prac,yes,1,2,120000.0,294,148,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),104275.70000000112,box2,yes,I,1,,3924.7000000011176,100351.0,8023,DSST,C,,,,3,160,113
^,4,1,0.0,7,prac,yes,1,7,120000.0,219,141,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),108275.40000000037,box7,yes,I,1,,3226.699999999255,105048.70000000112,8023,DSST,C,,,,4,160,113
+,5,1,0.0,9,prac,yes,1,9,120000.0,259,146,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),112573.0,box9,yes,I,1,,3525.5999999996275,109047.40000000037,8023,DSST,C,,,,5,160,113
),6,1,0.0,3,prac,yes,1,3,120000.0,327,143,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),116338.5,box3,yes,I,1,,2991.5999999996275,113346.90000000037,8023,DSST,C,,,,6,160,113
X,7,1,0.0,8,prac,yes,1,8,120000.0,303,152,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),120355.0,box8,yes,I,1,,3243.2999999988824,117111.70000000112,8023,DSST,C,,,,7,160,113
-,8,1,0.0,1,prac,yes,1,1,120000.0,308,144,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),124052.80000000075,box1,yes,I,1,,2926.5,121126.30000000075,8023,DSST,C,,,,8,160,113
U,9,1,0.0,5,prac,yes,1,5,120000.0,264,141,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),127818.09999999963,box5,yes,I,1,,2992.0999999996275,124826.0,8023,DSST,C,,,,9,160,113
T,1,1,2.621000051498413,2,test,yes,1,2,117378.99994850159,273,150,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),140681.0,box2,yes,I,1,,2610.5999999996275,138070.40000000037,8023,DSST,C,135698.0,136374.0,133763.0,1,160,113
-,2,1,5.377000093460083,1,test,yes,1,1,114622.99990653992,304,147,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),143435.70000000112,box1,yes,I,1,,2739.5,140696.20000000112,8023,DSST,C,138679.0,139129.0,136389.0,2,160,113
),3,1,8.28600001335144,3,test,yes,1,3,111713.99998664856,271,149,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),146345.70000000112,box3,yes,I,1,,2895.4000000003725,143450.30000000075,8023,DSST,C,141194.0,142039.0,139143.0,3,160,113
^,4,1,11.217999935150146,7,test,yes,1,7,108782.00006484985,266,148,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),149278.09999999963,box7,yes,I,1,,2921.5,146356.59999999963,8023,DSST,C,144195.0,144971.0,142050.0,4,160,113
T,5,1,14.120000123977661,2,test,yes,1,2,105879.99987602234,282,147,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),152178.5,box2,yes,I,1,,2888.9000000003725,149289.59999999963,8023,DSST,C,147025.0,147871.0,144983.0,5,160,113
L,6,1,16.70199990272522,4,test,yes,1,4,103298.00009727478,258,139,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),154761.5,box4,yes,I,1,,2571.9000000003725,152189.59999999963,8023,DSST,C,149691.0,150454.0,147883.0,6,160,113
X,7,1,19.58299994468689,8,test,yes,1,8,100417.00005531311,277,148,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),157642.30000000075,box8,yes,I,1,,2870.0999999996275,154772.20000000112,8023,DSST,C,152541.0,153335.0,150465.0,7,160,113
T,8,1,22.098000049591064,2,test,yes,1,2,97901.99995040894,339,146,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),160158.30000000075,box2,yes,I,1,,2505.5,157652.80000000075,8023,DSST,C,154958.0,155851.0,153346.0,8,160,113
-,9,1,24.64800000190735,1,test,yes,1,1,95351.99999809265,360,153,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),162707.5,box1,yes,I,1,,2538.7999999988824,160168.70000000112,8023,DSST,C,157540.0,158401.0,155862.0,9,160,113
),10,1,27.579999923706055,3,test,yes,1,3,92420.00007629395,299,142,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),165639.70000000112,box3,yes,I,1,,2922.0,162717.70000000112,8023,DSST,C,160504.0,161333.0,158411.0,10,160,113
T,11,1,30.36299991607666,2,test,yes,1,2,89637.00008392334,271,141,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),168422.59999999963,box2,yes,I,1,,2772.0,165650.59999999963,8023,DSST,C,163270.0,164116.0,161344.0,11,160,113
-,12,1,32.628000020980835,1,test,yes,1,1,87371.99997901917,370,157,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),170688.30000000075,box1,yes,I,1,,2255.300000000745,168433.0,8023,DSST,C,165770.0,166381.0,164126.0,12,160,113
L,13,1,35.194000005722046,4,test,yes,1,4,84805.99999427795,295,148,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),173254.09999999963,box4,yes,I,1,,2555.39999999851,170698.70000000112,8023,DSST,C,168202.0,168947.0,166392.0,13,160,113
T,14,1,38.54299998283386,2,test,yes,1,2,81457.00001716614,330,146,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),176602.90000000037,box2,yes,I,1,,3338.5999999996275,173264.30000000075,8023,DSST,C,171286.0,172296.0,168957.0,14,160,113
),15,1,41.27500009536743,3,test,yes,1,3,78724.99990463257,196,124,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),179335.59999999963,box3,yes,I,1,,2722.0999999996275,176613.5,8023,DSST,C,174384.0,175029.0,172306.0,15,160,113
U,16,1,43.907999992370605,5,test,yes,1,5,76092.0000076294,201,150,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),181968.40000000037,box5,yes,I,1,,2622.199999999255,179346.20000000112,8023,DSST,C,176900.0,177661.0,175039.0,16,160,113
T,17,1,46.44000005722046,2,test,yes,1,2,73559.99994277954,271,134,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),184500.5,box2,yes,I,1,,2522.0,181978.5,8023,DSST,C,179332.0,180193.0,177671.0,17,160,113
),18,1,49.12299990653992,3,test,yes,1,3,70877.00009346008,251,154,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),187183.09999999963,box3,yes,I,1,,2672.2999999988824,184510.80000000075,8023,DSST,C,182165.0,182876.0,180204.0,18,160,113
-,19,1,51.371999979019165,1,test,yes,1,1,68628.00002098083,347,141,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),189432.40000000037,box1,yes,I,1,,2239.9000000003725,187192.5,8023,DSST,C,184331.0,185125.0,182885.0,19,160,113
L,20,1,53.88800001144409,4,test,yes,1,4,66111.99998855591,288,152,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),191948.09999999963,box4,yes,I,1,,2504.199999999255,189443.90000000037,8023,DSST,C,186880.0,187641.0,185137.0,20,160,113
+,21,1,57.63700008392334,9,test,yes,1,9,62362.99991607666,353,150,Mon Nov 03 2025 15:38:55 GMT-0600 (Central Standard Time),195697.20000000112,box9,yes,I,1,,3738.60000000149,191958.59999999963,8023,DSST,C,190445.0,191390.0,187652.0,21,160,113
