Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,0,prac,1,0,z,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),112761.60000002384,I,None,2015,1,2,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10826.900000035763,101934.69999998808,8036,yes,SM,C,66.bmp,-120,-120,106039,100011,108056,102024,,,,,1
3,0,0,1,0,0,prac,1,0,m,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),123591.5,I,None,2016,2,2,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10825.899999976158,112765.60000002384,8036,no,SM,C,73.bmp,-120,120,116869,110842,118885,112854,,,,,2
4,0,0,0,1,1,prac,1,1,m,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),133605.0,I,m,1187,3,2,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,10009.600000023842,123595.39999997616,8036,no,SM,C,74.bmp,120,120,127699,121672,129715,123684,,,,,3
2,0,1,0,0,1,prac,1,0,z,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),144101.60000002384,I,m,1677,4,2,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,10493.300000011921,133608.30000001192,8036,yes,SM,C,79.bmp,120,-120,137713,131685,139728,133697,,,,,4
3,0,0,1,0,2,prac,1,1,z,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),154431.60000002384,I,z,1500,5,2,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,10326.5,144105.10000002384,8036,yes,SM,C,84.bmp,-120,120,148209,142181,150226,144194,,,,,5
1,1,0,0,0,2,prac,1,0,m,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),164645.0,I,z,1387,6,2,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,10209.899999976158,154435.10000002384,8036,no,SM,C,89.bmp,-120,-120,158539,152511,160555,154524,,,,,6
2,0,1,0,0,2,prac,1,0,m,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),175475.0,I,None,2016,7,2,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,10826.699999988079,164648.30000001192,8036,no,SM,C,90.bmp,120,-120,168753,162725,170769,164737,,,,,7
4,0,0,0,1,2,prac,1,0,z,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),186321.39999997616,I,None,2001,8,2,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10842.899999976158,175478.5,8036,yes,SM,C,97.bmp,120,120,179583,173555,181630,175567,,,,,8
1,1,0,0,0,1,prac,2,1,z,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),200067.60000002384,I,z,1105,1,2,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,9927.800000011921,190139.80000001192,8036,yes,SM,C,66.bmp,-120,-120,194245,188216,196261,190229,,,,,1
3,0,0,1,0,1,prac,2,0,m,Fri Aug 15 2025 11:10:42 GMT-0500 (Central Daylight Time),210547.30000001192,I,z,1655,2,2,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10476.5,200070.80000001192,8036,no,SM,C,73.bmp,-120,120,204175,198147,206191,200160,,,,,2
