Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,1,prac,1,1,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),128368.5,I,z,917,1,1,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,9744.300000011921,118624.19999998808,8039,yes,SM,C,66.bmp,-120,-120,120186,114157,122202,116171,,,,,1
3,0,0,1,0,2,prac,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),137982.10000002384,I,m,793,2,1,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,9609.800000011921,128372.30000001192,8039,no,SM,C,73.bmp,-120,120,129933,123906,131950,125918,,,,,2
4,0,0,0,1,3,prac,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),147895.60000002384,I,m,1092,3,1,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,9909.900000035763,137985.69999998808,8039,no,SM,C,74.bmp,120,120,139547,133519,141563,135533,,,,,3
2,0,1,0,0,4,prac,1,1,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),157442.69999998808,I,z,731,4,1,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,9543.699999988079,147899.0,8039,yes,SM,C,79.bmp,120,-120,149460,143432,151476,145445,,,,,4
3,0,0,1,0,4,prac,1,0,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),167339.5,I,m,1096,5,1,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,9893.199999988079,157446.30000001192,8039,yes,SM,C,84.bmp,-120,120,159002,152980,161007,154992,,,,,5
1,1,0,0,0,4,prac,1,0,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),176819.89999997616,I,z,654,6,1,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,9477.0,167342.89999997616,8039,no,SM,C,89.bmp,-120,-120,168904,162876,170920,164889,,,,,6
2,0,1,0,0,5,prac,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),186699.80000001192,I,m,1053,7,1,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,9876.300000011921,176823.5,8039,no,SM,C,90.bmp,120,-120,178385,172357,180402,174370,,,,,7
4,0,0,0,1,5,prac,1,0,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),196963.60000002384,I,m,1438,8,1,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10259.900000035763,186703.69999998808,8039,yes,SM,C,97.bmp,120,120,188265,182237,190281,184249,,,,,8
4,0,0,0,1,0,test,1,0,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),219806.39999997616,I,z,1328,1,1,98.bmp,-120,-120,99.bmp,120,-120,100.bmp,-120,120,93.bmp,120,120,9378.199999988079,210428.19999998808,8039,yes,SM,C,100.bmp,120,120,188265,182237,190281,184249,211990.0,205961.0,214007.0,207976.0,1
2,0,1,0,0,1,test,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),229369.89999997616,I,m,1508,2,1,51.bmp,-120,-120,52.bmp,120,-120,53.bmp,-120,120,54.bmp,120,120,9559.799999952316,219810.10000002384,8039,yes,SM,C,53.bmp,120,-120,188265,182237,190281,184249,221371.0,215343.0,223387.0,217356.0,2
1,1,0,0,0,2,test,1,1,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),238267.0,I,z,840,3,1,55.bmp,-120,-120,56.bmp,120,-120,57.bmp,-120,120,58.bmp,120,120,8894.100000023842,229372.89999997616,8039,yes,SM,C,55.bmp,-120,-120,188265,182237,190281,184249,230935.0,224906.0,232951.0,226919.0,3
3,0,0,1,0,2,test,1,0,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),247097.80000001192,I,z,783,4,1,59.bmp,-120,-120,60.bmp,120,-120,61.bmp,-120,120,62.bmp,120,120,8826.800000011921,238271.0,8039,yes,SM,C,59.bmp,-120,120,188265,182237,190281,184249,239832.0,233804.0,241848.0,235817.0,4
2,0,1,0,0,3,test,1,1,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),255794.89999997616,I,z,639,5,1,63.bmp,-120,-120,64.bmp,120,-120,65.bmp,-120,120,66.bmp,120,120,8693.899999976158,247101.0,8039,yes,SM,C,64.bmp,120,-120,188265,182237,190281,184249,248662.0,242634.0,250679.0,244647.0,5
3,0,0,1,0,4,test,1,1,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),264508.8000000119,I,z,655,6,1,67.bmp,-120,-120,68.bmp,120,-120,69.bmp,-120,120,70.bmp,120,120,8710.300000011921,255798.5,8039,yes,SM,C,69.bmp,-120,120,188265,182237,190281,184249,257360.0,251332.0,259376.0,253344.0,6
4,0,0,0,1,5,test,1,1,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),273422.6999999881,I,z,860,7,1,71.bmp,-120,-120,72.bmp,120,-120,73.bmp,-120,120,74.bmp,120,120,8910.800000011921,264511.89999997616,8039,yes,SM,C,74.bmp,120,120,188265,182237,190281,184249,266074.0,260045.0,268090.0,262058.0,7
2,0,1,0,0,6,test,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),282203.39999997616,I,m,723,8,1,75.bmp,-120,-120,76.bmp,120,-120,77.bmp,-120,120,78.bmp,120,120,8777.5,273425.89999997616,8039,yes,SM,C,75.bmp,120,-120,188265,182237,190281,184249,274987.0,268959.0,277004.0,270972.0,8
3,0,0,1,0,7,test,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),291317.1999999881,I,m,1063,9,1,79.bmp,-120,-120,80.bmp,120,-120,81.bmp,-120,120,82.bmp,120,120,9110.399999976158,282206.8000000119,8039,yes,SM,C,80.bmp,-120,120,188265,182237,190281,184249,283768.0,277740.0,285784.0,279753.0,9
4,0,0,0,1,8,test,1,1,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),301064.1999999881,I,z,1684,10,1,87.bmp,-120,-120,88.bmp,120,-120,89.bmp,-120,120,90.bmp,120,120,9743.699999988079,291320.5,8039,yes,SM,C,90.bmp,120,120,188265,182237,190281,184249,292882.0,286854.0,294898.0,288867.0,10
3,0,0,1,0,9,test,1,1,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),310261.1999999881,I,z,1146,11,1,83.bmp,-120,-120,84.bmp,120,-120,85.bmp,-120,120,86.bmp,120,120,9193.599999964237,301067.60000002384,8039,yes,SM,C,85.bmp,-120,120,188265,182237,190281,184249,302629.0,296601.0,304645.0,298614.0,11
2,0,1,0,0,10,test,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),318958.60000002384,I,m,637,12,1,91.bmp,-120,-120,92.bmp,120,-120,93.bmp,-120,120,94.bmp,120,120,8693.600000023842,310265.0,8039,yes,SM,C,91.bmp,120,-120,188265,182237,190281,184249,311826.0,305798.0,313842.0,307811.0,12
3,0,0,1,0,11,test,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),328169.6999999881,I,m,1162,13,1,95.bmp,-120,-120,96.bmp,120,-120,97.bmp,-120,120,98.bmp,120,120,9207.800000011921,318961.89999997616,8039,yes,SM,C,96.bmp,-120,120,188265,182237,190281,184249,320523.0,314495.0,322540.0,316508.0,13
1,1,0,0,0,12,test,1,1,z,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),336886.0,I,z,654,14,1,99.bmp,-120,-120,100.bmp,120,-120,54.bmp,-120,120,51.bmp,120,120,8712.699999988079,328173.3000000119,8039,yes,SM,C,99.bmp,-120,-120,188265,182237,190281,184249,329737.0,323707.0,331753.0,325722.0,14
4,0,0,0,1,13,test,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),346066.60000002384,I,m,1124,15,1,60.bmp,-120,-120,61.bmp,120,-120,62.bmp,-120,120,63.bmp,120,120,9177.0,336889.60000002384,8039,yes,SM,C,61.bmp,120,120,188265,182237,190281,184249,338451.0,332423.0,340467.0,334436.0,15
1,1,0,0,0,14,test,1,1,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),354996.89999997616,I,m,879,16,1,52.bmp,-120,-120,53.bmp,120,-120,54.bmp,-120,120,55.bmp,120,120,8926.899999976158,346070.0,8039,yes,SM,C,55.bmp,-120,-120,188265,182237,190281,184249,347631.0,341603.0,349648.0,343616.0,16
3,0,0,1,0,14,test,1,0,m,Wed May 14 2025 14:19:53 GMT-0500 (Central Daylight Time),364910.6999999881,I,z,1852,17,1,72.bmp,-120,-120,73.bmp,120,-120,74.bmp,-120,120,75.bmp,120,120,9910.599999964237,355000.10000002384,8039,yes,SM,C,72.bmp,-120,120,188265,182237,190281,184249,356562.0,350533.0,358579.0,352547.0,17
