acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),-224,-192,69807.89999985695,CFD-BM-204-003-N.jpg,Sam,64,I,None,3016,,3016,,,1,2,4017.7999999523163,-416,-256,65790.09999990463,8051,FN,A,,28229,,,1,192,-320,-224
1,prac,1,1,,327.0,-9.0,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),416,32,74673.0,CFD-WM-012-001-N.jpg,John,64,I,1,1816,,1816,,,2,2,2829.7999999523163,224,-32,71843.20000004768,8051,FN,A,,34294,,,2,192,320,0
2,prac,1,1,,-315.0,236.0,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),-224,256,77205.39999985695,CFD-LF-249-132-N.jpg,Tina,64,I,1,1512,,1512,,,3,2,2530.199999809265,-416,192,74675.20000004768,8051,FN,A,,37126,,,3,192,-320,224
3,prac,1,1,,336.0,-205.0,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),416,-192,79454.5,CFD-BM-204-003-N.jpg,Sam,64,I,1,1219,,1219,,,4,2,2247.2999999523163,224,-256,77207.20000004768,8051,FN,A,,39659,,,4,192,320,-224
4,prac,1,1,,-304.0,8.0,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),-224,32,81687.29999995232,CFD-WM-012-001-N.jpg,John,64,I,1,1202,,1202,,,5,2,2231.0,-416,-32,79456.29999995232,8051,FN,A,,41908,,,5,192,-320,0
5,prac,1,1,,348.0,232.0,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),416,256,84003.39999985695,CFD-LF-249-132-N.jpg,Tina,64,I,1,1289,,1289,,,6,2,2314.2999999523163,224,192,81689.09999990463,8051,FN,A,,44141,,,6,192,320,224
1,prac_test,1,1,m,348.0,232.0,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),416,256,107729.29999995232,CFD-WM-012-001-N.jpg,Sam,64,I,m,1831,,,1831,,1,2,3604.2999999523163,224,192,104125.0,8051,FN,A,,,66567,,1,192,320,224
2,prac_test,1,1,z,348.0,232.0,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),416,256,111294.70000004768,CFD-LF-249-132-N.jpg,Tina,64,I,z,1767,,,1767,,3,2,3559.300000190735,224,192,107735.39999985695,8051,FN,A,,,70183,,2,192,320,224
3,prac_test,1,1,m,348.0,232.0,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),416,256,114110.5,CFD-BM-204-003-N.jpg,John,64,I,m,1018,,,1018,,2,2,2811.7999999523163,224,192,111298.70000004768,8051,FN,A,,,73748,,3,192,320,224
1,learn,1,1,,311.0,-236.0,Thu Sep 18 2025 14:54:13 GMT-0500 (Central Daylight Time),416,-192,132521.29999995232,CFD-WF-203-229-N.jpg,Kate,64,I,1,1400,1400,,,,28,2,2430.5,224,-256,130090.79999995232,8051,FN,A,92542,,,,1,192,320,-224
