Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,327,153,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),,box1,yes,I,1,,,,8053,DSST,A,,,,0,160,113
U,1,1,0.0,5,prac,yes,1,5,120000.0,291,157,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),58156.19999998808,box5,yes,I,1,,5268.099999964237,52888.10000002384,8053,DSST,A,,,,1,160,113
),2,1,0.0,3,prac,yes,1,3,120000.0,339,147,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),62204.69999998808,box3,yes,I,1,,3274.199999988079,58930.5,8053,DSST,A,,,,2,160,113
-,3,1,0.0,1,prac,yes,1,1,120000.0,313,136,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),65487.19999998808,box1,yes,I,1,,2508.099999964237,62979.10000002384,8053,DSST,A,,,,3,160,113
X,4,1,0.0,8,prac,yes,1,8,120000.0,237,132,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),70236.30000001192,box8,yes,I,1,,3975.400000035763,66260.89999997616,8053,DSST,A,,,,4,160,113
^,5,1,0.0,7,prac,yes,1,7,120000.0,319,156,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),76217.30000001192,box7,yes,I,1,,5207.699999988079,71009.60000002384,8053,DSST,A,,,,5,160,113
O,6,1,0.0,6,prac,yes,1,6,120000.0,276,144,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),81298.39999997616,box6,yes,I,1,,4307.799999952316,76990.60000002384,8053,DSST,A,,,,6,160,113
+,7,1,0.0,9,prac,yes,1,9,120000.0,306,152,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),85747.5,box9,yes,I,1,,3675.800000011921,82071.69999998808,8053,DSST,A,,,,7,160,113
L,8,1,0.0,4,prac,yes,1,4,120000.0,344,138,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),89779.19999998808,box4,yes,I,1,,3258.699999988079,86520.5,8053,DSST,A,,,,8,160,113
T,9,1,0.0,2,prac,yes,1,2,120000.0,317,136,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),93611.60000002384,box2,yes,I,1,,3059.0,90552.60000002384,8053,DSST,A,,,,9,160,113
T,1,1,2.73799991607666,2,test,yes,1,2,117262.00008392334,316,144,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),108973.60000002384,box2,yes,I,1,,2726.300000011921,106247.30000001192,8053,DSST,A,104425.0,105203.0,102476.0,1,160,113
-,2,1,5.5929999351501465,1,test,yes,1,1,114407.00006484985,303,134,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),111825.10000002384,box1,yes,I,1,,2836.2000000476837,108988.89999997616,8053,DSST,A,107092.0,108054.0,105218.0,2,160,113
),3,1,8.301999807357788,3,test,yes,1,3,111698.00019264221,232,139,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),114538.19999998808,box3,yes,I,1,,2694.099999964237,111844.10000002384,8053,DSST,A,110089.0,110767.0,108073.0,3,160,113
^,4,1,11.584999799728394,7,test,yes,1,7,108415.0002002716,271,141,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),117820.80000001192,box7,yes,I,1,,3271.400000035763,114549.39999997616,8053,DSST,A,113306.0,114050.0,110778.0,4,160,113
T,5,1,13.848999977111816,2,test,yes,1,2,106151.00002288818,318,143,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),120086.5,box2,yes,I,1,,2254.699999988079,117831.80000001192,8053,DSST,A,115638.0,116315.0,114061.0,5,160,113
L,6,1,16.24899983406067,4,test,yes,1,4,103751.00016593933,362,146,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),122485.89999997616,box4,yes,I,1,,2388.699999988079,120097.19999998808,8053,DSST,A,117921.0,118715.0,116326.0,6,160,113
X,7,1,19.0479998588562,8,test,yes,1,8,100952.0001411438,279,122,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),125285.19999998808,box8,yes,I,1,,2788.399999976158,122496.80000001192,8053,DSST,A,120786.0,121514.0,118726.0,7,160,113
T,8,1,21.19700002670288,2,test,yes,1,2,98802.99997329712,304,137,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),127434.30000001192,box2,yes,I,1,,2138.600000023842,125295.69999998808,8053,DSST,A,122919.0,123663.0,121525.0,8,160,113
-,9,1,23.09599995613098,1,test,yes,1,1,96904.00004386902,291,140,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),129333.80000001192,box1,yes,I,1,,1889.0,127444.80000001192,8053,DSST,A,124668.0,125563.0,123674.0,9,160,113
),10,1,25.26199984550476,3,test,yes,1,3,94738.00015449524,319,135,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),131499.60000002384,box3,yes,I,1,,2155.400000035763,129344.19999998808,8053,DSST,A,127084.0,127728.0,125573.0,10,160,113
T,11,1,27.52899980545044,2,test,yes,1,2,92471.00019454956,267,134,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),133765.69999998808,box2,yes,I,1,,2255.399999976158,131510.30000001192,8053,DSST,A,129116.0,129995.0,127739.0,11,160,113
-,12,1,29.42799997329712,1,test,yes,1,1,90572.00002670288,296,145,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),135665.30000001192,box1,yes,I,1,,1888.699999988079,133776.60000002384,8053,DSST,A,131132.0,131894.0,130006.0,12,160,113
L,13,1,31.694000005722046,4,test,yes,1,4,88305.99999427795,234,132,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),137931.0,box4,yes,I,1,,2255.300000011921,135675.69999998808,8053,DSST,A,133266.0,134160.0,131904.0,13,160,113
T,14,1,33.526999950408936,2,test,yes,1,2,86473.00004959106,281,141,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),139763.80000001192,box2,yes,I,1,,1822.0,137941.80000001192,8053,DSST,A,135249.0,135993.0,134171.0,14,160,113
),15,1,35.85899996757507,3,test,yes,1,3,84141.00003242493,249,133,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),142096.60000002384,box3,yes,I,1,,2322.800000011921,139773.80000001192,8053,DSST,A,137381.0,138326.0,136003.0,15,160,113
U,16,1,38.424999952316284,5,test,yes,1,5,81575.00004768372,262,137,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),144662.19999998808,box5,yes,I,1,,2555.899999976158,142106.30000001192,8053,DSST,A,140164.0,140891.0,138335.0,16,160,113
T,17,1,40.20799994468689,2,test,yes,1,2,79792.00005531311,262,148,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),146445.10000002384,box2,yes,I,1,,1772.7000000476837,144672.39999997616,8053,DSST,A,142046.0,142674.0,140901.0,17,160,113
),18,1,42.62399983406067,3,test,yes,1,3,77376.00016593933,260,124,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),148861.0,box3,yes,I,1,,2405.300000011921,146455.69999998808,8053,DSST,A,144262.0,145090.0,142685.0,18,160,113
-,19,1,44.906999826431274,1,test,yes,1,1,75093.00017356873,332,147,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),151143.39999997616,box1,yes,I,1,,2273.0,148870.39999997616,8053,DSST,A,146595.0,147372.0,145099.0,19,160,113
L,20,1,46.95599985122681,4,test,yes,1,4,73044.0001487732,294,134,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),153193.19999998808,box4,yes,I,1,,2038.3999999761581,151154.80000001192,8053,DSST,A,148644.0,149422.0,147384.0,20,160,113
+,21,1,49.08899998664856,9,test,yes,1,9,70911.00001335144,293,150,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),155325.5,box9,yes,I,1,,2121.600000023842,153203.89999997616,8053,DSST,A,151177.0,151555.0,149433.0,21,160,113
O,22,1,52.13699984550476,6,test,yes,1,6,67863.00015449524,351,143,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),158374.5,box6,yes,I,1,,3035.5,155339.0,8053,DSST,A,153826.0,154603.0,151568.0,22,160,113
),23,1,54.269999980926514,3,test,yes,1,3,65730.00001907349,377,156,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),160507.39999997616,box3,yes,I,1,,2122.599999964237,158384.80000001192,8053,DSST,A,156092.0,156736.0,154614.0,23,160,113
-,24,1,57.401999950408936,1,test,yes,1,1,62598.000049591064,290,167,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),163639.89999997616,box1,yes,I,1,,3121.899999976158,160518.0,8053,DSST,A,159058.0,159869.0,156747.0,24,160,113
L,25,1,59.501999855041504,4,test,yes,1,4,60498.000144958496,268,152,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),165738.89999997616,box4,yes,I,1,,2086.2999999523163,163652.60000002384,8053,DSST,A,161090.0,161968.0,159882.0,25,160,113
-,26,1,61.800999879837036,1,test,yes,1,1,58199.000120162964,280,153,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),168038.39999997616,box1,yes,I,1,,2286.599999964237,165751.80000001192,8053,DSST,A,163090.0,164267.0,161981.0,26,160,113
U,27,1,64.30099987983704,5,test,yes,1,5,55699.000120162964,260,147,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),170537.80000001192,box5,yes,I,1,,2488.600000023842,168049.19999998808,8053,DSST,A,166105.0,166767.0,164278.0,27,160,113
L,28,1,66.44999980926514,4,test,yes,1,4,53550.00019073486,261,137,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),172687.0,box4,yes,I,1,,2138.399999976158,170548.60000002384,8053,DSST,A,168105.0,168916.0,166778.0,28,160,113
T,29,1,68.94799995422363,2,test,yes,1,2,51052.00004577637,265,152,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),175185.89999997616,box2,yes,I,1,,2489.0,172696.89999997616,8053,DSST,A,170620.0,171415.0,168926.0,29,160,113
^,30,1,71.36500000953674,7,test,yes,1,7,48634.99999046326,243,133,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),177601.80000001192,box7,yes,I,1,,2405.800000011921,175196.0,8053,DSST,A,172953.0,173831.0,171425.0,30,160,113
O,31,1,74.11299991607666,6,test,yes,1,6,45887.00008392334,295,151,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),180351.19999998808,box6,yes,I,1,,2739.300000011921,177611.89999997616,8053,DSST,A,175952.0,176580.0,173841.0,31,160,113
),32,1,76.20799994468689,3,test,yes,1,3,43792.00005531311,315,148,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),182443.39999997616,box3,yes,I,1,,2082.199999988079,180361.19999998808,8053,DSST,A,177918.0,178672.0,176590.0,32,160,113
U,33,1,78.21099996566772,5,test,yes,1,5,41789.000034332275,358,142,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),184449.89999997616,box5,yes,I,1,,1992.2999999523163,182457.60000002384,8053,DSST,A,179968.0,180679.0,178687.0,33,160,113
^,34,1,82.2099997997284,7,test,yes,1,7,37790.00020027161,320,143,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),188448.60000002384,box7,yes,I,1,,3989.400000035763,184459.19999998808,8053,DSST,A,183933.0,184678.0,180688.0,34,160,113
+,35,1,84.12599992752075,9,test,yes,1,9,35874.00007247925,286,124,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),190364.69999998808,box9,yes,I,1,,1904.699999988079,188460.0,8053,DSST,A,185882.0,186594.0,184689.0,35,160,113
X,36,1,86.67499995231628,8,test,yes,1,8,33325.000047683716,240,127,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),192914.0,box8,yes,I,1,,2540.199999988079,190373.80000001192,8053,DSST,A,188298.0,189143.0,186603.0,36,160,113
U,37,1,89.1579999923706,5,test,yes,1,5,30842.000007629395,215,136,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),195396.5,box5,yes,I,1,,2472.399999976158,192924.10000002384,8053,DSST,A,190998.0,191625.0,189153.0,37,160,113
L,38,1,90.89099979400635,4,test,yes,1,4,29109.000205993652,283,142,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),197129.30000001192,box4,yes,I,1,,1722.5,195406.80000001192,8053,DSST,A,192579.0,193358.0,191636.0,38,160,113
O,39,1,93.62299990653992,6,test,yes,1,6,26377.000093460083,292,134,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),199861.60000002384,box6,yes,I,1,,2722.900000035763,197138.69999998808,8053,DSST,A,195263.0,196091.0,193368.0,39,160,113
),40,1,95.68899989128113,3,test,yes,1,3,24311.000108718872,264,139,Tue Nov 11 2025 19:17:44 GMT-0600 (Central Standard Time),201927.69999998808,box3,yes,I,1,,2055.099999964237,199872.60000002384,8053,DSST,A,197362.0,198157.0,196102.0,40,160,113
