Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
2,1,prac,1,A,circle.png,1,z,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),96343.90000003576,2000,I,z,532,2,,3309.400000035763,93034.5,8053,NTS,A,1
6,2,prac,1,A,circle.png,1,m,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),99642.80000001192,1900,I,m,612,5,,3291.100000023842,96351.69999998808,8053,NTS,A,2
7,3,prac,1,A,circle.png,1,m,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),102608.69999998808,1700,I,m,482,6,,2959.599999964237,99649.10000002384,8053,NTS,A,3
1,4,prac,1,A,circle.png,1,z,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),104958.0,1000,I,z,560,1,,2343.5,102614.5,8053,NTS,A,4
6,5,prac,1,A,circle.png,1,m,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),108190.19999998808,1900,I,m,542,5,,3226.099999964237,104964.10000002384,8053,NTS,A,5
2,6,prac,1,A,circle.png,1,z,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),111558.10000002384,2000,I,z,586,2,,3362.0,108196.10000002384,8053,NTS,A,6
8,7,prac,1,A,circle.png,1,m,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),114471.60000002384,1600,I,m,517,7,,2906.900000035763,111564.69999998808,8053,NTS,A,7
1,8,prac,1,A,circle.png,1,z,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),116820.90000003576,1000,I,z,553,1,,2344.300000011921,114476.60000002384,8053,NTS,A,8
8,9,prac,1,A,circle.png,1,m,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),119753.10000002384,1600,I,m,540,7,,2926.699999988079,116826.40000003576,8053,NTS,A,9
9,10,prac,1,A,circle.png,1,m,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),122552.19999998808,1500,I,m,515,8,,2793.699999988079,119758.5,8053,NTS,A,10
3,11,prac,1,A,circle.png,1,z,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),125201.60000002384,1200,I,z,656,3,,2644.100000023842,122557.5,8053,NTS,A,11
4,12,prac,1,A,circle.png,1,z,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),128050.80000001192,1400,I,z,655,4,,2843.800000011921,125207.0,8053,NTS,A,12
4,1,prac,1,B,triangle.png,1,m,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),164855.80000001192,1500,I,m,549,4,,2826.699999988079,162029.10000002384,8053,NTS,A,1
6,2,prac,1,B,triangle.png,1,m,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),167238.5,1000,I,m,585,5,,2375.5,164863.0,8053,NTS,A,2
3,3,prac,1,B,triangle.png,1,z,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),170137.60000002384,1600,I,z,514,3,,2893.5,167244.10000002384,8053,NTS,A,3
2,3,prac,1,B,triangle.png,0,m,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),173220.0,1700,I,z,587,2,,3076.599999964237,170143.40000003576,8053,NTS,A,4
7,4,prac,1,B,triangle.png,1,z,Tue Nov 11 2025 17:33:15 GMT-0600 (Central Standard Time),176568.69999998808,2000,I,z,565,6,,3343.2999999523163,173225.40000003576,8053,NTS,A,5
