acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
1,prac,1,1,,-317,-229,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),-224,-192,61707.40000000596,CFD-BM-224-073-N.jpg,Sam,64,I,1,2190,,2190,,,1,2,3217.1000000089407,-416,-256,58490.29999999702,8060,FN,B,,24273,,,1,192,-320,-224
2,prac,1,1,,320,-9,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),416,32,63789.70000000298,CFD-WM-227-099-N.jpg,John,64,I,1,1062,,1062,,,2,2,2079.2999999970198,224,-32,61710.40000000596,8060,FN,B,,27489,,,2,192,320,0
3,prac,1,1,,-306,225,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),-224,256,65639.0,CFD-LF-232-199-N.jpg,Tina,64,I,1,828,,828,,,3,2,1847.2000000029802,-416,192,63791.79999999702,8060,FN,B,,29571,,,3,192,-320,224
4,prac,1,1,,343,-220,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),416,-192,68338.40000000596,CFD-BM-224-073-N.jpg,Sam,64,I,1,1676,,1676,,,4,2,2697.5,224,-256,65640.90000000596,8060,FN,B,,31420,,,4,192,320,-224
5,prac,1,1,,-336,4,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),-224,32,70437.40000000596,CFD-WM-227-099-N.jpg,John,64,I,1,1071,,1071,,,5,2,2097.0,-416,-32,68340.40000000596,8060,FN,B,,34120,,,5,192,-320,0
6,prac,1,1,,327,231,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),416,256,72353.70000000298,CFD-LF-232-199-N.jpg,Tina,64,I,1,884,,884,,,6,2,1914.6000000089407,224,192,70439.09999999404,8060,FN,B,,36219,,,6,192,320,224
0,prac_test,1,0,z,327,231,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),416,256,89381.59999999404,CFD-LF-232-199-N.jpg,Tina,64,I,m,1211,,,1211,,3,2,2987.2999999970198,224,192,86394.29999999702,8060,FN,B,,,52164,,1,192,320,224
1,prac_test,1,1,m,327,231,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),416,256,92514.0,CFD-WM-227-099-N.jpg,Sam,64,I,m,1340,,,1340,,1,2,3127.5,224,192,89386.5,8060,FN,B,,,55163,,2,192,320,224
1,prac_test,1,0,m,327,231,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),416,256,95529.40000000596,CFD-BM-224-073-N.jpg,John,64,I,z,1231,,,1231,,2,2,3011.6000000089407,224,192,92517.79999999702,8060,FN,B,,,58296,,3,192,320,224
1,prac,2,1,,-310,-221,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),-224,-192,102144.40000000596,CFD-BM-224-073-N.jpg,Sam,64,I,1,2025,,2025,1231,,1,2,3043.6000000089407,-416,-256,99100.79999999702,8060,FN,B,,64877,58296,,1,192,-320,-224
2,prac,2,1,,384,0,Wed Sep 24 2025 18:57:48 GMT-0500 (Central Daylight Time),416,32,104443.5,CFD-WM-227-099-N.jpg,John,64,I,1,1281,,1281,1231,,2,2,2297.4000000059605,224,-32,102146.09999999404,8060,FN,B,,67926,58296,,2,192,320,0
