acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),28638.5,I,m,1038,,,2,no,2,2562.5,26076.0,practrial2.png,practrial2b.png,8060,PC,B,,,1
2,1,0.0,prac,1,z,30000.0,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),31604.19999998808,I,z,1439,,,3,yes,2,2961.199999988079,28643.0,practrial3.png,practrial3.png,8060,PC,B,,,2
3,1,0.0,prac,1,z,30000.0,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),33987.0,I,z,859,,,1,yes,2,2379.2000000029802,31607.79999999702,practrial1.png,practrial1.png,8060,PC,B,,,3
4,1,0.0,prac,1,z,30000.0,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),36686.09999999404,I,z,1171,,,5,yes,2,2695.4000000059605,33990.69999998808,practrial5.png,practrial5.png,8060,PC,B,,,4
5,1,0.0,prac,1,m,30000.0,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),39318.39999999106,I,m,1111,,,6,no,2,2628.7000000029802,36689.69999998808,practrial6.png,practrial6b.png,8060,PC,B,,,5
6,1,0.0,prac,1,m,30000.0,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),42017.79999999702,I,m,1167,,,4,no,2,2695.0,39322.79999999702,practrial4.png,practrial4b.png,8060,PC,B,,,6
1,1,1.6329998970031738,test,1,z,28367.000102996826,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),49598.89999999106,I,z,1618,1618,,1,yes,2,1630.7999999970198,47968.09999999404,test1trial1.png,test1trial1.png,8060,PC,B,46069,,1
2,1,2.6489999294281006,test,1,m,27351.0000705719,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),50614.89999999106,I,m,1008,1008,,2,no,2,1013.0999999940395,49601.79999999702,test1trial2.png,test1trial2b.png,8060,PC,B,47703,,2
3,1,3.798999786376953,test,1,z,26201.000213623047,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),51764.79999999702,I,z,1143,1143,,3,yes,2,1146.9000000059605,50617.89999999106,test1trial3.png,test1trial3.png,8060,PC,B,48719,,3
4,1,4.781999826431274,test,1,m,25218.000173568726,Wed Sep 24 2025 19:19:44 GMT-0500 (Central Daylight Time),52747.39999999106,I,m,979,979,,4,no,2,979.8999999910593,51767.5,test1trial4.png,test1trial4b.png,8060,PC,B,49868,,4
