Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,240,148,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),,box1,yes,I,1,1,,,8061,DSST,C,,,,0,160,113
X,1,1,0.0,8,prac,yes,1,8,120000.0,254,144,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),49696.199999928474,box8,yes,I,1,1,4715.0,44981.199999928474,8061,DSST,C,,,,1,160,113
-,2,1,0.0,1,prac,yes,1,1,120000.0,239,136,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),53345.09999990463,box1,yes,I,1,1,2874.399999976158,50470.699999928474,8061,DSST,C,,,,2,160,113
O,3,1,0.0,6,prac,yes,1,6,120000.0,206,143,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),57260.39999997616,box6,yes,I,1,1,3141.3000000715256,54119.09999990463,8061,DSST,C,,,,3,160,113
+,4,1,0.0,9,prac,yes,1,9,120000.0,211,157,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),61325.39999997616,box9,yes,I,1,1,3291.7000000476837,58033.699999928474,8061,DSST,C,,,,4,160,113
L,5,1,0.0,4,prac,yes,1,4,120000.0,173,137,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),65557.69999992847,box4,yes,I,1,1,3457.899999976158,62099.799999952316,8061,DSST,C,,,,5,160,113
T,6,1,0.0,2,prac,yes,1,2,120000.0,277,142,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),69306.59999990463,box2,yes,I,1,1,2975.0999999046326,66331.5,8061,DSST,C,,,,6,160,113
U,7,1,0.0,5,prac,yes,1,5,120000.0,247,142,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),73105.5,box5,yes,I,1,1,3025.9000000953674,70079.59999990463,8061,DSST,C,,,,7,160,113
),8,1,0.0,3,prac,yes,1,3,120000.0,251,143,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),76787.5,box3,yes,I,1,1,2908.5,73879.0,8061,DSST,C,,,,8,160,113
^,9,1,0.0,7,prac,yes,1,7,120000.0,248,162,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),80803.0,box7,yes,I,1,1,3242.5,77560.5,8061,DSST,C,,,,9,160,113
T,1,1,3.4060001373291016,2,test,yes,1,2,116593.9998626709,198,154,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),94682.19999992847,box2,yes,I,1,1,3394.0,91288.19999992847,8061,DSST,C,92155.0,92999.0,89605.0,1,160,113
-,2,1,6.670000076293945,1,test,yes,1,1,113329.99992370605,280,153,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),97947.5,box1,yes,I,1,1,3250.100000023842,94697.39999997616,8061,DSST,C,95337.0,96264.0,93014.0,2,160,113
),3,1,10.05299997329712,3,test,yes,1,3,109947.00002670288,227,155,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),101329.89999997616,box3,yes,I,1,1,3371.2000000476837,97958.69999992847,8061,DSST,C,98552.0,99647.0,96276.0,3,160,113
^,4,1,13.05299997329712,7,test,yes,1,7,106947.00002670288,235,154,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),104329.0,box7,yes,I,1,1,2987.4000000953674,101341.59999990463,8061,DSST,C,101701.0,102646.0,99659.0,4,160,113
T,5,1,16.383000135421753,2,test,yes,1,2,103616.99986457825,201,149,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),107661.19999992847,box2,yes,I,1,1,3320.1999999284744,104341.0,8061,DSST,C,105034.0,105978.0,102658.0,5,160,113
L,6,1,19.032999992370605,4,test,yes,1,4,100967.0000076294,182,134,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),110310.39999997616,box4,yes,I,1,1,2638.3000000715256,107672.09999990463,8061,DSST,C,107749.0,108627.0,105989.0,6,160,113
X,7,1,21.681999921798706,8,test,yes,1,8,98318.0000782013,240,131,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),112959.59999990463,box8,yes,I,1,1,2638.0999999046326,110321.5,8061,DSST,C,110233.0,111277.0,108639.0,7,160,113
T,8,1,25.09599995613098,2,test,yes,1,2,94904.00004386902,239,149,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),116375.0,box2,yes,I,1,1,3404.9000000953674,112970.09999990463,8061,DSST,C,113697.0,114692.0,111287.0,8,160,113
-,9,1,27.413000106811523,1,test,yes,1,1,92586.99989318848,194,125,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),118691.19999992847,box1,yes,I,1,1,2306.2999999523163,116384.89999997616,8061,DSST,C,116080.0,117008.0,114702.0,9,160,113
),10,1,30.413000106811523,3,test,yes,1,3,89586.99989318848,215,136,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),121689.89999997616,box3,yes,I,1,1,2988.3000000715256,118701.59999990463,8061,DSST,C,119379.0,120007.0,117019.0,10,160,113
T,11,1,33.24300003051758,2,test,yes,1,2,86756.99996948242,214,156,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),124522.39999997616,box2,yes,I,1,1,2818.899999976158,121703.5,8061,DSST,C,122046.0,122839.0,120020.0,11,160,113
-,12,1,35.17700004577637,1,test,yes,1,1,84822.99995422363,212,150,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),126455.19999992847,box1,yes,I,1,1,1921.6999999284744,124533.5,8061,DSST,C,123961.0,124772.0,122851.0,12,160,113
L,13,1,37.443000078201294,4,test,yes,1,4,82556.9999217987,190,157,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),128721.29999995232,box4,yes,I,1,1,2255.2000000476837,126466.09999990463,8061,DSST,C,126377.0,127038.0,124783.0,13,160,113
T,14,1,40.30800008773804,2,test,yes,1,2,79691.99991226196,168,141,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),131587.19999992847,box2,yes,I,1,1,2855.399999976158,128731.79999995232,8061,DSST,C,129026.0,129904.0,127049.0,14,160,113
),15,1,43.074000120162964,3,test,yes,1,3,76925.99987983704,183,148,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),134352.89999997616,box3,yes,I,1,1,2755.5,131597.39999997616,8061,DSST,C,131946.0,132670.0,129914.0,15,160,113
U,16,1,45.73900008201599,5,test,yes,1,5,74260.99991798401,193,159,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),137018.59999990463,box5,yes,I,1,1,2655.399999976158,134363.19999992847,8061,DSST,C,134474.0,135336.0,132680.0,16,160,113
T,17,1,48.50500011444092,2,test,yes,1,2,71494.99988555908,235,133,Fri Aug 08 2025 11:01:40 GMT-0500 (Central Daylight Time),139784.5,box2,yes,I,1,1,2756.5,137028.0,8061,DSST,C,137357.0,138101.0,135345.0,17,160,113
