block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,2.4159998893737793,delay,57584.00011062622,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),25239.400000000373,A,towerenter,I,enter,472,2,2415.2000000001863,22824.200000000186,8063,DWL,C,1
8,3.68399977684021,delay,56316.00022315979,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),26507.5,A,wheatenter,I,enter,465,2,1267.5,25240.0,8063,DWL,C,2
8,4.915999889373779,delay,55084.00011062622,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),27739.300000000745,A,queenenter,I,enter,195,2,1231.4000000003725,26507.900000000373,8063,DWL,C,3
8,5.9649999141693115,delay,54035.00008583069,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),28788.700000000186,A,boyenter,I,enter,329,2,1049.0,27739.700000000186,8063,DWL,C,4
8,9.013999938964844,delay,50986.000061035156,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),31838.0,A,doctorenter,I,enter,302,2,3049.0,28789.0,8063,DWL,C,5
8,9.898000001907349,delay,50101.99999809265,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),32721.0,A,nailenter,I,enter,229,2,882.5999999996275,31838.400000000373,8063,DWL,C,6
8,10.780999898910522,delay,49219.00010108948,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),33604.10000000056,A,campenter,I,enter,328,2,882.7000000001863,32721.400000000373,8063,DWL,C,7
8,12.27899980545044,delay,47721.00019454956,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),35102.90000000037,A,flagenter,I,enter,651,2,1498.5,33604.40000000037,8063,DWL,C,8
8,14.095999956130981,delay,45904.00004386902,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),36919.700000000186,A,letterenter,I,enter,277,2,1816.3999999994412,35103.300000000745,8063,DWL,C,9
8,15.412999868392944,delay,44587.000131607056,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),38236.700000000186,A,sugarenter,I,enter,390,2,1316.7000000001863,36920.0,8063,DWL,C,10
8,16.461999893188477,delay,43538.00010681152,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),39285.200000000186,A,cornenter,I,enter,229,2,1048.2000000001863,38237.0,8063,DWL,C,11
8,17.71299982070923,delay,42287.00017929077,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),40536.200000000186,A,wheatenter,I,enter,367,2,1250.8999999994412,39285.300000000745,8063,DWL,C,12
8,30.307999849319458,delay,29692.000150680542,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),53131.200000000186,A,homeenter,I,enter,240,2,12594.700000000186,40536.5,8063,DWL,C,13
8,41.769999980926514,delay,18230.000019073486,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),64594.200000000186,A,doctorenter,I,enter,324,2,11462.700000000186,53131.5,8063,DWL,C,14
8,48.03499984741211,delay,11965.00015258789,Wed Nov 05 2025 16:47:35 GMT-0600 (Central Standard Time),70858.90000000037,A,flagenter,I,enter,107,2,6264.299999999814,64594.60000000056,8063,DWL,C,15
