block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),,,,I,space,481,,,,8063,WL,A,
prac,,0,,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),,NA,b,I,b,1127,,,,8063,WL,A,1.0
prac,,0,,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),,NA,bo,I,o,261,,,,8063,WL,A,1.0
prac,,0,,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),,NA,boo,I,o,155,,,,8063,WL,A,1.0
prac,,0,,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),,NA,boos,I,s,173,,,,8063,WL,A,1.0
prac,,0,,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),,NA,boost,I,t,189,,,,8063,WL,A,1.0
prac,,0,,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),,NA,boostenter,I,enter,645,,,,8063,WL,A,1.0
1,1.815999984741211,learn,58184.00001525879,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),88824.79999995232,A,g,I,g,1801,,1815.7999999523163,87009.0,8063,WL,A,1.0
1,2.0319998264312744,learn,57968.000173568726,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),89041.19999980927,A,go,I,o,194,,2032.1999998092651,87009.0,8063,WL,A,1.0
1,2.2319998741149902,learn,57768.00012588501,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),89241.0,A,gol,I,l,178,,2232.0,87009.0,8063,WL,A,1.0
1,2.3489999771118164,learn,57651.00002288818,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),89357.79999995232,A,gold,I,d,106,,2348.7999999523163,87009.0,8063,WL,A,1.0
1,2.5989999771118164,learn,57401.00002288818,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),89607.79999995232,A,goldenter,I,enter,238,,2598.7999999523163,87009.0,8063,WL,A,1.0
1,3.1989998817443848,learn,56801.000118255615,Mon Mar 09 2026 11:57:00 GMT-0500 (Central Daylight Time),90207.5,A,f,I,f,588,,599.3000001907349,89608.19999980927,8063,WL,A,2.0
