Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
7,1,prac,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),77157.09999996424,1700,I,m,1185,6,1,3676.199999988079,73480.89999997616,8064,NTS,A,1
8,2,prac,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),80272.19999998808,1600,I,m,722,7,1,3105.699999988079,77166.5,8064,NTS,A,2
4,3,prac,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),83221.89999997616,1400,I,z,777,4,1,2942.199999988079,80279.69999998808,8064,NTS,A,3
8,4,prac,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),86239.59999996424,1600,I,m,636,7,1,3010.300000011921,83229.29999995232,8064,NTS,A,4
2,5,prac,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),89702.19999998808,2000,I,z,674,2,1,3456.400000035763,86245.79999995232,8064,NTS,A,5
6,6,prac,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),93101.09999996424,1900,I,m,709,5,1,3391.599999964237,89709.5,8064,NTS,A,6
1,7,prac,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),95617.59999996424,1000,I,z,732,1,1,2512.099999964237,93105.5,8064,NTS,A,7
3,8,prac,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),98316.79999995232,1200,I,z,712,3,1,2691.199999988079,95625.59999996424,8064,NTS,A,8
2,9,prac,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),101799.5,2000,I,z,691,2,1,3477.900000035763,98321.59999996424,8064,NTS,A,9
1,10,prac,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),104180.39999997616,1000,I,z,593,1,1,2375.899999976158,101804.5,8064,NTS,A,10
9,11,prac,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),107164.0,1500,I,m,699,8,1,2978.900000035763,104185.09999996424,8064,NTS,A,11
7,12,prac,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),110313.89999997616,1700,I,m,665,6,1,3144.399999976158,107169.5,8064,NTS,A,12
6,1,prac,1,B,triangle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),137721.09999996424,1000,I,m,966,5,1,2745.899999976158,134975.19999998808,8064,NTS,A,1
2,2,prac,1,B,triangle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),140952.89999997616,1700,I,m,733,2,1,3226.5,137726.39999997616,8064,NTS,A,2
4,3,prac,1,B,triangle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),143920.69999998808,1500,I,m,692,4,1,2962.199999988079,140958.5,8064,NTS,A,3
9,4,prac,1,B,triangle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),147003.19999998808,1400,I,z,901,8,1,3076.900000035763,143926.29999995232,8064,NTS,A,4
8,5,prac,1,B,triangle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),149749.89999997616,1200,I,m,760,7,1,2740.899999976158,147009.0,8064,NTS,A,5
2,6,prac,1,B,triangle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),153449.29999995232,1700,I,m,1207,2,1,3693.7999999523163,149755.5,8064,NTS,A,6
1,7,prac,1,B,triangle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),156933.59999996424,1900,I,z,787,1,1,3479.699999988079,153453.89999997616,8064,NTS,A,7
8,8,prac,1,B,triangle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),159680.79999995232,1200,I,m,767,7,1,2741.2999999523163,156939.5,8064,NTS,A,8
3,9,prac,1,B,triangle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),163462.09999996424,1600,I,z,1385,3,1,3775.5,159686.59999996424,8064,NTS,A,9
9,10,prac,1,B,triangle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),166511.5,1400,I,z,858,8,1,3045.100000023842,163466.39999997616,8064,NTS,A,10
1,11,prac,1,B,triangle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),170444.69999998808,1900,I,z,1252,1,1,3926.100000023842,166518.59999996424,8064,NTS,A,11
7,12,prac,1,B,triangle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),174178.5,2000,I,z,959,6,1,3727.300000011921,170451.19999998808,8064,NTS,A,12
4,1,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),196118.69999998808,1400,I,z,1110,4,1,2527.199999988079,193591.5,8064,NTS,A,1
3,2,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),198150.79999995232,1200,I,z,809,3,1,2028.199999988079,196122.59999996424,8064,NTS,A,2
9,3,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),200650.79999995232,1500,I,m,965,8,1,2493.099999964237,198157.69999998808,8064,NTS,A,3
7,4,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),203350.5,1700,I,m,972,6,1,2693.900000035763,200656.59999996424,8064,NTS,A,4
8,5,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),205616.0,1600,I,m,636,7,1,2260.5,203355.5,8064,NTS,A,5
7,6,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),208181.79999995232,1700,I,m,829,6,1,2562.399999976158,205619.39999997616,8064,NTS,A,6
2,7,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),210881.19999998808,2000,I,z,667,2,1,2691.600000023842,208189.59999996424,8064,NTS,A,7
8,8,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),213229.79999995232,1600,I,m,718,7,1,2341.899999976158,210887.89999997616,8064,NTS,A,8
6,9,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),215845.69999998808,1900,I,m,685,5,1,2611.0,213234.69999998808,8064,NTS,A,9
9,10,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),218061.79999995232,1500,I,m,686,8,1,2212.5,215849.29999995232,8064,NTS,A,10
8,11,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),220377.79999995232,1600,I,m,698,7,1,2312.699999988079,218065.09999996424,8064,NTS,A,11
4,12,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),222594.0,1400,I,z,791,4,1,2212.800000011921,220381.19999998808,8064,NTS,A,12
4,13,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),224593.0,1400,I,z,573,4,1,1995.0,222598.0,8064,NTS,A,13
2,14,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),227142.79999995232,2000,I,z,527,2,1,2543.7999999523163,224599.0,8064,NTS,A,14
9,15,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),229308.39999997616,1500,I,m,649,8,1,2161.5,227146.89999997616,8064,NTS,A,15
6,16,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),232024.29999995232,1900,I,m,786,5,1,2712.099999964237,229312.19999998808,8064,NTS,A,16
1,17,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),233740.09999996424,1000,I,z,683,1,1,1712.0999999642372,232028.0,8064,NTS,A,17
7,18,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),236172.89999997616,1700,I,m,714,6,1,2428.800000011921,233744.09999996424,8064,NTS,A,18
8,19,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),238287.69999998808,1600,I,m,493,7,1,2110.699999988079,236177.0,8064,NTS,A,19
2,20,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),240973.0,2000,I,z,667,2,1,2682.0,238291.0,8064,NTS,A,20
6,21,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),243554.19999998808,1900,I,m,667,5,1,2577.300000011921,240976.89999997616,8064,NTS,A,21
3,22,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),245504.19999998808,1200,I,z,718,3,1,1946.4000000357628,243557.79999995232,8064,NTS,A,22
1,23,test,1,A,circle.png,1,z,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),247068.89999997616,1000,I,z,538,1,1,1560.3999999761581,245508.5,8064,NTS,A,23
7,24,test,1,A,circle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),249368.89999997616,1700,I,m,567,6,1,2296.899999976158,247072.0,8064,NTS,A,24
6,1,test,1,B,triangle.png,1,m,Mon Oct 06 2025 13:07:48 GMT-0500 (Central Daylight Time),262597.89999997616,1000,I,m,696,5,1,1710.6000000238419,260887.29999995232,8064,NTS,A,1
