acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),,050_m_f_n_a.png,I,space,2105,1,,,,8065,NNB,A,0
1,prac,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),78332.69999998808,063_y_f_n_a.png,I,m,981,2,,1806.6000000238419,76526.09999996424,8065,NNB,A,1
2,prac,1,1.0,1-Back,1.0,z,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),80948.39999997616,063_y_f_n_a.png,I,z,1829,3,,2609.0,78339.39999997616,8065,NNB,A,2
3,prac,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),82864.5,053_o_m_n_a.png,I,m,1109,4,,1909.6000000238419,80954.89999997616,8065,NNB,A,3
4,prac,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),84197.30000001192,058_m_m_n_a.png,I,m,519,5,,1326.2000000476837,82871.09999996424,8065,NNB,A,4
5,prac,1,1.0,1-Back,1.0,z,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),85397.0,058_m_m_n_a.png,I,z,413,6,,1193.5,84203.5,8065,NNB,A,5
6,prac,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),86896.39999997616,047_o_f_n_a.png,I,m,659,7,,1492.800000011921,85403.59999996424,8065,NNB,A,6
7,prac,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),88179.30000001192,045_m_m_n_a.png,I,m,482,8,,1276.2000000476837,86903.09999996424,8065,NNB,A,7
8,prac,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),89695.59999996424,050_m_f_n_a.png,I,m,735,9,,1509.7999999523163,88185.80000001192,8065,NNB,A,8
9,prac,1,1.0,1-Back,1.0,z,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),91111.89999997616,050_m_f_n_a.png,I,z,627,10,,1409.8999999761581,89702.0,8065,NNB,A,9
10,prac,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),92961.30000001192,053_o_m_n_a.png,I,m,1066,11,,1842.800000011921,91118.5,8065,NNB,A,10
11,prac,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),94427.69999998808,010_y_f_n_a.png,I,m,635,12,,1459.699999988079,92968.0,8065,NNB,A,11
0,test,1,0.0,1-Back,,,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),94427.69999998808,063_y_f_n_a.png,I,space,3431,1,,1459.699999988079,92968.0,8065,NNB,A,0
1,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),105923.69999998808,043_m_f_n_a.png,I,m,447,2,,1461.199999988079,104462.5,8065,NNB,A,1
2,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),107412.80000001192,010_y_f_n_a.png,I,m,473,3,,1484.7000000476837,105928.09999996424,8065,NNB,A,2
3,test,1,1.0,1-Back,1.0,z,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),108806.19999998808,010_y_f_n_a.png,I,z,370,4,,1388.6000000238419,107417.59999996424,8065,NNB,A,3
4,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),110189.30000001192,043_m_f_n_a.png,I,m,354,5,,1379.2000000476837,108810.09999996424,8065,NNB,A,4
5,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),111588.59999996424,053_o_m_n_a.png,I,m,379,6,,1395.199999988079,110193.39999997616,8065,NNB,A,5
6,test,1,1.0,1-Back,1.0,z,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),112971.59999996424,053_o_m_n_a.png,I,z,364,7,,1379.0,111592.59999996424,8065,NNB,A,6
7,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),114321.19999998808,058_m_m_n_a.png,I,m,317,8,,1345.699999988079,112975.5,8065,NNB,A,7
8,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),115754.19999998808,047_o_f_n_a.png,I,m,407,9,,1429.300000011921,114324.89999997616,8065,NNB,A,8
9,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),117170.19999998808,058_m_m_n_a.png,I,m,390,10,,1411.800000011921,115758.39999997616,8065,NNB,A,9
10,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),118620.19999998808,041_y_m_n_a.png,I,m,423,11,,1445.800000011921,117174.39999997616,8065,NNB,A,10
11,test,1,1.0,1-Back,1.0,z,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),120036.0,041_y_m_n_a.png,I,z,396,12,,1411.4000000357628,118624.59999996424,8065,NNB,A,11
12,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),121352.19999998808,044_o_f_n_a.png,I,m,292,13,,1311.800000011921,120040.39999997616,8065,NNB,A,12
13,test,1,1.0,1-Back,1.0,z,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),122785.30000001192,044_o_f_n_a.png,I,z,408,14,,1429.300000011921,121356.0,8065,NNB,A,13
14,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),124134.69999998808,008_y_m_n_a.png,I,m,327,15,,1345.0,122789.69999998808,8065,NNB,A,14
15,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),125484.39999997616,050_m_f_n_a.png,I,m,330,16,,1345.699999988079,124138.69999998808,8065,NNB,A,15
16,test,1,0.0,1-Back,1.0,m,Mon Apr 13 2026 12:38:45 GMT-0500 (Central Daylight Time),126850.59999996424,046_o_m_n_a.png,I,m,340,17,,1361.7999999523163,125488.80000001192,8065,NNB,A,16
