acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,-192,54298.59999996424,CFD-BM-250-170-N.jpg,Sam,64,I,None,3015,,3015,,,1,,4032.800000011921,-416,-256,50265.799999952316,8069,FN,C,,14376,,,1,192,-320,-224
1,prac,1,1,,317.0,-5.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,32,58880.0,CFD-WM-255-219-N.jpg,John,64,I,1,1526,,1526,,,2,,2546.0,224,-32,56334.0,8069,FN,C,,20441,,,2,192,320,0
2,prac,1,1,,-342.0,215.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,256,60929.39999997616,CFD-LF-208-127-N.jpg,Tina,64,I,1,1032,,1032,,,3,,2047.3999999761581,-416,192,58882.0,8069,FN,C,,22990,,,3,192,-320,224
3,prac,1,1,,335.0,-229.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,-192,63245.5,CFD-BM-250-170-N.jpg,Sam,64,I,1,1295,,1295,,,4,,2314.300000011921,224,-256,60931.19999998808,8069,FN,C,,25039,,,4,192,320,-224
4,prac,1,1,,-299.0,4.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,32,65228.19999998808,CFD-WM-255-219-N.jpg,John,64,I,1,956,,956,,,5,,1980.9000000357628,-416,-32,63247.299999952316,8069,FN,C,,27355,,,5,192,-320,0
5,prac,1,1,,357.0,219.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,256,67111.0,CFD-LF-208-127-N.jpg,Tina,64,I,1,861,,861,,,6,,1881.2000000476837,224,192,65229.799999952316,8069,FN,C,,29338,,,6,192,320,224
0,prac,1,0,m,357.0,219.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,256,73906.59999996424,CFD-BM-250-170-N.jpg,John,64,I,None,4096,,,4096,,2,,5102.0,224,192,68804.59999996424,8069,FN,C,,,32903,,1,192,320,224
1,prac,1,1,m,357.0,219.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,256,77607.79999995232,CFD-WM-255-219-N.jpg,Sam,64,I,m,1900,,,1900,,1,,3696.0,224,192,73911.79999995232,8069,FN,C,,,38018,,2,192,320,224
2,prac,1,1,z,357.0,219.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,256,80756.69999998808,CFD-LF-208-127-N.jpg,Tina,64,I,z,1353,,,1353,,3,,3144.5,224,192,77612.19999998808,8069,FN,C,,,41717,,3,192,320,224
1,learn,1,1,,308.0,219.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,256,87704.29999995232,CFD-WF-212-050-N.jpg,Nichole,64,I,1,1334,1334,,,,30,,2364.099999964237,224,192,85340.19999998808,8069,FN,C,49448,,,,1,192,320,224
2,learn,1,1,,341.0,2.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,32,89753.79999995232,CFD-LF-219-223-N.jpg,Jane,64,I,1,1017,1017,,,,41,,2047.0999999642372,224,-32,87706.69999998808,8069,FN,C,51814,,,,2,192,320,0
3,learn,1,1,,322.0,-9.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,32,91786.39999997616,CFD-WM-230-131-N.jpg,Paul,64,I,1,1016,1016,,,,17,,2030.5,224,-32,89755.89999997616,8069,FN,C,53863,,,,3,192,320,0
4,learn,1,1,,-327.0,-243.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,-192,93753.69999998808,CFD-BM-239-136-N.jpg,Mark,64,I,1,934,934,,,,1,,1965.5,-416,-256,91788.19999998808,8069,FN,C,55896,,,,4,192,-320,-224
5,learn,1,1,,313.0,229.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,256,95818.29999995232,CFD-LF-210-220-N.jpg,Helen,64,I,1,1048,1048,,,,48,,2062.399999976158,224,192,93755.89999997616,8069,FN,C,57862,,,,5,192,320,224
6,learn,1,1,,301.0,214.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,256,97784.19999998808,CFD-LM-237-264-N.jpg,Jack,64,I,1,942,942,,,,36,,1964.199999988079,224,192,95820.0,8069,FN,C,59928,,,,6,192,320,224
7,learn,1,1,,314.0,-225.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,-192,99884.0,CFD-BF-207-004-N.jpg,Lisa,64,I,1,1072,1072,,,,10,,2097.900000035763,224,-256,97786.09999996424,8069,FN,C,61894,,,,7,192,320,-224
8,learn,1,1,,-335.0,209.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,256,102333.09999996424,CFD-BF-207-004-N.jpg,Lisa,64,I,1,1428,1428,,,,9,,2447.300000011921,-416,192,99885.79999995232,8069,FN,C,63995,,,,8,192,-320,224
9,learn,1,1,,-346.0,-2.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,32,104282.5,CFD-LF-200-058-N.jpg,Cindy,64,I,1,917,917,,,,44,,1947.0,-416,-32,102335.5,8069,FN,C,66443,,,,9,192,-320,0
10,learn,1,1,,-326.0,-249.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,-192,106365.0,CFD-WM-224-197-N.jpg,Chris,64,I,1,1063,1063,,,,19,,2080.400000035763,-416,-256,104284.59999996424,8069,FN,C,68392,,,,10,192,-320,-224
11,learn,1,1,,316.0,-4.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,32,108181.5,CFD-LM-237-264-N.jpg,Jack,64,I,1,788,788,,,,35,,1814.9000000357628,224,-32,106366.59999996424,8069,FN,C,70475,,,,11,192,320,0
12,learn,1,1,,-319.0,225.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,256,110863.69999998808,CFD-LF-217-082-N.jpg,Irene,64,I,1,1660,1660,,,,45,,2680.5,-416,192,108183.19999998808,8069,FN,C,72291,,,,12,192,-320,224
13,learn,1,1,,-311.0,-233.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,-192,113096.69999998808,CFD-BM-216-088-N.jpg,David,64,I,1,1210,1210,,,,7,,2230.699999988079,-416,-256,110866.0,8069,FN,C,74973,,,,13,192,-320,-224
14,learn,1,1,,365.0,218.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,256,115229.09999996424,CFD-BM-243-218-N.jpg,Brian,64,I,1,1112,1112,,,,6,,2130.300000011921,224,192,113098.79999995232,8069,FN,C,77206,,,,14,192,320,224
15,learn,1,1,,289.0,3.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,32,118194.79999995232,CFD-LF-210-220-N.jpg,Helen,64,I,1,1938,1938,,,,47,,2964.2999999523163,224,-32,115230.5,8069,FN,C,79340,,,,15,192,320,0
16,learn,1,1,,-303.0,8.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,32,120277.5,CFD-WF-244-163-N.jpg,Rachel,64,I,1,1062,1062,,,,32,,2080.2000000476837,-416,-32,118197.29999995232,8069,FN,C,82304,,,,16,192,-320,0
17,learn,1,1,,-296.0,-224.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,-192,122343.69999998808,CFD-BF-243-164-N.jpg,Emily,64,I,1,1044,1044,,,,13,,2064.300000011921,-416,-256,120279.39999997616,8069,FN,C,84387,,,,17,192,-320,-224
18,learn,1,1,,-299.0,226.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,256,124559.5,CFD-BF-227-137-N.jpg,Lucy,64,I,1,1194,1194,,,,15,,2214.0,-416,192,122345.5,8069,FN,C,86453,,,,18,192,-320,224
19,learn,1,1,,-287.0,-227.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,-192,127175.39999997616,CFD-WF-229-004-N.jpg,Julie,64,I,1,1584,1584,,,,25,,2614.399999976158,-416,-256,124561.0,8069,FN,C,88670,,,,19,192,-320,-224
20,learn,1,1,,302.0,-238.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,-192,129192.0,CFD-BM-240-207-N.jpg,George,64,I,1,994,994,,,,4,,2014.5,224,-256,127177.5,8069,FN,C,91285,,,,20,192,320,-224
21,learn,1,1,,-325.0,-228.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,-192,131142.0,CFD-LM-208-110-N.jpg,Richard,64,I,1,922,922,,,,37,,1948.5,-416,-256,129193.5,8069,FN,C,93301,,,,21,192,-320,-224
22,learn,1,1,,327.0,-222.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,-192,133357.0,CFD-WF-224-099-N.jpg,Kate,64,I,1,1197,1197,,,,28,,2212.800000011921,224,-256,131144.19999998808,8069,FN,C,95250,,,,22,192,320,-224
23,learn,1,1,,327.0,-222.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),416,-192,135839.5,CFD-LF-217-082-N.jpg,Irene,64,I,1,1461,1461,,,,46,,2480.900000035763,224,-256,133358.59999996424,8069,FN,C,97466,,,,23,192,320,-224
24,learn,1,1,,-294.0,-11.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,32,138022.09999996424,CFD-WM-224-197-N.jpg,Chris,64,I,1,1153,1153,,,,20,,2180.800000011921,-416,-32,135841.29999995232,8069,FN,C,99949,,,,24,192,-320,0
25,learn,1,1,,-292.0,-11.0,Thu May 07 2026 16:29:09 GMT-0500 (Central Daylight Time),-224,32,141337.5,CFD-WF-229-004-N.jpg,Julie,64,I,1,2283,2283,,,,26,,3313.600000023842,-416,-32,138023.89999997616,8069,FN,C,102132,,,,25,192,-320,0
