acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),42343.0,I,m,1745,,,6,no,,3262.2999999970198,39080.70000000298,practrial6.png,practrial6b.png,8073,PC,B,,,1
2,1,0.0,prac,1,z,30000.0,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),44725.29999999702,I,z,852,,,3,yes,,2376.7999999970198,42348.5,practrial3.png,practrial3.png,8073,PC,B,,,2
3,1,0.0,prac,1,m,30000.0,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),47491.0,I,m,1232,,,4,no,,2761.8999999910593,44729.10000000894,practrial4.png,practrial4b.png,8073,PC,B,,,3
4,1,0.0,prac,1,z,30000.0,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),49940.40000000596,I,z,914,,,5,yes,,2445.1000000089407,47495.29999999702,practrial5.png,practrial5.png,8073,PC,B,,,4
5,1,0.0,prac,1,m,30000.0,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),52306.20000000298,I,m,832,,,2,no,,2362.0,49944.20000000298,practrial2.png,practrial2b.png,8073,PC,B,,,5
6,1,0.0,prac,1,z,30000.0,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),54888.79999999702,I,z,1058,,,1,yes,,2578.7999999970198,52310.0,practrial1.png,practrial1.png,8073,PC,B,,,6
1,1,1.0329999923706055,test,1,z,28967.000007629395,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),67684.90000000596,I,z,1027,1027,,1,yes,,1030.5,66654.40000000596,test1trial1.png,test1trial1.png,8073,PC,B,64260,,1
2,1,3.0820000171661377,test,1,m,26917.999982833862,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),69734.10000000894,I,m,2033,2033,,2,no,,2045.800000011921,67688.29999999702,test1trial2.png,test1trial2b.png,8073,PC,B,65294,,2
3,1,4.115000009536743,test,1,z,25884.999990463257,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),70767.10000000894,I,z,1024,1024,,3,yes,,1030.0,69737.10000000894,test1trial3.png,test1trial3.png,8073,PC,B,67343,,3
4,1,5.049000024795532,test,1,m,24950.999975204468,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),71700.20000000298,I,m,919,919,,4,no,,930.4000000059605,70769.79999999702,test1trial4.png,test1trial4b.png,8073,PC,B,68376,,4
5,1,5.947999954223633,test,1,z,24052.000045776367,Tue Nov 04 2025 16:23:58 GMT-0600 (Central Standard Time),72600.10000000894,I,z,883,883,,5,yes,,897.3000000119209,71702.79999999702,test1trial5.png,test1trial5.png,8073,PC,B,69308,,5
