acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),,005_o_f_d_a.png,I,space,7951,1,,,,8073,VNB,B,0
1,prac,1,0.0,1-Back,1.0,m,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),215626.0,020_y_f_n_a.png,I,m,1295,2,,2156.0,213470.0,8073,VNB,B,1
2,prac,1,0.0,1-Back,1.0,m,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),217975.0,007_m_m_h_a.png,I,m,1459,3,,2339.0999999940395,215635.90000000596,8073,VNB,B,2
3,prac,1,0.0,1-Back,1.0,m,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),219974.0,016_y_m_d_a.png,I,m,1118,4,,1990.8999999910593,217983.10000000894,8073,VNB,B,3
4,prac,1,0.0,1-Back,1.0,m,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),222240.10000000894,005_o_f_n_a.png,I,m,1388,5,,2256.6000000089407,219983.5,8073,VNB,B,4
5,prac,1,1.0,1-Back,1.0,z,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),224822.60000000894,016_y_m_n_a.png,I,z,1697,6,,2571.2000000029802,222251.40000000596,8073,VNB,B,5
6,prac,1,0.0,1-Back,1.0,m,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),226938.70000000298,004_o_m_h_a.png,I,m,1251,7,,2107.3999999910593,224831.30000001192,8073,VNB,B,6
7,prac,1,0.0,1-Back,1.0,m,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),229287.90000000596,011_m_f_d_a.png,I,m,1465,8,,2341.4000000059605,226946.5,8073,VNB,B,7
8,prac,1,1.0,1-Back,1.0,z,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),231354.0,020_y_f_d_a.png,I,z,1194,9,,2057.199999988079,229296.80000001192,8073,VNB,B,8
9,prac,1,0.0,1-Back,1.0,m,Tue Nov 04 2025 15:21:21 GMT-0600 (Central Standard Time),233586.30000001192,007_m_m_n_a.png,I,m,1340,10,,2223.7000000029802,231362.60000000894,8073,VNB,B,9
