acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),33381.5,I,z,2011,,,3,yes,,3528.5,29853.0,practrial3.png,practrial3.png,8074,PC,A,,,1
2,1,0.0,prac,1,z,30000.0,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),36547.199999928474,I,z,1629,,,1,yes,,3160.1999999284744,33387.0,practrial1.png,practrial1.png,8074,PC,A,,,2
3,1,0.0,prac,1,m,30000.0,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),39612.799999952316,I,m,1545,,,6,no,,3061.600000023842,36551.199999928474,practrial6.png,practrial6b.png,8074,PC,A,,,3
4,1,0.0,prac,1,m,30000.0,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),42512.10000002384,I,m,1376,,,2,no,,2895.7000000476837,39616.39999997616,practrial2.png,practrial2b.png,8074,PC,A,,,4
5,1,0.0,prac,1,z,30000.0,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),45544.5,I,z,1509,,,5,yes,,3029.0,42515.5,practrial5.png,practrial5.png,8074,PC,A,,,5
6,1,0.0,prac,1,m,30000.0,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),48460.0,I,m,1379,,,4,no,,2911.3000000715256,45548.699999928474,practrial4.png,practrial4b.png,8074,PC,A,,,6
1,1,1.3659999370574951,test,1,z,28634.000062942505,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),58623.699999928474,I,z,1348,1348,,1,yes,,1363.7999999523163,57259.89999997616,test1trial1.png,test1trial1.png,8074,PC,A,54202,,1
2,1,2.4159998893737793,test,1,m,27584.00011062622,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),59673.299999952316,I,m,1045,1045,,2,no,,1045.7999999523163,58627.5,test1trial2.png,test1trial2b.png,8074,PC,A,55569,,2
3,1,3.6480000019073486,test,1,z,26351.99999809265,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),60906.10000002384,I,z,1228,1228,,3,yes,,1229.7000000476837,59676.39999997616,test1trial3.png,test1trial3.png,8074,PC,A,56618,,3
4,1,4.730999946594238,test,1,m,25269.00005340576,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),61989.199999928474,I,m,1067,1067,,4,no,,1080.1999999284744,60909.0,test1trial4.png,test1trial4b.png,8074,PC,A,57851,,4
5,1,5.897000074386597,test,1,z,24102.999925613403,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),63155.5,I,z,1152,1152,,5,yes,,1163.5,61992.0,test1trial5.png,test1trial5.png,8074,PC,A,58934,,5
6,1,6.9649999141693115,test,1,m,23035.00008583069,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),64223.0,I,m,1049,1049,,6,no,,1064.6000000238419,63158.39999997616,test1trial6.png,test1trial6b.png,8074,PC,A,60101,,6
7,1,7.996999979019165,test,1,z,22003.000020980835,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),65254.799999952316,I,z,1014,1014,,7,yes,,1028.7999999523163,64226.0,test1trial7.png,test1trial7.png,8074,PC,A,61168,,7
8,1,9.345999956130981,test,1,m,20654.00004386902,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),66604.5,I,m,1342,1342,,8,no,,1346.5,65258.0,test1trial8.png,test1trial8b.png,8074,PC,A,62200,,8
9,1,10.411999940872192,test,1,z,19588.000059127808,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),67670.79999995232,I,z,1049,1049,,9,yes,,1063.3999999761581,66607.39999997616,test1trial9.png,test1trial9.png,8074,PC,A,63549,,9
10,1,11.578999996185303,test,1,m,18421.000003814697,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),68837.0,I,m,1151,1151,,10,no,,1163.3000000715256,67673.69999992847,test1trial10.png,test1trial10b.png,8074,PC,A,64615,,10
11,1,12.778000116348267,test,1,z,17221.999883651733,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),70036.79999995232,I,z,1185,1185,,11,yes,,1197.1000000238419,68839.69999992847,test1trial11.png,test1trial11.png,8074,PC,A,65781,,11
11,1,14.444999933242798,test,0,m,15555.000066757202,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),71702.89999997616,I,z,1648,1648,,12,no,,1663.0,70039.89999997616,test1trial12.png,test1trial12b.png,8074,PC,A,66982,,12
12,1,15.41100001335144,test,1,m,14588.99998664856,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),72669.19999992847,I,m,958,958,,13,no,,963.1999999284744,71706.0,test1trial13.png,test1trial13b.png,8074,PC,A,68648,,13
13,1,16.677000045776367,test,1,m,13322.999954223633,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),73935.39999997616,I,m,1248,1248,,14,no,,1263.2000000476837,72672.19999992847,test1trial14.png,test1trial14b.png,8074,PC,A,69614,,14
14,1,17.66100001335144,test,1,z,12338.99998664856,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),74919.69999992847,I,z,974,974,,15,yes,,981.6999999284744,73938.0,test1trial15.png,test1trial15.png,8074,PC,A,70880,,15
15,1,18.72699999809265,test,1,m,11273.000001907349,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),75985.10000002384,I,m,1061,1061,,16,no,,1062.4000000953674,74922.69999992847,test1trial16.png,test1trial16b.png,8074,PC,A,71865,,16
16,1,20.094000101089478,test,1,z,9905.999898910522,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),77352.10000002384,I,z,1356,1356,,17,yes,,1363.9000000953674,75988.19999992847,test1trial17.png,test1trial17.png,8074,PC,A,72930,,17
17,1,21.29200005531311,test,1,m,8707.99994468689,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),78550.60000002384,I,m,1189,1189,,18,no,,1195.9000000953674,77354.69999992847,test1trial18.png,test1trial18b.png,8074,PC,A,74297,,18
18,1,22.64199995994568,test,1,m,7358.000040054321,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),79900.19999992847,I,m,1335,1335,,19,no,,1346.8999999761581,78553.29999995232,test1trial19.png,test1trial19b.png,8074,PC,A,75495,,19
19,1,23.924999952316284,test,1,z,6075.000047683716,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),81183.19999992847,I,z,1273,1273,,20,yes,,1279.6999999284744,79903.5,test1trial20.png,test1trial20.png,8074,PC,A,76845,,20
20,1,25.10800004005432,test,1,z,4891.999959945679,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),82366.29999995232,I,z,1174,1174,,21,yes,,1180.3999999761581,81185.89999997616,test1trial21.png,test1trial21.png,8074,PC,A,78128,,21
20,1,26.407000064849854,test,0,z,3592.9999351501465,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),83665.69999992847,I,m,1295,1295,,22,yes,,1296.5,82369.19999992847,test1trial22.png,test1trial22.png,8074,PC,A,79311,,22
21,1,28.289999961853027,test,1,z,1710.0000381469727,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),85548.5,I,z,1876,1876,,23,yes,,1880.2000000476837,83668.29999995232,test1trial23.png,test1trial23.png,8074,PC,A,80610,,23
22,1,29.457000017166138,test,1,z,542.9999828338623,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),86714.89999997616,I,z,1152,1152,,24,yes,,1163.0,85551.89999997616,test1trial24.png,test1trial24.png,8074,PC,A,82494,,24
22,1,30.00600004196167,test,0,m,-6.000041961669922,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),87264.60000002384,I,None,545,545,,25,no,,546.8000000715256,86717.79999995232,test1trial25.png,test1trial25b.png,8074,PC,A,83660,,25
1,2,1.4160001277923584,test,1,m,28583.99987220764,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),94612.39999997616,I,m,1409,,1409.0,1,no,,7894.600000023842,86717.79999995232,test2trial1.png,test2trial1b.png,8074,PC,A,,90141.0,1
2,2,2.6660001277923584,test,1,m,27333.99987220764,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),95862.0,I,m,1240,,1240.0,2,no,,9144.200000047684,86717.79999995232,test2trial2.png,test2trial2b.png,8074,PC,A,,91558.0,2
3,2,3.7320001125335693,test,1,z,26267.99988746643,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),96928.29999995232,I,z,1048,,1048.0,3,yes,,10210.5,86717.79999995232,test2trial3.png,test2trial3.png,8074,PC,A,,92806.0,3
4,2,5.281000137329102,test,1,z,24718.9998626709,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),98477.79999995232,I,z,1541,,1541.0,4,yes,,11760.0,86717.79999995232,test2trial4.png,test2trial4.png,8074,PC,A,,93873.0,4
5,2,6.466000080108643,test,1,z,23533.999919891357,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),99662.0,I,z,1176,,1176.0,5,yes,,12944.200000047684,86717.79999995232,test2trial5.png,test2trial5.png,8074,PC,A,,95422.0,5
6,2,7.897000074386597,test,1,z,22102.999925613403,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),101093.60000002384,I,z,1415,,1415.0,6,yes,,14375.800000071526,86717.79999995232,test2trial6.png,test2trial6.png,8074,PC,A,,96607.0,6
7,2,9.246999979019165,test,1,m,20753.000020980835,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),102443.5,I,m,1344,,1344.0,7,no,,15725.700000047684,86717.79999995232,test2trial7.png,test2trial7b.png,8074,PC,A,,98038.0,7
7,2,10.463000059127808,test,0,m,19536.999940872192,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),103659.39999997616,I,z,1210,,1210.0,8,no,,16941.600000023842,86717.79999995232,test2trial8.png,test2trial8b.png,8074,PC,A,,99388.0,8
7,2,12.496000051498413,test,0,z,17503.999948501587,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),105692.10000002384,I,m,2018,,2018.0,9,yes,,18974.300000071526,86717.79999995232,test2trial9.png,test2trial9.png,8074,PC,A,,100604.0,9
8,2,13.729000091552734,test,1,z,16270.999908447266,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),106925.10000002384,I,z,1225,,1225.0,10,yes,,20207.300000071526,86717.79999995232,test2trial10.png,test2trial10.png,8074,PC,A,,102637.0,10
9,2,15.062000036239624,test,1,m,14937.999963760376,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),108258.10000002384,I,m,1328,,1328.0,11,no,,21540.300000071526,86717.79999995232,test2trial11.png,test2trial11b.png,8074,PC,A,,103870.0,11
10,2,16.99399995803833,test,1,m,13006.00004196167,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),110190.79999995232,I,m,1923,,1923.0,12,no,,23473.0,86717.79999995232,test2trial12.png,test2trial12b.png,8074,PC,A,,105203.0,12
10,2,18.526999950408936,test,0,z,11473.000049591064,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),111723.5,I,m,1527,,1527.0,13,yes,,25005.700000047684,86717.79999995232,test2trial13.png,test2trial13.png,8074,PC,A,,107135.0,13
11,2,20.377000093460083,test,1,m,9622.999906539917,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),113573.10000002384,I,m,1834,,1834.0,14,no,,26855.300000071526,86717.79999995232,test2trial14.png,test2trial14b.png,8074,PC,A,,108668.0,14
12,2,21.693000078201294,test,1,m,8306.999921798706,Fri May 08 2026 14:46:06 GMT-0500 (Central Daylight Time),114889.10000002384,I,m,1312,,1312.0,15,no,,28171.300000071526,86717.79999995232,test2trial15.png,test2trial15b.png,8074,PC,A,,110518.0,15
