block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,1.3849999904632568,delay,58615.00000953674,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),20156.29999999702,A,towerenter,I,enter,162,,1385.2999999970198,18771.0,8075,DWL,C,1
8,2.3989999294281006,delay,57601.0000705719,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),21170.5,A,queenenter,I,enter,219,,1013.4000000059605,20157.09999999404,8075,DWL,C,2
8,3.4159998893737793,delay,56584.00011062622,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),22186.70000000298,A,sugarenter,I,enter,221,,1015.9000000059605,21170.79999999702,8075,DWL,C,3
8,4.580999851226807,delay,55419.00014877319,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),23352.29999999702,A,boyenter,I,enter,588,,1165.2999999970198,22187.0,8075,DWL,C,4
8,5.582000017166138,delay,54417.99998283386,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),24353.29999999702,A,homeenter,I,enter,180,,1000.5999999940395,23352.70000000298,8075,DWL,C,5
8,6.596999883651733,delay,53403.00011634827,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),25368.29999999702,A,campenter,I,enter,230,,1014.7000000029802,24353.59999999404,8075,DWL,C,6
8,11.228999853134155,delay,48771.000146865845,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),30000.40000000596,A,cornenter,I,enter,697,,4631.70000000298,25368.70000000298,8075,DWL,C,7
8,27.441999912261963,delay,32558.000087738037,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),46212.79999999702,A,docturenter,I,enter,103,,16212.09999999404,30000.70000000298,8075,DWL,C,8
8,39.55299997329712,delay,20447.00002670288,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),58324.70000000298,A,nailenter,I,enter,219,,12111.5,46213.20000000298,8075,DWL,C,9
8,60.013999938964844,delay,-13.99993896484375,Fri Feb 13 2026 10:50:17 GMT-0600 (Central Standard Time),78785.90000000596,A,None,I,None,20457,,20460.90000000596,58325.0,8075,DWL,C,10
