acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),50556.09999999404,I,z,3370,,,2,yes,3,4894.199999988079,45661.90000000596,NBGFSM,NBGFSM,8076,LC,A,,,1
2,1,0.0,prac,1,m,30000.0,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),54066.30000001192,I,m,1941,,,5,no,3,3503.9000000059605,50562.40000000596,LNDPRSKQB,LNDPRSJQB,8076,LC,A,,,2
3,1,0.0,prac,1,m,30000.0,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),56787.70000001788,I,m,1184,,,1,no,3,2716.300000011921,54071.40000000596,RNV,FNV,8076,LC,A,,,3
4,1,0.0,prac,1,m,30000.0,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),61369.70000001788,I,m,3047,,,3,no,3,4577.700000017881,56792.0,QHZXPC,QHZWPC,8076,LC,A,,,4
5,1,0.0,prac,1,z,30000.0,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),64068.59999999404,I,z,1169,,,4,yes,3,2694.2999999821186,61374.30000001192,RSM,RSM,8076,LC,A,,,5
6,1,0.0,prac,1,z,30000.0,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),69300.59999999404,I,z,3712,,,6,yes,3,5228.199999988079,64072.40000000596,CSDBFPHXZ,CSDBFPHXZ,8076,LC,A,,,6
1,1,1.4000000953674316,test,1,m,28599.99990463257,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),81396.90000000596,I,m,1384,1384,,1,no,3,1397.199999988079,79999.70000001788,HCF,RCF,8076,LC,A,77349,,1
2,1,3.5490000247955322,test,1,m,26450.999975204468,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),83545.70000001788,I,m,2144,2144,,2,no,3,2145.4000000059605,81400.30000001192,QTPRJX,QTPNJX,8076,LC,A,78750,,2
3,1,6.132000207901001,test,1,m,23867.999792099,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),86128.40000000596,I,m,2572,2572,,3,no,3,2579.5999999940395,83548.80000001192,MZDYGVGKQ,MZDYGLBKQ,8076,LC,A,80898,,3
4,1,7.582000017166138,test,1,m,22417.999982833862,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),87578.20000001788,I,m,1436,1436,,4,no,3,1446.1000000238419,86132.09999999404,FQTNMK,JQTNMK,8076,LC,A,83482,,4
5,1,8.648000001907349,test,1,z,21351.99999809265,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),88644.30000001192,I,z,1059,1059,,5,yes,3,1062.800000011921,87581.5,CLJ,CLJ,8076,LC,A,84931,,5
5,1,12.580000162124634,test,0,m,17419.999837875366,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),92576.80000001192,I,z,3921,3921,,6,no,3,3929.2000000178814,88647.59999999404,JGDMNSVPW,JGZMNSVPW,8076,LC,A,85997,,6
6,1,15.696000099182129,test,1,z,14303.999900817871,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),95692.30000001192,I,z,3107,3107,,7,yes,3,3112.0999999940395,92580.20000001788,FPTVHKCBJ,FPTVHKCBJ,8076,LC,A,89930,,7
7,1,16.979000091552734,test,1,m,13020.999908447266,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),96975.80000001192,I,m,1273,1273,,8,no,3,1280.4000000059605,95695.40000000596,XRPZBS,ZRPBDH,8076,LC,A,93045,,8
8,1,18.278000116348267,test,1,m,11721.999883651733,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),98274.5,I,m,1294,1294,,9,no,3,1295.5,96979.0,ZSQ,ZSP,8076,LC,A,94328,,9
9,1,20.66100001335144,test,1,z,9338.99998664856,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),100657.20000001788,I,z,2370,2370,,10,yes,3,2379.4000000059605,98277.80000001192,MPZRXL,MPZRXL,8076,LC,A,95627,,10
10,1,21.677000045776367,test,1,m,8322.999954223633,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),101673.90000000596,I,m,1012,1012,,11,no,3,1013.5,100660.40000000596,KJH,KRH,8076,LC,A,98010,,11
11,1,24.593000173568726,test,1,z,5406.999826431274,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),104589.59999999404,I,z,2899,2899,,12,yes,3,2912.899999976158,101676.70000001788,SMNHVTFCB,SMNHVTFCB,8076,LC,A,99026,,12
12,1,26.625,test,1,z,3375.0,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),106621.80000001192,I,z,2015,2015,,13,yes,3,2029.4000000059605,104592.40000000596,KJWTQF,KJWTQF,8076,LC,A,101942,,13
12,1,30.008000135421753,test,0,z,-8.00013542175293,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),110004.5,I,None,3379,3379,,14,yes,3,3379.9000000059605,106624.59999999404,CHDKQGLMB,CHDKQGLMB,8076,LC,A,103974,,14
1,2,4.166000127792358,test,1,z,25833.99987220764,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),121467.59999999404,I,z,4152,,4152.0,1,yes,3,14843.0,106624.59999999404,PRDBZTYFN,PRDBZTYFN,8076,LC,A,,114654.0,1
2,2,5.998000144958496,test,1,m,24001.999855041504,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),123300.20000001788,I,m,1818,,1818.0,2,no,3,16675.600000023842,106624.59999999404,NCWJDZ,NCMJDZ,8076,LC,A,,118820.0,2
3,2,7.331000089645386,test,1,m,22668.999910354614,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),124632.70000001788,I,m,1328,,1328.0,3,no,3,18008.100000023842,106624.59999999404,KHW,KBW,8076,LC,A,,120653.0,3
4,2,9.94700002670288,test,1,m,20052.99997329712,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),127248.70000001788,I,m,2603,,2603.0,4,no,3,20624.100000023842,106624.59999999404,ZRBGMF,ZRBCMF,8076,LC,A,,121986.0,4
5,2,11.097000122070312,test,1,m,18902.999877929688,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),128398.59999999404,I,m,1140,,1140.0,5,no,3,21774.0,106624.59999999404,BTH,BYH,8076,LC,A,,124602.0,5
6,2,14.878999948501587,test,1,z,15121.000051498413,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),132180.59999999404,I,z,3766,,3766.0,6,yes,3,25556.0,106624.59999999404,XWKQRYCNZ,XWKQRYCNZ,8076,LC,A,,125751.0,6
7,2,16.578999996185303,test,1,z,13421.000003814697,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),133880.5,I,z,1680,,1680.0,7,yes,3,27255.90000000596,106624.59999999404,HNPDLK,HNPDLK,8076,LC,A,,129533.0,7
8,2,18.944000005722046,test,1,m,11055.999994277954,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),136246.20000001788,I,m,2357,,2357.0,8,no,3,29621.600000023842,106624.59999999404,WMQTRSGLZ,WMQTRZGLZ,8076,LC,A,,131233.0,8
9,2,20.677000045776367,test,1,z,9322.999954223633,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),137978.70000001788,I,z,1726,,1726.0,9,yes,3,31354.100000023842,106624.59999999404,JPN,JPN,8076,LC,A,,133599.0,9
10,2,22.30999994277954,test,1,m,7690.000057220459,Tue Apr 21 2026 18:37:56 GMT-0500 (Central Daylight Time),139611.90000000596,I,m,1618,,1618.0,10,no,3,32987.30000001192,106624.59999999404,QLXSVT,QLNSVT,8076,LC,A,,135331.0,10
