acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,A,haborder.png,0,m,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),234452.90000000596,CFD-BF-035-007-HC.jpg,2000,solid,I,None,1515,5,3,4298.5999999940395,230154.30000001192,8078,ATS,B,1
0,prac,1,A,haborder.png,0,m,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),238251.70000001788,CFD-BM-020-024-HC.jpg,1500,solid,I,None,1516,3,3,8097.4000000059605,230154.30000001192,8078,ATS,B,2
1,prac,1,A,haborder.png,1,z,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),241217.40000000596,CFD-WF-013-015-A.jpg,1000,solid,I,z,1177,12,3,11063.09999999404,230154.30000001192,8078,ATS,B,3
2,prac,1,A,haborder.png,1,z,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),244267.10000002384,CFD-BF-050-012-A.jpg,1200,solid,I,z,1058,6,3,14112.800000011921,230154.30000001192,8078,ATS,B,4
3,prac,1,A,haborder.png,1,z,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),246883.30000001192,CFD-BF-051-043-A.jpg,1000,solid,I,z,825,4,3,16729.0,230154.30000001192,8078,ATS,B,5
4,prac,1,A,haborder.png,1,z,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),250530.80000001192,CFD-WM-009-009-A.jpg,1900,solid,I,z,966,8,3,20376.5,230154.30000001192,8078,ATS,B,6
5,prac,1,A,haborder.png,1,m,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),253913.5,CFD-WF-011-006-HC.jpg,1500,solid,I,m,1094,11,3,23759.19999998808,230154.30000001192,8078,ATS,B,7
6,prac,1,A,haborder.png,1,z,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),257795.60000002384,CFD-BM-037-041-A.jpg,1600,solid,I,z,1483,2,3,27641.30000001192,230154.30000001192,8078,ATS,B,8
7,prac,1,A,haborder.png,1,m,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),261094.60000002384,CFD-WM-012-007-HC.jpg,1700,solid,I,m,804,9,3,30940.30000001192,230154.30000001192,8078,ATS,B,9
8,prac,1,A,haborder.png,1,m,Wed Jun 24 2026 10:12:00 GMT-0500 (Central Daylight Time),264126.90000000596,CFD-WM-011-006-HC.jpg,1400,solid,I,m,837,7,3,33972.59999999404,230154.30000001192,8078,ATS,B,10
