block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),,,,I,space,1445,3,,,8084,WL,A,
prac,,0,,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),,NA,b,I,b,2002,3,,,8084,WL,A,1.0
prac,,0,,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),,NA,bo,I,o,245,3,,,8084,WL,A,1.0
prac,,0,,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),,NA,boo,I,o,124,3,,,8084,WL,A,1.0
prac,,0,,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),,NA,boos,I,s,215,3,,,8084,WL,A,1.0
prac,,0,,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),,NA,boost,I,t,373,3,,,8084,WL,A,1.0
prac,,0,,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),,NA,boostenter,I,enter,326,3,,,8084,WL,A,1.0
1,2.382999897003174,learn,57617.000102996826,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),102874.10000002384,A,b,I,b,2377,3,2382.399999976158,100491.70000004768,8084,WL,A,1.0
1,2.5490000247955322,learn,57450.99997520447,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),103040.20000004768,A,bo,I,o,143,3,2548.5,100491.70000004768,8084,WL,A,1.0
1,2.6989998817443848,learn,57301.000118255615,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),103190.40000009537,A,boo,I,o,132,3,2698.7000000476837,100491.70000004768,8084,WL,A,1.0
1,3.0989999771118164,learn,56901.00002288818,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),103590.5,A,book,I,k,389,3,3098.7999999523163,100491.70000004768,8084,WL,A,1.0
1,3.4660000801086426,learn,56533.99991989136,Wed Jun 03 2026 17:26:03 GMT-0500 (Central Daylight Time),103956.80000007153,A,bookenter,I,enter,350,3,3465.100000023842,100491.70000004768,8084,WL,A,1.0
