Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,269,158,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),,box1,yes,I,1,1,,,8100,DSST,B,,,,0,160,113
X,1,1,0.0,8,prac,yes,1,8,120000.0,345,150,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),46405.299999952316,box8,yes,I,1,1,3932.7999999523163,42472.5,8100,DSST,B,,,,1,160,113
O,2,1,0.0,6,prac,yes,1,6,120000.0,331,153,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),51103.799999952316,box6,yes,I,1,1,3923.399999976158,47180.39999997616,8100,DSST,B,,,,2,160,113
-,3,1,0.0,1,prac,yes,1,1,120000.0,394,159,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),54620.59999990463,box1,yes,I,1,1,2742.5999999046326,51878.0,8100,DSST,B,,,,3,160,113
^,4,1,0.0,7,prac,yes,1,7,120000.0,378,136,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),59018.299999952316,box7,yes,I,1,1,3624.7999999523163,55393.5,8100,DSST,B,,,,4,160,113
),5,1,0.0,3,prac,yes,1,3,120000.0,361,158,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),63000.39999997616,box3,yes,I,1,1,3209.2000000476837,59791.199999928474,8100,DSST,B,,,,5,160,113
T,6,1,0.0,2,prac,yes,1,2,120000.0,330,145,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),66249.19999992847,box2,yes,I,1,1,2474.399999976158,63774.799999952316,8100,DSST,B,,,,6,160,113
U,7,1,0.0,5,prac,yes,1,5,120000.0,297,164,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),69297.79999995232,box5,yes,I,1,1,2275.2000000476837,67022.59999990463,8100,DSST,B,,,,7,160,113
L,8,1,0.0,4,prac,yes,1,4,120000.0,283,150,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),72813.69999992847,box4,yes,I,1,1,2742.600000023842,70071.09999990463,8100,DSST,B,,,,8,160,113
+,9,1,0.0,9,prac,yes,1,9,120000.0,397,164,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),77362.19999992847,box9,yes,I,1,1,3775.600000023842,73586.59999990463,8100,DSST,B,,,,9,160,113
T,1,1,5.204999923706055,2,test,yes,1,2,114795.00007629395,235,137,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),91074.69999992847,box2,yes,I,1,1,5193.100000023842,85881.59999990463,8100,DSST,B,85409.0,86336.0,81143.0,1,160,113
-,2,1,8.187000036239624,1,test,yes,1,1,111812.99996376038,332,146,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),94057.09999990463,box1,yes,I,1,1,2968.5999999046326,91088.5,8100,DSST,B,88557.0,89318.0,86350.0,2,160,113
),3,1,10.819000005722046,3,test,yes,1,3,109180.99999427795,279,128,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),96689.39999997616,box3,yes,I,1,1,2620.100000023842,94069.29999995232,8100,DSST,B,91273.0,91950.0,89330.0,3,160,113
^,4,1,13.20199990272522,7,test,yes,1,7,106798.00009727478,333,162,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),99073.29999995232,box7,yes,I,1,1,2372.7999999523163,96700.5,8100,DSST,B,93655.0,94334.0,91962.0,4,160,113
T,5,1,15.583999872207642,2,test,yes,1,2,104416.00012779236,362,151,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),101454.59999990463,box2,yes,I,1,1,2369.0,99085.59999990463,8100,DSST,B,96072.0,96716.0,94347.0,5,160,113
L,6,1,17.965999841690063,4,test,yes,1,4,102034.00015830994,372,136,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),103837.5,box4,yes,I,1,1,2371.4000000953674,101466.09999990463,8100,DSST,B,98470.0,99098.0,96727.0,6,160,113
X,7,1,20.514999866485596,8,test,yes,1,8,99485.0001335144,401,140,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),106386.69999992847,box8,yes,I,1,1,2538.399999976158,103848.29999995232,8100,DSST,B,100987.0,101648.0,99109.0,7,160,113
T,8,1,23.313999891281128,2,test,yes,1,2,96686.00010871887,322,140,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),109185.59999990463,box2,yes,I,1,1,2788.399999976158,106397.19999992847,8100,DSST,B,103852.0,104447.0,101658.0,8,160,113
-,9,1,25.48099994659424,1,test,yes,1,1,94519.00005340576,283,125,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),111351.79999995232,box1,yes,I,1,1,2156.600000023842,109195.19999992847,8100,DSST,B,105951.0,106613.0,104456.0,9,160,113
),10,1,27.94700002670288,3,test,yes,1,3,92052.99997329712,306,146,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),113817.79999995232,box3,yes,I,1,1,2456.100000023842,111361.69999992847,8100,DSST,B,108533.0,109079.0,106623.0,10,160,113
T,11,1,30.17899990081787,2,test,yes,1,2,89821.00009918213,301,140,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),116050.09999990463,box2,yes,I,1,1,2221.0999999046326,113829.0,8100,DSST,B,110717.0,111311.0,109090.0,11,160,113
-,12,1,32.07799983024597,1,test,yes,1,1,87922.00016975403,306,154,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),117949.69999992847,box1,yes,I,1,1,1889.2999999523163,116060.39999997616,8100,DSST,B,112617.0,113211.0,111321.0,12,160,113
L,13,1,34.626999855041504,4,test,yes,1,4,85373.0001449585,295,146,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),120498.59999990463,box4,yes,I,1,1,2537.0999999046326,117961.5,8100,DSST,B,115232.0,115760.0,113223.0,13,160,113
T,14,1,37.71000003814697,2,test,yes,1,2,82289.99996185303,271,128,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),123581.19999992847,box2,yes,I,1,1,3071.7999999523163,120509.39999997616,8100,DSST,B,118297.0,118842.0,115770.0,14,160,113
),15,1,39.79200005531311,3,test,yes,1,3,80207.99994468689,260,146,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),125663.69999992847,box3,yes,I,1,1,2071.5,123592.19999992847,8100,DSST,B,120380.0,120925.0,118853.0,15,160,113
U,16,1,42.325000047683716,5,test,yes,1,5,77674.99995231628,312,148,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),128196.39999997616,box5,yes,I,1,1,2522.100000023842,125674.29999995232,8100,DSST,B,122796.0,123457.0,120935.0,16,160,113
T,17,1,44.639999866485596,2,test,yes,1,2,75360.0001335144,325,160,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),130512.19999992847,box2,yes,I,1,1,2305.0,128207.19999992847,8100,DSST,B,125112.0,125773.0,123468.0,17,160,113
),18,1,47.10599994659424,3,test,yes,1,3,72894.00005340576,304,136,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),132978.09999990463,box3,yes,I,1,1,2455.399999976158,130522.69999992847,8100,DSST,B,127712.0,128239.0,125784.0,18,160,113
-,19,1,49.07200002670288,1,test,yes,1,1,70927.99997329712,343,151,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),134944.29999995232,box1,yes,I,1,1,1955.7000000476837,132988.59999990463,8100,DSST,B,129627.0,130205.0,128250.0,19,160,113
L,20,1,51.055999994277954,4,test,yes,1,4,68944.00000572205,302,145,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),136927.29999995232,box4,yes,I,1,1,1972.6000000238419,134954.69999992847,8100,DSST,B,131693.0,132188.0,130216.0,20,160,113
+,21,1,54.25399994850159,9,test,yes,1,9,65746.00005149841,400,137,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),140125.69999992847,box9,yes,I,1,1,3188.5,136937.19999992847,8100,DSST,B,134692.0,135387.0,132198.0,21,160,113
O,22,1,57.90299987792969,6,test,yes,1,6,62097.00012207031,286,154,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),143774.69999992847,box6,yes,I,1,1,3638.2999999523163,140136.39999997616,8100,DSST,B,138191.0,139036.0,135397.0,22,160,113
),23,1,60.4689998626709,3,test,yes,1,3,59531.0001373291,266,131,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),146340.59999990463,box3,yes,I,1,1,2555.0999999046326,143785.5,8100,DSST,B,140858.0,141602.0,139046.0,23,160,113
-,24,1,62.41799998283386,1,test,yes,1,1,57582.00001716614,271,144,Thu Mar 19 2026 11:55:56 GMT-0500 (Central Daylight Time),148290.19999992847,box1,yes,I,1,1,1939.2999999523163,146350.89999997616,8100,DSST,B,143006.0,143551.0,141612.0,24,160,113
