acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),,097_m_f_n_a.png,I,space,2641,1,2,,,8102,NNB,B,0
1,prac,1,0.0,1-Back,1.0,m,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),120238.79999995232,152_y_f_n_a.png,I,m,875,2,2,1723.5,118515.29999995232,8102,NNB,B,1
2,prac,1,1.0,1-Back,1.0,z,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),121738.0,152_y_f_n_a.png,I,z,727,3,2,1495.0999999046326,120242.90000009537,8102,NNB,B,2
3,prac,1,0.0,1-Back,1.0,m,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),123387.90000009537,176_o_m_n_a.png,I,m,779,4,2,1645.4000000953674,121742.5,8102,NNB,B,3
4,prac,1,0.0,1-Back,1.0,m,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),124938.29999995232,126_m_m_n_a.png,I,m,765,5,2,1541.8999998569489,123396.40000009537,8102,NNB,B,4
5,prac,1,1.0,1-Back,1.0,z,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),126170.29999995232,126_m_m_n_a.png,I,z,459,6,2,1227.5999999046326,124942.70000004768,8102,NNB,B,5
6,prac,1,0.0,1-Back,1.0,m,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),127620.79999995232,086_o_f_n_a.png,I,m,682,7,2,1445.8999998569489,126174.90000009537,8102,NNB,B,6
7,prac,1,0.0,1-Back,1.0,m,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),129152.29999995232,178_m_m_n_a.png,I,m,662,8,2,1522.0,127630.29999995232,8102,NNB,B,7
8,prac,1,0.0,1-Back,1.0,m,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),130618.90000009537,097_m_f_n_a.png,I,m,685,9,2,1462.2000000476837,129156.70000004768,8102,NNB,B,8
9,prac,1,1.0,1-Back,1.0,z,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),131968.40000009537,097_m_f_n_a.png,I,z,563,10,2,1345.8000001907349,130622.59999990463,8102,NNB,B,9
10,prac,1,0.0,1-Back,1.0,m,Fri Jul 10 2026 09:18:23 GMT-0500 (Central Daylight Time),133451.29999995232,176_o_m_n_a.png,I,m,697,11,2,1475.7000000476837,131975.59999990463,8102,NNB,B,10
