acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),-224,-192,70433.09999999404,CFD-BM-204-003-N.jpg,Sam,64,I,None,3005,,3005,,,1,1,4101.20000000298,-416,-256,66331.89999999106,8107,FN,A,,24707,,,1,192,-320,-224
0,prac,1,0,,34.0,14.0,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),416,32,74864.59999999404,CFD-WM-012-001-N.jpg,John,64,I,1,1382,,1382,,,2,1,2396.2999999970198,224,-32,72468.29999999702,8107,FN,A,,30761,,,2,192,320,0
1,prac,1,1,,-316.0,210.0,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),-224,256,79512.89999999106,CFD-LF-249-132-N.jpg,Tina,64,I,1,1613,,1613,,,3,1,2629.8999999910593,-416,192,76883.0,8107,FN,A,,35177,,,3,192,-320,224
1,prac,1,0,,320.0,-188.0,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),416,-192,81646.09999999404,CFD-BM-204-003-N.jpg,Sam,64,I,1,1100,,1100,,,4,1,2131.2000000029802,224,-256,79514.89999999106,8107,FN,A,,37810,,,4,192,320,-224
2,prac,1,1,,-341.0,-17.0,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),-224,32,86061.70000000298,CFD-WM-012-001-N.jpg,John,64,I,1,1367,,1367,,,5,1,2398.0,-416,-32,83663.70000000298,8107,FN,A,,41959,,,5,192,-320,0
3,prac,1,1,,345.0,212.0,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),416,256,88760.09999999404,CFD-LF-249-132-N.jpg,Tina,64,I,1,1673,,1673,,,6,1,2696.7000000029802,224,192,86063.39999999106,8107,FN,A,,44357,,,6,192,320,224
0,prac,1,0,z,345.0,212.0,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),416,256,113019.39999999106,CFD-LF-249-132-N.jpg,Tina,64,I,None,4015,,,4015,,3,1,5020.399999991059,224,192,107999.0,8107,FN,A,,,66283,,1,192,320,224
1,prac,1,1,m,345.0,212.0,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),416,256,116168.59999999404,CFD-WM-012-001-N.jpg,Sam,64,I,m,1364,,,1364,,1,1,3143.5999999940395,224,192,113025.0,8107,FN,A,,,71315,,2,192,320,224
2,prac,1,1,m,345.0,212.0,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),416,256,119367.79999999702,CFD-BM-204-003-N.jpg,John,64,I,m,1414,,,1414,,2,1,3194.5,224,192,116173.29999999702,8107,FN,A,,,74464,,3,192,320,224
0,learn,1,0,,345.0,212.0,Tue Apr 21 2026 13:29:29 GMT-0500 (Central Daylight Time),-224,32,137762.0,CFD-BM-207-024-N.jpg,David,64,I,None,3016,3016,,,,8,1,4030.6000000089407,-416,-32,133731.39999999106,8107,FN,A,92025,,,,1,192,-320,0
