acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),34504.0,I,z,1727,,,1,yes,1,3246.0,31258.0,practrial1.png,practrial1.png,8107,PC,A,,,1
2,1,0.0,prac,1,m,30000.0,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),36786.20000001788,I,m,755,,,2,no,1,2277.2000000178814,34509.0,practrial2.png,practrial2b.png,8107,PC,A,,,2
2,1,0.0,prac,0,m,30000.0,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),39219.0,I,z,906,,,4,no,1,2428.399999976158,36790.60000002384,practrial4.png,practrial4b.png,8107,PC,A,,,3
3,1,0.0,prac,1,z,30000.0,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),42051.70000001788,I,z,1307,,,3,yes,1,2829.0,39222.70000001788,practrial3.png,practrial3.png,8107,PC,A,,,4
4,1,0.0,prac,1,z,30000.0,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),45033.90000000596,I,z,1458,,,5,yes,1,2978.5999999940395,42055.30000001192,practrial5.png,practrial5.png,8107,PC,A,,,5
4,1,0.0,prac,0,m,30000.0,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),47866.60000002384,I,z,1308,,,6,no,1,2828.600000023842,45038.0,practrial6.png,practrial6b.png,8107,PC,A,,,6
1,1,2.315999984741211,test,1,z,27684.00001525879,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),52248.10000002384,I,z,2297,2297,,1,yes,1,2313.2000000178814,49934.90000000596,test1trial1.png,test1trial1.png,8107,PC,A,47180,,1
2,1,3.3489999771118164,test,1,m,26651.000022888184,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),53281.40000000596,I,m,1029,1029,,2,no,1,1030.5,52250.90000000596,test1trial2.png,test1trial2b.png,8107,PC,A,49497,,2
3,1,4.881999969482422,test,1,z,25118.000030517578,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),54814.20000001788,I,z,1524,1524,,3,yes,1,1529.9000000059605,53284.30000001192,test1trial3.png,test1trial3.png,8107,PC,A,50530,,3
4,1,6.297999858856201,test,1,m,23702.0001411438,Tue Apr 21 2026 13:50:47 GMT-0500 (Central Daylight Time),56230.5,I,m,1400,1400,,4,no,1,1413.3999999761581,54817.10000002384,test1trial4.png,test1trial4b.png,8107,PC,A,52063,,4
