acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
0,prac,1,con,0,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),128900.90000009537,elated,800,I,None,,,1799,,,9,,4860.0,124040.90000009537,8115,elated,AF,B,,,,,,,,,,1
0,prac,1,con,0,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),131649.90000009537,brutal,800,I,m,,,648,,,13,,2743.7000000476837,128906.20000004768,8115,brutal,AF,B,,,,,,,,,,2
0,prac,1,inc,0,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),134566.0,window,1100,I,m,,,503,,,16,,2911.0999999046326,131654.90000009537,8115,temper,AF,B,,,,,,,,,,3
1,prac,1,con,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),137448.10000014305,remote,1000,I,m,,,583,,,7,,2877.2000000476837,134570.90000009537,8115,remote,AF,B,,,,,,,,,,4
2,prac,1,con,1,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),140230.60000014305,rage,1000,I,z,,,468,,,15,,2777.0,137453.60000014305,8115,rage,AF,B,,,,,,,,,,5
3,prac,1,inc,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),143246.5,brutal,1100,I,m,,,623,,,8,,3011.0999999046326,140235.40000009537,8115,window,AF,B,,,,,,,,,,6
4,prac,1,inc,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),146262.20000004768,hate,1100,I,m,,,603,,,4,,3010.5999999046326,143251.60000014305,8115,film,AF,B,,,,,,,,,,7
5,prac,1,con,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),149061.40000009537,bell,1000,I,m,,,495,,,3,,2795.0,146266.40000009537,8115,bell,AF,B,,,,,,,,,,8
6,prac,1,inc,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),151944.79999995232,elated,900,I,m,,,676,,,6,,2878.899999856949,149065.90000009537,8115,napkin,AF,B,,,,,,,,,,9
7,prac,1,inc,1,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),154692.70000004768,rock,900,I,z,,,546,,,10,,2743.0,151949.70000004768,8115,kind,AF,B,,,,,,,,,,10
8,prac,1,inc,1,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),157525.20000004768,film,900,I,z,,,619,,,14,,2827.2999999523163,154697.90000009537,8115,hate,AF,B,,,,,,,,,,11
9,prac,1,inc,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),160240.70000004768,kind,900,I,m,,,500,,,2,,2710.9000000953674,157529.79999995232,8115,rock,AF,B,,,,,,,,,,12
10,prac,1,inc,1,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),163190.0,napkin,1100,I,z,,,543,,,12,,2944.0999999046326,160245.90000009537,8115,friend,AF,B,,,,,,,,,,13
11,prac,1,con,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),165772.60000014305,jacket,800,I,m,,,479,,,5,,2578.2000000476837,163194.40000009537,8115,jacket,AF,B,,,,,,,,,,14
12,prac,1,con,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),168338.40000009537,step,800,I,m,,,455,,,1,,2560.7000000476837,165777.70000004768,8115,step,AF,B,,,,,,,,,,15
13,prac,1,con,1,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),171154.40000009537,love,1000,I,z,,,506,,,11,,2811.2999999523163,168343.10000014305,8115,love,AF,B,,,,,,,,,,16
1,test,1,con,1,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),186216.5,friend,1000,I,z,z,None,469,268.0,201.0,27,,2012.7000000476837,184203.79999995232,8115,friend,AF,B,159714,159714,157984,158997,157984,159997,159513,159513,159996,1
2,test,1,inc,1,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),188215.5,napkin,900,I,z,z,None,553,352.0,201.0,6,,1993.7000000476837,186221.79999995232,8115,elated,AF,B,161630,161630,160002,160913,160002,161996,161429,161429,161996,2
3,test,1,inc,1,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),190149.5,jacket,800,I,z,z,None,597,398.0,199.0,37,,1929.5,188220.0,8115,brutal,AF,B,163529,163529,162000,162812,162001,163930,163329,163329,163929,3
4,test,1,inc,1,z,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),192014.20000004768,jacket,800,I,z,z,None,530,330.0,200.0,61,,1860.4000000953674,190153.79999995232,8115,temper,AF,B,165461,165461,163934,164745,163934,165794,165261,165261,165794,4
5,test,1,inc,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),193931.5,rage,800,I,m,m,None,567,368.0,199.0,93,,1913.0,192018.5,8115,film,AF,B,167327,167327,165799,166611,165799,167712,167128,167128,167712,5
6,test,1,con,1,m,Wed Jul 08 2026 17:54:52 GMT-0500 (Central Daylight Time),196013.20000004768,bell,1100,I,m,m,None,439,239.0,200.0,84,,2077.2999999523163,193935.90000009537,8115,bell,AF,B,169543,169543,167716,168827,167716,169793,169343,169343,169793,6
