acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),43177.0,I,z,1659,,,4,yes,,3178.6999999284744,39998.300000071526,RSM,RSM,8152,LC,B,,,1
2,1,0.0,prac,1,m,30000.0,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),45809.200000047684,I,m,1105,,,1,no,,2625.899999976158,43183.300000071526,RNV,FNV,8152,LC,B,,,2
3,1,0.0,prac,1,z,30000.0,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),49724.5,I,z,2395,,,6,yes,,3910.899999976158,45813.60000002384,CSDBFPHXZ,CSDBFPHXZ,8152,LC,B,,,3
4,1,0.0,prac,1,m,30000.0,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),54190.700000047684,I,m,2936,,,5,no,,4461.700000047684,49729.0,LNDPRSKQB,LNDPRSJQB,8152,LC,B,,,4
5,1,0.0,prac,1,z,30000.0,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),58938.40000009537,I,z,3213,,,2,yes,,4743.100000023842,54195.300000071526,NBGFSM,NBGFSM,8152,LC,B,,,5
6,1,0.0,prac,1,m,30000.0,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),62804.800000071526,I,m,2329,,,3,no,,3861.7000000476837,58943.10000002384,QHZXPC,QHZWPC,8152,LC,B,,,6
1,1,1.4170000553131104,test,1,m,28582.99994468689,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),72217.60000002384,I,m,1405,1405,,1,no,,1413.2999999523163,70804.30000007153,HCF,RCF,8152,LC,B,67426,,1
2,1,3.0490000247955322,test,1,m,26950.999975204468,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),73850.40000009537,I,m,1612,1612,,2,no,,1628.8000000715256,72221.60000002384,QTPRJX,QTPNJX,8152,LC,B,68843,,2
3,1,4.915999889373779,test,1,m,25084.00011062622,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),75716.70000004768,I,m,1850,1850,,3,no,,1862.3999999761581,73854.30000007153,MZDYGVGKQ,MZDYGLBKQ,8152,LC,B,70476,,3
4,1,6.540999889373779,test,1,m,23459.00011062622,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),77342.0,I,m,1621,1621,,4,no,,1621.8999999761581,75720.10000002384,FQTNMK,JQTNMK,8152,LC,B,72342,,4
5,1,8.313999891281128,test,1,z,21686.000108718872,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),79115.5,I,z,1767,1767,,5,yes,,1769.5,77346.0,CLJ,CLJ,8152,LC,B,73968,,5
5,1,10.629999876022339,test,0,m,19370.00012397766,Thu Sep 17 2026 19:10:41 GMT-0500 (Central Daylight Time),81431.5,I,z,2306,2306,,6,no,,2312.6999999284744,79118.80000007153,JGDMNSVPW,JGZMNSVPW,8152,LC,B,75741,,6
