Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,215,146,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),,box1,yes,O,1,1,,,7000,DSST,B,,,,0,160,113
^,1,1,0.0,7,prac,yes,1,7,120000.0,176,146,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),68470.89999997616,box7,yes,O,1,1,5899.299999982119,62571.59999999404,7000,DSST,B,,,,1,160,113
L,2,1,0.0,4,prac,yes,1,4,120000.0,261,139,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),72819.59999999404,box4,yes,O,1,1,3574.9000000059605,69244.69999998808,7000,DSST,B,,,,2,160,113
-,3,1,0.0,1,prac,yes,1,1,120000.0,282,138,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),78235.19999998808,box1,yes,O,1,1,4642.300000011921,73592.89999997616,7000,DSST,B,,,,3,160,113
+,4,1,0.0,9,prac,yes,1,9,120000.0,229,141,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),83966.79999998212,box9,yes,O,1,1,4959.0,79007.79999998212,7000,DSST,B,,,,4,160,113
),5,1,0.0,3,prac,yes,1,3,120000.0,280,132,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),89714.0,box3,yes,O,1,1,4974.5,84739.5,7000,DSST,B,,,,5,160,113
U,6,1,0.0,5,prac,yes,1,5,120000.0,293,147,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),94079.29999998212,box5,yes,O,1,1,3591.7999999821186,90487.5,7000,DSST,B,,,,6,160,113
O,7,1,0.0,6,prac,yes,1,6,120000.0,232,117,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),97944.69999998808,box6,yes,O,1,1,3092.5,94852.19999998808,7000,DSST,B,,,,7,160,113
X,8,1,0.0,8,prac,yes,1,8,120000.0,331,149,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),103143.29999998212,box8,yes,O,1,1,4424.5999999940395,98718.69999998808,7000,DSST,B,,,,8,160,113
T,9,1,0.0,2,prac,yes,1,2,120000.0,345,146,Mon Aug 12 2024 10:56:13 GMT-0500 (Central Daylight Time),108291.5,box2,yes,O,1,1,4374.9000000059605,103916.59999999404,7000,DSST,B,,,,9,160,113
