acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),-224,-192,65710.69999998808,CFD-BM-224-073-N.jpg,Sam,64,O,None,3014,,3014,,,1,1,4027.800000011921,-416,-256,61682.89999997616,7147,FN,B,,57965,,,1,192,-320,-224
0,prac,1,0,,,,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),416,32,71792.59999996424,CFD-WM-227-099-N.jpg,John,64,O,None,3016,,3016,,,2,1,4031.099999964237,224,-32,67761.5,7147,FN,B,,64045,,,2,192,320,0
1,prac,1,1,,-312.0,230.0,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),-224,256,76505.80000001192,CFD-LF-232-199-N.jpg,Tina,64,O,1,1673,,1673,,,3,1,2694.400000035763,-416,192,73811.39999997616,7147,FN,B,,70094,,,3,192,-320,224
2,prac,1,1,,325.0,-229.0,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),416,-192,79522.39999997616,CFD-BM-224-073-N.jpg,Sam,64,O,1,1991,,1991,,,4,1,3015.099999964237,224,-256,76507.30000001192,7147,FN,B,,72792,,,4,192,320,-224
3,prac,1,1,,-309.0,10.0,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),-224,32,81955.69999998808,CFD-WM-227-099-N.jpg,John,64,O,1,1405,,1405,,,5,1,2430.100000023842,-416,-32,79525.59999996424,7147,FN,B,,75810,,,5,192,-320,0
4,prac,1,1,,335.0,218.0,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),416,256,84105.89999997616,CFD-LF-232-199-N.jpg,Tina,64,O,1,1134,,1134,,,6,1,2147.399999976158,224,192,81958.5,7147,FN,B,,78241,,,6,192,320,224
0,prac_test,1,0,m,335.0,218.0,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),416,256,121760.80000001192,CFD-BM-224-073-N.jpg,John,64,O,z,2201,,,2201,,2,1,3979.2000000476837,224,192,117781.59999996424,7147,FN,B,,,114061,,1,192,320,224
0,prac_test,1,0,m,335.0,218.0,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),416,256,126792.59999996424,CFD-WM-227-099-N.jpg,Sam,64,O,None,4015,,,4015,,1,1,5024.199999988079,224,192,121768.39999997616,7147,FN,B,,,118046,,2,192,320,224
1,prac_test,1,1,z,335.0,218.0,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),416,256,129856.19999998808,CFD-LF-232-199-N.jpg,Tina,64,O,z,1272,,,1272,,3,1,3053.699999988079,224,192,126802.5,7147,FN,B,,,123077,,3,192,320,224
0,prac,2,0,,335.0,218.0,Mon Jun 23 2025 18:01:10 GMT-0500 (Central Daylight Time),-224,-192,137670.09999996424,CFD-BM-224-073-N.jpg,Sam,64,O,None,3015,,3015,1272,,1,1,4021.899999976158,-416,-256,133648.19999998808,7147,FN,B,,129924,123077,,1,192,-320,-224
