acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),,097_m_f_n_a.png,O,space,14566,1,1,,,7147,NNB,B,0
1,prac,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),148907.30000001192,152_y_f_n_a.png,O,m,1102,2,1,1955.699999988079,146951.60000002384,7147,NNB,B,1
1,prac,1,1.0,1-Back,0,z,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),151674.80000001192,152_y_f_n_a.png,O,None,2007,3,1,2759.800000011921,148915.0,7147,NNB,B,2
1,prac,1,0.0,1-Back,0,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),154541.0,176_o_m_n_a.png,O,None,2011,4,1,2857.599999964237,151683.40000003576,7147,NNB,B,3
2,prac,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),156789.30000001192,126_m_m_n_a.png,O,m,1381,5,1,2240.199999988079,154549.10000002384,7147,NNB,B,4
3,prac,1,1.0,1-Back,1,z,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),158756.40000003576,126_m_m_n_a.png,O,z,1179,6,1,1957.6000000238419,156798.80000001192,7147,NNB,B,5
4,prac,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),160972.19999998808,086_o_f_n_a.png,O,m,1334,7,1,2206.699999988079,158765.5,7147,NNB,B,6
5,prac,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),162904.60000002384,178_m_m_n_a.png,O,m,1057,8,1,1923.4000000357628,160981.19999998808,7147,NNB,B,7
6,prac,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),164721.10000002384,097_m_f_n_a.png,O,m,1040,9,1,1807.4000000357628,162913.69999998808,7147,NNB,B,8
7,prac,1,1.0,1-Back,1,z,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),166253.0,097_m_f_n_a.png,O,z,743,10,1,1523.5999999642372,164729.40000003576,7147,NNB,B,9
8,prac,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),168067.90000003576,176_o_m_n_a.png,O,m,1027,11,1,1805.0,166262.90000003576,7147,NNB,B,10
9,prac,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),169984.90000003576,173_y_f_n_a.png,O,m,1057,12,1,1907.800000011921,168077.10000002384,7147,NNB,B,11
0,test,1,0.0,1-Back,,,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),169984.90000003576,152_y_f_n_a.png,O,space,13478,1,1,1907.800000011921,168077.10000002384,7147,NNB,B,0
0,test,1,0.0,1-Back,0,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),192061.80000001192,029_m_f_n_a.png,O,z,921,2,1,1942.699999988079,190119.10000002384,7147,NNB,B,1
1,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),194460.69999998808,173_y_f_n_a.png,O,m,1377,3,1,2389.599999964237,192071.10000002384,7147,NNB,B,2
2,test,1,1.0,1-Back,1,z,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),196377.5,173_y_f_n_a.png,O,z,884,4,1,1909.199999988079,194468.30000001192,7147,NNB,B,3
3,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),198325.60000002384,029_m_f_n_a.png,O,m,917,5,1,1941.4000000357628,196384.19999998808,7147,NNB,B,4
4,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),200075.80000001192,176_o_m_n_a.png,O,m,732,6,1,1742.1000000238419,198333.69999998808,7147,NNB,B,5
5,test,1,1.0,1-Back,1,z,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),201707.5,176_o_m_n_a.png,O,z,614,7,1,1623.8999999761581,200083.60000002384,7147,NNB,B,6
6,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),203607.19999998808,126_m_m_n_a.png,O,m,875,8,1,1892.0999999642372,201715.10000002384,7147,NNB,B,7
7,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),205423.0,086_o_f_n_a.png,O,m,785,9,1,1809.5999999642372,203613.40000003576,7147,NNB,B,8
8,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),207488.5,126_m_m_n_a.png,O,m,1041,10,1,2058.699999988079,205429.80000001192,7147,NNB,B,9
9,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),209286.30000001192,153_y_m_n_a.png,O,m,775,11,1,1792.199999988079,207494.10000002384,7147,NNB,B,10
10,test,1,1.0,1-Back,1,z,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),210988.19999998808,153_y_m_n_a.png,O,z,680,12,1,1698.199999988079,209290.0,7147,NNB,B,11
11,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),212803.80000001192,110_o_f_n_a.png,O,m,797,13,1,1809.199999988079,210994.60000002384,7147,NNB,B,12
12,test,1,1.0,1-Back,1,z,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),214520.90000003576,110_o_f_n_a.png,O,z,692,14,1,1709.800000011921,212811.10000002384,7147,NNB,B,13
13,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),216187.69999998808,013_y_m_n_a.png,O,m,640,15,1,1661.2999999523163,214526.40000003576,7147,NNB,B,14
14,test,1,0.0,1-Back,1,m,Mon Jun 23 2025 16:57:47 GMT-0500 (Central Daylight Time),218152.90000003576,097_m_f_n_a.png,O,m,934,16,1,1957.5,216195.40000003576,7147,NNB,B,15
