acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),43746.0,CFD-WM-009-009-A.jpg,1900,solid,O,z,799,8,1,3532.7000000476837,40213.299999952316,7174,ATS,B,1
2,prac,1,A,haborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),46961.700000047684,CFD-BM-020-024-HC.jpg,1500,solid,O,m,883,3,1,6748.400000095367,40213.299999952316,7174,ATS,B,2
3,prac,1,A,haborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),50143.5,CFD-WM-011-006-HC.jpg,1400,solid,O,m,952,7,1,9930.200000047684,40213.299999952316,7174,ATS,B,3
4,prac,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),53358.299999952316,CFD-WF-026-008-A.jpg,1600,solid,O,z,785,10,1,13145.0,40213.299999952316,7174,ATS,B,4
5,prac,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),56040.700000047684,CFD-BF-050-012-A.jpg,1200,solid,O,z,667,6,1,15827.400000095367,40213.299999952316,7174,ATS,B,5
6,prac,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),59173.200000047684,CFD-BM-037-041-A.jpg,1600,solid,O,z,723,2,1,18959.900000095367,40213.299999952316,7174,ATS,B,6
7,prac,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),61772.89999997616,CFD-WF-013-015-A.jpg,1000,solid,O,z,796,12,1,21559.600000023842,40213.299999952316,7174,ATS,B,7
8,prac,1,A,haborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),65521.5,CFD-BF-035-007-HC.jpg,2000,solid,O,m,926,5,1,25308.200000047684,40213.299999952316,7174,ATS,B,8
9,prac,1,A,haborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),68836.89999997616,CFD-WF-011-006-HC.jpg,1500,solid,O,m,994,11,1,28623.600000023842,40213.299999952316,7174,ATS,B,9
9,prac,1,A,haborder.png,0,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),72802.70000004768,CFD-BM-015-017-HC.jpg,1700,solid,O,z,1464,1,1,32589.400000095367,40213.299999952316,7174,ATS,B,10
10,prac,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),75551.89999997616,CFD-BF-051-043-A.jpg,1000,solid,O,z,926,4,1,35338.60000002384,40213.299999952316,7174,ATS,B,11
11,prac,1,A,haborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),78850.89999997616,CFD-WM-012-007-HC.jpg,1700,solid,O,m,773,9,1,38637.60000002384,40213.299999952316,7174,ATS,B,12
1,prac,1,B,mfborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),101593.29999995232,CFD-BF-027-013-HC.jpg,1500,dash,O,z,1074,3,1,3398.899999976158,98194.39999997616,7174,ATS,B,1
2,prac,1,B,mfborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),103975.79999995232,CFD-WF-011-006-HC.jpg,1000,dash,O,z,559,12,1,5781.399999976158,98194.39999997616,7174,ATS,B,2
3,prac,1,B,mfborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),107291.5,CFD-WM-009-009-A.jpg,1700,dash,O,m,789,9,1,9097.100000023842,98194.39999997616,7174,ATS,B,3
3,prac,1,B,mfborder.png,0,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),110606.0,CFD-BF-051-043-A.jpg,1000,dash,O,m,1486,4,1,12411.600000023842,98194.39999997616,7174,ATS,B,4
4,prac,1,B,mfborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),114238.60000002384,CFD-WM-012-007-HC.jpg,1600,dash,O,m,1226,10,1,16044.200000047684,98194.39999997616,7174,ATS,B,5
4,prac,1,B,mfborder.png,0,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),117504.0,CFD-BF-035-007-HC.jpg,1400,dash,O,m,1050,7,1,19309.600000023842,98194.39999997616,7174,ATS,B,6
5,prac,1,B,mfborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),120703.5,CFD-WM-037-060-A.jpg,1200,dash,O,m,1184,6,1,22509.100000023842,98194.39999997616,7174,ATS,B,7
6,prac,1,B,mfborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),124302.5,CFD-BM-041-048-A.jpg,1600,dash,O,m,1193,2,1,26108.100000023842,98194.39999997616,7174,ATS,B,8
7,prac,1,B,mfborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),127351.5,CFD-WF-026-008-A.jpg,1500,dash,O,z,718,11,1,29157.100000023842,98194.39999997616,7174,ATS,B,9
8,prac,1,B,mfborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),130966.89999997616,CFD-BM-020-024-HC.jpg,1700,dash,O,m,1085,1,1,32772.5,98194.39999997616,7174,ATS,B,10
9,prac,1,B,mfborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),134765.70000004768,CFD-BM-037-041-A.jpg,2000,dash,O,m,980,5,1,36571.300000071526,98194.39999997616,7174,ATS,B,11
9,prac,1,B,mfborder.png,0,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),138513.89999997616,CFD-WF-027-007-HC.jpg,1900,dash,O,m,1049,8,1,40319.5,98194.39999997616,7174,ATS,B,12
0,test,1,A,haborder.png,0,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),156924.10000002384,CFD-BM-020-024-HC.jpg,1500,solid,O,z,1179,3,1,2698.600000023842,154225.5,7174,ATS,B,1
1,test,1,A,haborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),159656.60000002384,CFD-BM-015-017-HC.jpg,1700,solid,O,m,1000,1,1,5431.100000023842,154225.5,7174,ATS,B,2
2,test,1,A,haborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),162006.5,CFD-BM-015-017-HC.jpg,1700,solid,O,m,629,1,1,7781.0,154225.5,7174,ATS,B,3
3,test,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),164538.89999997616,CFD-WF-026-008-A.jpg,1600,solid,O,z,892,10,1,10313.399999976158,154225.5,7174,ATS,B,4
4,test,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),166372.0,CFD-BF-051-043-A.jpg,1000,solid,O,z,782,4,1,12146.5,154225.5,7174,ATS,B,5
4,test,1,A,haborder.png,0,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),169104.29999995232,CFD-WM-009-009-A.jpg,1900,solid,O,m,793,8,1,14878.799999952316,154225.5,7174,ATS,B,6
5,test,1,A,haborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),171535.89999997616,CFD-WF-011-006-HC.jpg,1500,solid,O,m,875,11,1,17310.399999976158,154225.5,7174,ATS,B,7
6,test,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),173269.60000002384,CFD-WF-013-015-A.jpg,1000,solid,O,z,712,12,1,19044.100000023842,154225.5,7174,ATS,B,8
7,test,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),175852.10000002384,CFD-WM-009-009-A.jpg,1900,solid,O,z,633,8,1,21626.600000023842,154225.5,7174,ATS,B,9
8,test,1,A,haborder.png,1,m,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),179000.89999997616,CFD-BF-035-007-HC.jpg,2000,solid,O,m,1101,5,1,24775.399999976158,154225.5,7174,ATS,B,10
9,test,1,A,haborder.png,1,z,Fri Jun 27 2025 16:33:58 GMT-0500 (Central Daylight Time),181683.70000004768,CFD-WF-026-008-A.jpg,1600,solid,O,z,1016,10,1,27458.200000047684,154225.5,7174,ATS,B,11
