acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),41584.40000009537,O,m,1135,,,2,no,1,2664.600000023842,38919.800000071526,practrial2.png,practrial2b.png,7177,PC,B,,,1
1,1,0.0,prac,0,m,30000.0,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),44216.200000047684,O,z,1090,,,6,no,1,2611.100000023842,41605.10000002384,practrial6.png,practrial6b.png,7177,PC,B,,,2
2,1,0.0,prac,1,m,30000.0,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),47698.800000071526,O,m,1934,,,4,no,1,3465.2000000476837,44233.60000002384,practrial4.png,practrial4b.png,7177,PC,B,,,3
2,1,0.0,prac,0,z,30000.0,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),50630.10000002384,O,m,1381,,,3,yes,1,2913.899999976158,47716.200000047684,practrial3.png,practrial3.png,7177,PC,B,,,4
3,1,0.0,prac,1,z,30000.0,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),53545.800000071526,O,z,1384,,,5,yes,1,2911.0,50634.800000071526,practrial5.png,practrial5.png,7177,PC,B,,,5
4,1,0.0,prac,1,z,30000.0,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),56395.10000002384,O,z,1322,,,1,yes,1,2844.100000023842,53551.0,practrial1.png,practrial1.png,7177,PC,B,,,6
1,1,1.9820001125335693,test,1,z,28017.99988746643,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),68559.0,O,z,1958,1958,,1,yes,1,1971.6999999284744,66587.30000007153,test1trial1.png,test1trial1.png,7177,PC,B,60698,,1
2,1,3.265000104904175,test,1,m,26734.999895095825,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),69841.5,O,m,1253,1253,,2,no,1,1270.2999999523163,68571.20000004768,test1trial2.png,test1trial2b.png,7177,PC,B,62684,,2
3,1,5.5970001220703125,test,1,z,24402.999877929688,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),72173.80000007153,O,z,2315,2315,,3,yes,1,2320.2000000476837,69853.60000002384,test1trial3.png,test1trial3.png,7177,PC,B,63965,,3
4,1,6.930000066757202,test,1,m,23069.999933242798,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),73506.90000009537,O,m,1290,1290,,4,no,1,1303.1000000238419,72203.80000007153,test1trial4.png,test1trial4b.png,7177,PC,B,66318,,4
5,1,8.413000106811523,test,1,z,21586.999893188477,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),74989.80000007153,O,z,1458,1458,,5,yes,1,1470.6000000238419,73519.20000004768,test1trial5.png,test1trial5.png,7177,PC,B,67630,,5
6,1,9.36300015449524,test,1,m,20636.99984550476,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),75939.40000009537,O,m,918,918,,6,no,1,937.0,75002.40000009537,test1trial6.png,test1trial6b.png,7177,PC,B,69114,,6
7,1,10.479000091552734,test,1,z,19520.999908447266,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),77055.90000009537,O,z,1098,1098,,7,yes,1,1105.0,75950.90000009537,test1trial7.png,test1trial7.png,7177,PC,B,70062,,7
8,1,13.01200008392334,test,1,m,16987.99991607666,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),79588.80000007153,O,m,2516,2516,,8,no,1,2521.7000000476837,77067.10000002384,test1trial8.png,test1trial8b.png,7177,PC,B,71179,,8
9,1,14.761000156402588,test,1,z,15238.999843597412,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),81337.70000004768,O,z,1721,1721,,9,yes,1,1737.7999999523163,79599.90000009537,test1trial9.png,test1trial9.png,7177,PC,B,73711,,9
10,1,15.92799997329712,test,1,m,14072.00002670288,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),82504.0,O,m,1138,1138,,10,no,1,1154.7999999523163,81349.20000004768,test1trial10.png,test1trial10b.png,7177,PC,B,75461,,10
11,1,17.094000101089478,test,1,z,12905.999898910522,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),83670.10000002384,O,z,1148,1148,,11,yes,1,1154.6999999284744,82515.40000009537,test1trial11.png,test1trial11.png,7177,PC,B,76628,,11
12,1,18.927000045776367,test,1,m,11072.999954223633,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),85503.10000002384,O,m,1806,1806,,12,no,1,1821.6999999284744,83681.40000009537,test1trial12.png,test1trial12b.png,7177,PC,B,77794,,12
13,1,20.55900001525879,test,1,m,9440.999984741211,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),87135.90000009537,O,m,1612,1612,,13,no,1,1621.1000000238419,85514.80000007153,test1trial13.png,test1trial13b.png,7177,PC,B,79628,,13
14,1,21.942000150680542,test,1,m,8057.999849319458,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),88518.80000007153,O,m,1364,1364,,14,no,1,1371.3999999761581,87147.40000009537,test1trial14.png,test1trial14b.png,7177,PC,B,81260,,14
15,1,23.125,test,1,z,6875.0,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),89700.90000009537,O,z,1158,1158,,15,yes,1,1170.6000000238419,88530.30000007153,test1trial15.png,test1trial15.png,7177,PC,B,82641,,15
16,1,24.575000047683716,test,1,m,5424.999952316284,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),91151.20000004768,O,m,1437,1437,,16,no,1,1443.5,89707.70000004768,test1trial16.png,test1trial16b.png,7177,PC,B,83819,,16
17,1,26.008000135421753,test,1,z,3991.999864578247,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),92584.10000002384,O,z,1406,1406,,17,yes,1,1421.3999999761581,91162.70000004768,test1trial17.png,test1trial17.png,7177,PC,B,85274,,17
18,1,27.223999977111816,test,1,m,2776.0000228881836,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),93800.40000009537,O,m,1195,1195,,18,no,1,1204.2000000476837,92596.20000004768,test1trial18.png,test1trial18b.png,7177,PC,B,86708,,18
19,1,29.94000005722046,test,1,m,59.999942779541016,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),96516.90000009537,O,m,2699,2699,,19,no,1,2705.0,93811.90000009537,test1trial19.png,test1trial19b.png,7177,PC,B,87925,,19
19,1,30.022000074386597,test,0,z,-22.00007438659668,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),96598.70000004768,O,None,67,67,,20,yes,1,70.5,96528.20000004768,test1trial20.png,test1trial20.png,7177,PC,B,90639,,20
1,2,1.9490001201629639,test,1,m,28050.999879837036,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),102414.5,O,m,1932,,1932.0,1,no,1,5886.299999952316,96528.20000004768,test2trial1.png,test2trial1b.png,7177,PC,B,,94588.0,1
2,2,4.13100004196167,test,1,m,25868.99995803833,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),104596.80000007153,O,m,2157,,2157.0,2,no,1,8068.600000023842,96528.20000004768,test2trial2.png,test2trial2b.png,7177,PC,B,,96539.0,2
3,2,5.781000137329102,test,1,z,24218.9998626709,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),106246.40000009537,O,z,1604,,1604.0,3,yes,1,9718.200000047684,96528.20000004768,test2trial3.png,test2trial3.png,7177,PC,B,,98740.0,3
4,2,6.730000019073486,test,1,z,23269.999980926514,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),107195.20000004768,O,z,919,,919.0,4,yes,1,10667.0,96528.20000004768,test2trial4.png,test2trial4.png,7177,PC,B,,100368.0,4
5,2,7.729000091552734,test,1,z,22270.999908447266,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),108194.80000007153,O,z,987,,987.0,5,yes,1,11666.600000023842,96528.20000004768,test2trial5.png,test2trial5.png,7177,PC,B,,101308.0,5
6,2,8.764000177383423,test,1,z,21235.999822616577,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),109229.10000002384,O,z,1026,,1026.0,6,yes,1,12700.899999976158,96528.20000004768,test2trial6.png,test2trial6.png,7177,PC,B,,102310.0,6
7,2,9.880000114440918,test,1,m,20119.999885559082,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),110345.0,O,m,1088,,1088.0,7,no,1,13816.799999952316,96528.20000004768,test2trial7.png,test2trial7b.png,7177,PC,B,,103352.0,7
8,2,11.229000091552734,test,1,m,18770.999908447266,Wed Jul 30 2025 14:50:36 GMT-0500 (Central Daylight Time),111694.5,O,m,1324,,1324.0,8,no,1,15166.299999952316,96528.20000004768,test2trial8.png,test2trial8b.png,7177,PC,B,,104468.0,8
