acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),48028.19999999553,O,m,2314,,,6,no,1,3845.5,44182.69999999553,practrial6.png,practrial6b.png,7187,PC,C,,,1
2,1,0.0,prac,1,m,30000.0,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),50493.89999999851,O,m,937,,,2,no,1,2461.60000000149,48032.29999999702,practrial2.png,practrial2b.png,7187,PC,C,,,2
3,1,0.0,prac,1,z,30000.0,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),53209.89999999851,O,z,1192,,,3,yes,1,2712.2999999970198,50497.60000000149,practrial3.png,practrial3.png,7187,PC,C,,,3
4,1,0.0,prac,1,m,30000.0,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),56325.60000000149,O,m,1588,,,4,no,1,3112.0,53213.60000000149,practrial4.png,practrial4b.png,7187,PC,C,,,4
5,1,0.0,prac,1,z,30000.0,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),59558.0,O,z,1704,,,5,yes,1,3228.7000000029802,56329.29999999702,practrial5.png,practrial5.png,7187,PC,C,,,5
6,1,0.0,prac,1,z,30000.0,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),62223.69999999553,O,z,1136,,,1,yes,1,2661.6999999955297,59562.0,practrial1.png,practrial1.png,7187,PC,C,,,6
1,1,1.2660000324249268,test,1,z,28733.999967575073,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),72370.79999999702,O,z,1254,1254,,1,yes,1,1263.7999999970198,71107.0,test1trial1.png,test1trial1.png,7187,PC,C,69193,,1
2,1,2.6489999294281006,test,1,m,27351.0000705719,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),73753.69999999553,O,m,1363,1363,,2,no,1,1379.8999999985099,72373.79999999702,test1trial2.png,test1trial2b.png,7187,PC,C,70460,,2
3,1,4.164999961853027,test,1,z,25835.000038146973,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),75269.69999999553,O,z,1500,1500,,3,yes,1,1512.7999999970198,73756.89999999851,test1trial3.png,test1trial3.png,7187,PC,C,71842,,3
4,1,5.480999946594238,test,1,m,24519.00005340576,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),76586.0,O,m,1313,1313,,4,no,1,1313.8000000044703,75272.19999999553,test1trial4.png,test1trial4b.png,7187,PC,C,73358,,4
5,1,6.898000001907349,test,1,z,23101.99999809265,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),78002.10000000149,O,z,1413,1413,,5,yes,1,1413.2000000029802,76588.89999999851,test1trial5.png,test1trial5.png,7187,PC,C,74674,,5
6,1,8.680000066757202,test,1,m,21319.999933242798,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),79785.0,O,m,1771,1771,,6,no,1,1780.1000000014901,78004.89999999851,test1trial6.png,test1trial6b.png,7187,PC,C,76091,,6
7,1,10.013000011444092,test,1,z,19986.99998855591,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),81117.69999999553,O,z,1318,1318,,7,yes,1,1329.7999999970198,79787.89999999851,test1trial7.png,test1trial7.png,7187,PC,C,77873,,7
8,1,11.779000043869019,test,1,m,18220.99995613098,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),82883.89999999851,O,m,1752,1752,,8,no,1,1763.1000000014901,81120.79999999702,test1trial8.png,test1trial8b.png,7187,PC,C,79207,,8
9,1,13.17900013923645,test,1,z,16820.99986076355,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),84283.39999999851,O,z,1394,1394,,9,yes,1,1396.3999999985099,82887.0,test1trial9.png,test1trial9.png,7187,PC,C,80973,,9
9,1,14.644999980926514,test,0,m,15355.000019073486,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),85749.89999999851,O,z,1451,1451,,10,no,1,1463.7999999970198,84286.10000000149,test1trial10.png,test1trial10b.png,7187,PC,C,82372,,10
10,1,16.14400005340576,test,1,z,13855.999946594238,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),87249.10000000149,O,z,1480,1480,,11,yes,1,1496.5,85752.60000000149,test1trial11.png,test1trial11.png,7187,PC,C,83838,,11
11,1,18.30999994277954,test,1,m,11690.000057220459,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),89414.89999999851,O,m,2156,2156,,12,no,1,2162.7999999970198,87252.10000000149,test1trial12.png,test1trial12b.png,7187,PC,C,85338,,12
12,1,19.55999994277954,test,1,m,10440.000057220459,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),90664.69999999553,O,m,1239,1239,,13,no,1,1246.6999999955297,89418.0,test1trial13.png,test1trial13b.png,7187,PC,C,87504,,13
13,1,21.026000022888184,test,1,m,8973.999977111816,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),92131.10000000149,O,m,1454,1454,,14,no,1,1463.4000000059605,90667.69999999553,test1trial14.png,test1trial14b.png,7187,PC,C,88753,,14
14,1,22.493000030517578,test,1,z,7506.999969482422,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),93597.19999999553,O,z,1455,1455,,15,yes,1,1459.3999999985099,92137.79999999702,test1trial15.png,test1trial15.png,7187,PC,C,90224,,15
15,1,23.975000143051147,test,1,m,6024.9998569488525,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),95079.89999999851,O,m,1473,1473,,16,no,1,1480.0,93599.89999999851,test1trial16.png,test1trial16b.png,7187,PC,C,91686,,16
16,1,25.54200005531311,test,1,z,4457.99994468689,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),96646.19999999553,O,z,1559,1559,,17,yes,1,1563.5,95082.69999999553,test1trial17.png,test1trial17.png,7187,PC,C,93168,,17
17,1,27.008000135421753,test,1,m,2991.999864578247,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),98112.39999999851,O,m,1449,1449,,18,no,1,1463.7000000029802,96648.69999999553,test1trial18.png,test1trial18b.png,7187,PC,C,94734,,18
17,1,28.407999992370605,test,0,m,1592.0000076293945,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),99512.29999999702,O,z,1390,1390,,19,no,1,1397.1999999955297,98115.10000000149,test1trial19.png,test1trial19b.png,7187,PC,C,96201,,19
18,1,29.924000024795532,test,1,z,75.99997520446777,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),101028.19999999553,O,z,1502,1502,,20,yes,1,1513.0999999940395,99515.10000000149,test1trial20.png,test1trial20.png,7187,PC,C,97601,,20
18,1,30.006999969482422,test,0,z,-6.999969482421875,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),101111.5,O,None,79,79,,21,yes,1,80.60000000149012,101030.89999999851,test1trial21.png,test1trial21.png,7187,PC,C,99117,,21
1,2,1.1979999542236328,test,1,m,28802.000045776367,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),109458.69999999553,O,m,1195,,1195.0,1,no,1,8427.79999999702,101030.89999999851,test2trial1.png,test2trial1b.png,7187,PC,C,,106348.0,1
1,2,2.4649999141693115,test,0,m,27535.00008583069,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),110725.19999999553,O,z,1251,,1251.0,2,no,1,9694.29999999702,101030.89999999851,test2trial2.png,test2trial2b.png,7187,PC,C,,107548.0,2
2,2,4.480999946594238,test,1,z,25519.00005340576,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),112741.10000000149,O,z,2010,,2010.0,3,yes,1,11710.20000000298,101030.89999999851,test2trial3.png,test2trial3.png,7187,PC,C,,108813.0,3
3,2,5.813999891281128,test,1,z,24186.000108718872,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),114074.19999999553,O,z,1322,,1322.0,4,yes,1,13043.29999999702,101030.89999999851,test2trial4.png,test2trial4.png,7187,PC,C,,110829.0,4
4,2,7.428999900817871,test,1,z,22571.00009918213,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),115690.10000000149,O,z,1596,,1596.0,5,yes,1,14659.20000000298,101030.89999999851,test2trial5.png,test2trial5.png,7187,PC,C,,112162.0,5
5,2,9.111999988555908,test,1,z,20888.00001144409,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),117372.89999999851,O,z,1668,,1668.0,6,yes,1,16342.0,101030.89999999851,test2trial6.png,test2trial6.png,7187,PC,C,,113779.0,6
6,2,10.944999933242798,test,1,m,19055.000066757202,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),119205.89999999851,O,m,1826,,1826.0,7,no,1,18175.0,101030.89999999851,test2trial7.png,test2trial7b.png,7187,PC,C,,115461.0,7
7,2,12.377999782562256,test,1,m,17622.000217437744,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),120638.69999999553,O,m,1425,,1425.0,8,no,1,19607.79999999702,101030.89999999851,test2trial8.png,test2trial8b.png,7187,PC,C,,117294.0,8
8,2,13.976999998092651,test,1,z,16023.000001907349,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),122238.10000000149,O,z,1584,,1584.0,9,yes,1,21207.20000000298,101030.89999999851,test2trial9.png,test2trial9.png,7187,PC,C,,118727.0,9
9,2,15.426999807357788,test,1,z,14573.000192642212,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),123687.89999999851,O,z,1431,,1431.0,10,yes,1,22657.0,101030.89999999851,test2trial10.png,test2trial10.png,7187,PC,C,,120327.0,10
10,2,16.942999839782715,test,1,m,13057.000160217285,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),125203.89999999851,O,m,1502,,1502.0,11,no,1,24173.0,101030.89999999851,test2trial11.png,test2trial11b.png,7187,PC,C,,121777.0,11
10,2,18.492999792099,test,0,m,11507.000207901001,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),126753.39999999851,O,z,1530,,1530.0,12,no,1,25722.5,101030.89999999851,test2trial12.png,test2trial12b.png,7187,PC,C,,123293.0,12
11,2,19.95899987220764,test,1,z,10041.000127792358,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),128219.60000000149,O,z,1453,,1453.0,13,yes,1,27188.70000000298,101030.89999999851,test2trial13.png,test2trial13.png,7187,PC,C,,124842.0,13
11,2,21.875,test,0,m,8125.0,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),130135.69999999553,O,z,1899,,1899.0,14,no,1,29104.79999999702,101030.89999999851,test2trial14.png,test2trial14b.png,7187,PC,C,,126308.0,14
12,2,23.125,test,1,m,6875.0,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),131385.5,O,m,1239,,1239.0,15,no,1,30354.60000000149,101030.89999999851,test2trial15.png,test2trial15b.png,7187,PC,C,,128224.0,15
12,2,24.35699987411499,test,0,m,5643.00012588501,Wed Jul 30 2025 14:15:29 GMT-0500 (Central Daylight Time),132618.19999999553,O,z,1221,,1221.0,16,no,1,31587.29999999702,101030.89999999851,test2trial16.png,test2trial16b.png,7187,PC,C,,129474.0,16
