Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,296,131,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),,box1,yes,O,1,1,,,7200,DSST,C,,,,0,160,113
U,1,1,0.0,5,prac,yes,1,5,120000.0,253,139,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),62296.90000003576,box5,yes,O,1,1,3958.800000011921,58338.10000002384,7200,DSST,C,,,,1,160,113
^,2,1,0.0,7,prac,yes,1,7,120000.0,223,137,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),66612.30000001192,box7,yes,O,1,1,3537.699999988079,63074.60000002384,7200,DSST,C,,,,2,160,113
L,3,1,0.0,4,prac,yes,1,4,120000.0,288,141,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),71126.69999998808,box4,yes,O,1,1,3738.2999999523163,67388.40000003576,7200,DSST,C,,,,3,160,113
T,4,1,0.0,2,prac,yes,1,2,120000.0,268,138,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),75058.10000002384,box2,yes,O,1,1,3156.699999988079,71901.40000003576,7200,DSST,C,,,,4,160,113
O,5,1,0.0,6,prac,yes,1,6,120000.0,223,135,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),80874.10000002384,box6,yes,O,1,1,5039.199999988079,75834.90000003576,7200,DSST,C,,,,5,160,113
),6,1,0.0,3,prac,yes,1,3,120000.0,236,159,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),84706.80000001192,box3,yes,O,1,1,3058.300000011921,81648.5,7200,DSST,C,,,,6,160,113
-,7,1,0.0,1,prac,yes,1,1,120000.0,255,126,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),88222.10000002384,box1,yes,O,1,1,2740.600000023842,85481.5,7200,DSST,C,,,,7,160,113
+,8,1,0.0,9,prac,yes,1,9,120000.0,252,147,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),91788.0,box9,yes,O,1,1,2792.800000011921,88995.19999998808,7200,DSST,C,,,,8,160,113
X,9,1,0.0,8,prac,yes,1,8,120000.0,244,139,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),95103.40000003576,box8,yes,O,1,1,2539.0,92564.40000003576,7200,DSST,C,,,,9,160,113
T,1,1,2.992000102996826,2,test,yes,1,2,117007.99989700317,243,138,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),105417.19999998808,box2,yes,O,1,1,2977.199999988079,102440.0,7200,DSST,C,102719.0,103663.0,100686.0,1,160,113
-,2,1,5.522000074386597,1,test,yes,1,1,114477.9999256134,236,126,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),107949.40000003576,box1,yes,O,1,1,2516.400000035763,105433.0,7200,DSST,C,105585.0,106195.0,103679.0,2,160,113
),3,1,8.25600004196167,3,test,yes,1,3,111743.99995803833,264,132,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),110682.90000003576,box3,yes,O,1,1,2720.800000011921,107962.10000002384,7200,DSST,C,108135.0,108929.0,106208.0,3,160,113
^,4,1,11.354000091552734,7,test,yes,1,7,108645.99990844727,221,143,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),113780.69999998808,box7,yes,O,1,1,3086.5,110694.19999998808,7200,DSST,C,111223.0,112027.0,108940.0,4,160,113
T,5,1,14.562999963760376,2,test,yes,1,2,105437.00003623962,205,137,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),116993.19999998808,box2,yes,O,1,1,3199.7999999523163,113793.40000003576,7200,DSST,C,114301.0,115239.0,112039.0,5,160,113
L,6,1,17.352999925613403,4,test,yes,1,4,102647.0000743866,236,132,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),119777.90000003576,box4,yes,O,1,1,2775.600000023842,117002.30000001192,7200,DSST,C,117133.0,118024.0,115248.0,6,160,113
X,7,1,19.835000038146973,8,test,yes,1,8,100164.99996185303,253,138,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),122261.69999998808,box8,yes,O,1,1,2468.5,119793.19999998808,7200,DSST,C,119781.0,120508.0,118039.0,7,160,113
T,8,1,22.717999935150146,2,test,yes,1,2,97282.00006484985,241,140,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),125145.40000003576,box2,yes,O,1,1,2870.5,122274.90000003576,7200,DSST,C,122529.0,123391.0,120521.0,8,160,113
-,9,1,25.91700005531311,1,test,yes,1,1,94082.99994468689,200,127,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),128342.5,box1,yes,O,1,1,3185.399999976158,125157.10000002384,7200,DSST,C,125679.0,126588.0,123403.0,9,160,113
),10,1,28.7810001373291,3,test,yes,1,3,91218.9998626709,242,137,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),131208.80000001192,box3,yes,O,1,1,2853.600000023842,128355.19999998808,7200,DSST,C,128814.0,129455.0,126601.0,10,160,113
T,11,1,31.098000049591064,2,test,yes,1,2,88901.99995040894,282,141,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),133525.0,box2,yes,O,1,1,2305.399999976158,131219.60000002384,7200,DSST,C,131144.0,131771.0,129466.0,11,160,113
-,12,1,33.46399998664856,1,test,yes,1,1,86536.00001335144,271,136,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),135890.10000002384,box1,yes,O,1,1,2353.199999988079,133536.90000003576,7200,DSST,C,133263.0,134136.0,131783.0,12,160,113
L,13,1,36.329999923706055,4,test,yes,1,4,83670.00007629395,255,134,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),138756.0,box4,yes,O,1,1,2852.300000011921,135903.69999998808,7200,DSST,C,136310.0,137002.0,134150.0,13,160,113
T,14,1,39.07800006866455,2,test,yes,1,2,80921.99993133545,219,145,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),141504.80000001192,box2,yes,O,1,1,2735.699999988079,138769.10000002384,7200,DSST,C,138890.0,139751.0,137015.0,14,160,113
),15,1,41.49900007247925,3,test,yes,1,3,78500.99992752075,219,139,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),143920.40000003576,box3,yes,O,1,1,2403.400000035763,141517.0,7200,DSST,C,141426.0,142166.0,139763.0,15,160,113
U,16,1,43.973999977111816,5,test,yes,1,5,76026.00002288818,231,141,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),146403.19999998808,box5,yes,O,1,1,2465.599999964237,143937.60000002384,7200,DSST,C,143837.0,144649.0,142184.0,16,160,113
T,17,1,46.3270001411438,2,test,yes,1,2,73672.9998588562,213,123,Thu Aug 14 2025 15:46:19 GMT-0500 (Central Daylight Time),148752.0,box2,yes,O,1,1,2339.5,146412.5,7200,DSST,C,146306.0,146998.0,144659.0,17,160,113
