acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
1,prac,1,1,,-304,-222,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),-224,-192,64858.300000190735,CFD-BM-250-170-N.jpg,Sam,64,O,1,2632,,2632,,,1,1,3658.0999999046326,-416,-256,61200.2000002861,7202,FN,C,,57250,,,1,192,-320,-224
2,prac,1,1,,328,3,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),416,32,67424.0,CFD-WM-255-219-N.jpg,John,64,O,1,1539,,1539,,,2,1,2562.199999809265,224,-32,64861.800000190735,7202,FN,C,,60916,,,2,192,320,0
3,prac,1,1,,-305,227,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),-224,256,70057.2000002861,CFD-LF-208-127-N.jpg,Tina,64,O,1,1607,,1607,,,3,1,2631.6000003814697,-416,192,67425.59999990463,7202,FN,C,,63481,,,3,192,-320,224
4,prac,1,1,,335,-218,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),416,-192,72656.2000002861,CFD-BM-250-170-N.jpg,Sam,64,O,1,1575,,1575,,,4,1,2596.5,224,-256,70059.7000002861,7202,FN,C,,66115,,,4,192,320,-224
5,prac,1,1,,-340,-2,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),-224,32,74571.0,CFD-WM-255-219-N.jpg,John,64,O,1,886,,886,,,5,1,1912.4000000953674,-416,-32,72658.59999990463,7202,FN,C,,68713,,,5,192,-320,0
6,prac,1,1,,300,233,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),416,256,76554.2000002861,CFD-LF-208-127-N.jpg,Tina,64,O,1,961,,961,,,6,1,1981.1000003814697,224,192,74573.09999990463,7202,FN,C,,70631,,,6,192,320,224
0,prac_test,1,0,m,300,233,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),416,256,109176.90000009537,CFD-BM-250-170-N.jpg,John,64,O,z,3321,,,3321,,2,1,5101.5,224,192,104075.40000009537,7202,FN,C,,,100120,,1,192,320,224
1,prac_test,1,1,z,300,233,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),416,256,114658.59999990463,CFD-LF-208-127-N.jpg,Tina,64,O,z,3694,,,3694,,3,1,5472.699999809265,224,192,109185.90000009537,7202,FN,C,,,105235,,2,192,320,224
2,prac_test,1,1,m,300,233,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),416,256,117691.2000002861,CFD-WM-255-219-N.jpg,Sam,64,O,m,1235,,,1235,,1,1,3020.2000002861023,224,192,114671.0,7202,FN,C,,,110717,,3,192,320,224
1,learn,1,1,,-332,216,Fri Sep 05 2025 14:26:33 GMT-0500 (Central Daylight Time),-224,256,144433.40000009537,CFD-LM-212-143-N.jpg,Peter,64,O,1,1574,1574,,,,33,1,2587.4000000953674,-416,192,141846.0,7202,FN,C,137891,,,,1,192,-320,224
