acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
1,prac,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),106478.79999995232,brutal,1100,O,m,,,759,,,8,1,3155.7999999523163,103323.0,7206,window,AF,B,,,,,,,,,,1
2,prac,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),109295.40000009537,elated,900,O,m,,,599,,,6,1,2813.0,106482.40000009537,7206,napkin,AF,B,,,,,,,,,,2
3,prac,1,inc,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),112344.10000014305,window,1100,O,z,,,641,,,16,1,3041.2000000476837,109302.90000009537,7206,temper,AF,B,,,,,,,,,,3
4,prac,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),115128.10000014305,kind,900,O,m,,,567,,,2,1,2776.5,112351.60000014305,7206,rock,AF,B,,,,,,,,,,4
4,prac,1,inc,0,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),118157.0,rock,900,O,m,,,828,,,10,1,3023.5,115133.5,7206,kind,AF,B,,,,,,,,,,5
5,prac,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),120825.29999995232,step,800,O,m,,,570,,,1,1,2660.0999999046326,118165.20000004768,7206,step,AF,B,,,,,,,,,,6
6,prac,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),123791.70000004768,remote,1000,O,m,,,657,,,7,1,2960.2999999523163,120831.40000009537,7206,remote,AF,B,,,,,,,,,,7
7,prac,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),126858.0,hate,1100,O,m,,,666,,,4,1,3059.5999999046326,123798.40000009537,7206,film,AF,B,,,,,,,,,,8
8,prac,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),129641.10000014305,rage,1000,O,z,,,467,,,15,1,2777.9000000953674,126863.20000004768,7206,rage,AF,B,,,,,,,,,,9
9,prac,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),132321.10000014305,brutal,800,O,z,,,566,,,13,1,2676.600000143051,129644.5,7206,brutal,AF,B,,,,,,,,,,10
10,prac,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),134787.10000014305,jacket,800,O,m,,,367,,,5,1,2460.100000143051,132327.0,7206,jacket,AF,B,,,,,,,,,,11
11,prac,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),137821.40000009537,bell,1000,O,m,,,759,,,3,1,3025.9000000953674,134795.5,7206,bell,AF,B,,,,,,,,,,12
12,prac,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),140651.20000004768,love,1000,O,z,,,529,,,11,1,2824.7000000476837,137826.5,7206,love,AF,B,,,,,,,,,,13
13,prac,1,inc,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),143816.0,napkin,1100,O,z,,,751,,,12,1,3159.2999999523163,140656.70000004768,7206,friend,AF,B,,,,,,,,,,14
14,prac,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),146415.60000014305,elated,800,O,z,,,491,,,9,1,2596.2000000476837,143819.40000009537,7206,elated,AF,B,,,,,,,,,,15
15,prac,1,inc,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),149317.79999995232,film,900,O,z,,,713,,,14,1,2898.2999999523163,146419.5,7206,hate,AF,B,,,,,,,,,,16
1,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),160479.60000014305,rage,800,O,m,m,None,769,553.0,216.0,77,1,2108.300000190735,158371.29999995232,7206,rock,AF,B,157748,157748,156205,157016,156206,158314,157531,157531,158314,1
2,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),162378.5,temper,900,O,z,z,None,481,282.0,199.0,58,1,1894.5999999046326,160483.90000009537,7206,temper,AF,B,159930,159930,158318,159229,158318,160213,159730,159730,160213,2
3,test,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),164177.20000004768,jacket,800,O,m,m,None,449,250.0,199.0,97,1,1793.2000000476837,162384.0,7206,jacket,AF,B,161746,161746,160218,161031,160218,162011,161546,161546,162011,3
4,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),166343.0,temper,1000,O,m,m,None,617,417.0,200.0,111,1,2157.5999999046326,164185.40000009537,7206,napkin,AF,B,163746,163746,162019,163028,162020,164177,163545,163545,164177,4
5,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),168942.79999995232,friend,1100,O,m,m,None,952,752.0,200.0,112,1,2596.699999809265,166346.10000014305,7206,napkin,AF,B,166011,166011,164180,165295,164180,166777,165811,165811,166777,5
6,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),171091.5,friend,800,O,z,z,None,806,607.0,199.0,25,1,2144.2999999523163,168947.20000004768,7206,friend,AF,B,168310,168310,166781,167593,166782,168926,168110,168110,168925,6
7,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),173258.0,love,1000,O,m,m,None,617,418.0,199.0,95,1,2159.5999999046326,171098.40000009537,7206,film,AF,B,170659,170659,168932,169943,168933,171092,170459,170459,171092,7
8,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),175674.79999995232,love,1000,O,m,m,None,868,669.0,199.0,87,1,2409.2999999523163,173265.5,7206,bell,AF,B,172825,172825,171099,172110,171100,173509,172625,172625,173509,8
9,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),177789.5,elated,800,O,m,m,None,769,554.0,215.0,109,1,2106.2000000476837,175683.29999995232,7206,napkin,AF,B,175058,175058,173517,174326,173518,175624,174841,174842,175623,9
10,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),179906.70000004768,kind,800,O,z,z,None,774,575.0,199.0,9,1,2110.4000000953674,177796.29999995232,7206,kind,AF,B,177157,177157,175630,176441,175631,177741,176957,176957,177741,10
11,test,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),181671.70000004768,window,800,O,m,m,None,426,227.0,199.0,121,1,1758.5999999046326,179913.10000014305,7206,window,AF,B,179273,179273,177747,178558,177747,179506,179073,179073,179506,11
12,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),183954.20000004768,temper,1000,O,z,z,None,755,556.0,199.0,59,1,2275.7999999523163,181678.40000009537,7206,temper,AF,B,181224,181224,179512,180522,179513,181788,181023,181024,181788,12
13,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),185988.0,hate,1000,O,z,z,None,486,285.0,201.0,43,1,2027.2999999523163,183960.70000004768,7206,hate,AF,B,183522,183522,181795,182806,181795,183822,183321,183321,183822,13
14,test,1,inc,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),188320.40000009537,film,1100,O,z,z,None,686,486.0,200.0,48,1,2325.9000000953674,185994.5,7206,hate,AF,B,185654,185654,183829,184938,183829,186155,185454,185454,186154,14
15,test,1,inc,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),190620.60000014305,rock,900,O,z,z,None,857,656.0,201.0,22,1,2294.2000000476837,188326.40000009537,7206,love,AF,B,187788,187788,186160,187070,186161,188455,187586,187586,188455,15
16,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),192701.20000004768,love,1000,O,z,z,None,546,347.0,199.0,19,1,2074.5999999046326,190626.60000014305,7206,love,AF,B,190186,190186,188461,189471,188461,190535,189986,189986,190535,16
17,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),195101.90000009537,friend,1100,O,m,m,None,771,572.0,199.0,104,1,2393.9000000953674,192708.0,7206,jacket,AF,B,192352,192352,190542,191652,190542,192936,192153,192153,192936,17
18,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),197317.5,friend,900,O,z,z,None,772,572.0,200.0,26,1,2210.0999999046326,195107.40000009537,7206,friend,AF,B,194569,194569,192941,193852,192942,195152,194369,194369,195151,18
19,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),199500.10000014305,brutal,900,O,m,m,None,746,547.0,199.0,110,1,2177.300000190735,197322.79999995232,7206,napkin,AF,B,196785,196785,195157,196069,195157,197334,196586,196586,197334,19
20,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),201548.5,rage,800,O,m,m,None,702,503.0,199.0,85,1,2043.3999998569489,199505.10000014305,7206,bell,AF,B,198869,198869,197339,198151,197339,199383,198669,198669,199382,20
21,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),203815.29999995232,elated,1000,O,z,z,None,725,526.0,199.0,3,1,2260.5,201554.79999995232,7206,elated,AF,B,201118,201118,199389,200401,199389,201649,200918,200918,201649,21
22,test,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),206013.90000009537,bell,900,O,m,m,None,752,553.0,199.0,82,1,2194.4000000953674,203819.5,7206,bell,AF,B,203282,203282,201654,202567,201654,203848,203082,203082,203848,22
23,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),208132.5,brutal,1000,O,z,z,None,572,373.0,199.0,35,1,2114.7999999523163,206017.70000004768,7206,brutal,AF,B,205583,205583,203852,204866,203852,205967,205383,205383,205967,23
24,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),210481.29999995232,hate,1100,O,m,m,None,710,493.0,217.0,72,1,2342.7999999523163,208138.5,7206,step,AF,B,207816,207816,205973,207081,205973,208315,207599,207599,208315,24
25,test,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),212397.20000004768,napkin,900,O,m,m,None,472,273.0,199.0,106,1,1911.9000000953674,210485.29999995232,7206,napkin,AF,B,209947,209948,208319,209230,208320,210231,209748,209748,210231,25
26,test,1,inc,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),214929.60000014305,window,1100,O,z,z,None,893,678.0,215.0,64,1,2527.4000000953674,212402.20000004768,7206,temper,AF,B,212079,212079,210236,211348,210236,212764,211864,211864,212764,26
27,test,1,inc,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),217011.60000014305,kind,900,O,m,m,None,639,424.0,215.0,70,1,2078.100000143051,214933.5,7206,step,AF,B,214413,214413,212768,213680,212768,214846,214197,214197,214846,27
28,test,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),219127.40000009537,remote,900,O,m,m,None,669,470.0,199.0,114,1,2110.7000000476837,217016.70000004768,7206,remote,AF,B,216479,216479,214851,215763,214851,216961,216280,216280,216961,28
29,test,1,inc,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),221444.90000009537,remote,1000,O,z,z,None,784,582.0,202.0,63,1,2312.2999999523163,219132.60000014305,7206,temper,AF,B,218696,218697,216967,217979,216967,219279,218494,218494,219279,29
30,test,1,inc,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),223760.20000004768,film,1100,O,z,z,None,669,470.0,199.0,56,1,2309.0,221451.20000004768,7206,rage,AF,B,221110,221111,219285,220394,219285,221594,220911,220911,221594,30
31,test,1,con,1,m,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),225808.60000014305,rock,900,O,m,m,None,610,411.0,199.0,74,1,2043.1000001430511,223765.5,7206,rock,AF,B,223226,223226,221600,222510,221600,223643,223027,223027,223643,31
32,test,1,con,1,z,Thu Aug 28 2025 09:57:38 GMT-0500 (Central Daylight Time),228175.5,rage,1000,O,z,z,None,817,616.0,201.0,51,1,2362.5,225813.0,7206,rage,AF,B,225376,225376,223647,224659,223647,226010,225175,225175,226010,32
