acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),85233.80000019073,CFD-WF-026-008-A.jpg,1600,solid,O,z,1180,10,1,3567.0,81666.80000019073,7212,ATS,B,1
2,prac,1,A,haborder.png,1,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),89150.7000002861,CFD-WM-009-009-A.jpg,1900,solid,O,z,1218,8,1,7483.900000095367,81666.80000019073,7212,ATS,B,2
3,prac,1,A,haborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),92516.90000009537,CFD-WM-012-007-HC.jpg,1700,solid,O,m,873,9,1,10850.099999904633,81666.80000019073,7212,ATS,B,3
4,prac,1,A,haborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),95530.0,CFD-WF-011-006-HC.jpg,1500,solid,O,m,727,11,1,13863.199999809265,81666.80000019073,7212,ATS,B,4
5,prac,1,A,haborder.png,1,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),99248.5,CFD-BM-037-041-A.jpg,1600,solid,O,z,1332,2,1,17581.699999809265,81666.80000019073,7212,ATS,B,5
6,prac,1,A,haborder.png,1,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),101811.2000002861,CFD-BF-051-043-A.jpg,1000,solid,O,z,778,4,1,20144.400000095367,81666.80000019073,7212,ATS,B,6
7,prac,1,A,haborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),105511.2000002861,CFD-BF-035-007-HC.jpg,2000,solid,O,m,910,5,1,23844.400000095367,81666.80000019073,7212,ATS,B,7
8,prac,1,A,haborder.png,1,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),108442.80000019073,CFD-BF-050-012-A.jpg,1200,solid,O,z,921,6,1,26776.0,81666.80000019073,7212,ATS,B,8
9,prac,1,A,haborder.png,1,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),111491.30000019073,CFD-WF-013-015-A.jpg,1000,solid,O,z,1260,12,1,29824.5,81666.80000019073,7212,ATS,B,9
10,prac,1,A,haborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),114657.80000019073,CFD-BM-020-024-HC.jpg,1500,solid,O,m,871,3,1,32991.0,81666.80000019073,7212,ATS,B,10
11,prac,1,A,haborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),118586.90000009537,CFD-BM-015-017-HC.jpg,1700,solid,O,m,1421,1,1,36920.09999990463,81666.80000019073,7212,ATS,B,11
12,prac,1,A,haborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),121589.40000009537,CFD-WM-011-006-HC.jpg,1400,solid,O,m,826,7,1,39922.59999990463,81666.80000019073,7212,ATS,B,12
0,prac,1,B,mfborder.png,0,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),170372.40000009537,CFD-WF-011-006-HC.jpg,1000,dash,O,None,1513,12,1,3297.0999999046326,167075.30000019073,7212,ATS,B,1
1,prac,1,B,mfborder.png,1,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),173104.90000009537,CFD-BF-051-043-A.jpg,1000,dash,O,z,940,4,1,6029.599999904633,167075.30000019073,7212,ATS,B,2
2,prac,1,B,mfborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),176555.2000002861,CFD-BM-020-024-HC.jpg,1700,dash,O,m,954,1,1,9479.900000095367,167075.30000019073,7212,ATS,B,3
3,prac,1,B,mfborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),179920.5,CFD-WM-037-060-A.jpg,1200,dash,O,m,1366,6,1,12845.199999809265,167075.30000019073,7212,ATS,B,4
4,prac,1,B,mfborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),183652.09999990463,CFD-BM-037-041-A.jpg,2000,dash,O,m,935,5,1,16576.799999713898,167075.30000019073,7212,ATS,B,5
5,prac,1,B,mfborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),186768.7000002861,CFD-BM-041-048-A.jpg,1600,dash,O,m,724,2,1,19693.400000095367,167075.30000019073,7212,ATS,B,6
6,prac,1,B,mfborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),190000.90000009537,CFD-WM-012-007-HC.jpg,1600,dash,O,m,843,10,1,22925.599999904633,167075.30000019073,7212,ATS,B,7
7,prac,1,B,mfborder.png,1,m,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),193166.30000019073,CFD-WM-009-009-A.jpg,1700,dash,O,m,676,9,1,26091.0,167075.30000019073,7212,ATS,B,8
8,prac,1,B,mfborder.png,1,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),196100.30000019073,CFD-WF-026-008-A.jpg,1500,dash,O,z,631,11,1,29025.0,167075.30000019073,7212,ATS,B,9
9,prac,1,B,mfborder.png,1,z,Wed Sep 03 2025 15:48:57 GMT-0500 (Central Daylight Time),199613.2000002861,CFD-WF-027-007-HC.jpg,1900,dash,O,z,825,8,1,32537.900000095367,167075.30000019073,7212,ATS,B,10
