Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
9,0,prac,1,A,circle.png,0,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),66716.69999980927,1500,O,None,1513,8,1,3788.0999999046326,62928.59999990463,7212,NTS,B,1
8,0,prac,1,A,circle.png,0,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),69932.90000009537,1600,O,z,820,7,1,3207.800000190735,66725.09999990463,7212,NTS,B,2
4,0,prac,1,A,circle.png,0,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),73630.90000009537,1400,O,None,1515,4,1,3691.2000002861023,69939.69999980927,7212,NTS,B,3
7,1,prac,1,A,circle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),77015.69999980927,1700,O,m,909,6,1,3375.8999996185303,73639.80000019073,7212,NTS,B,4
1,2,prac,1,A,circle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),79431.0,1000,O,z,632,1,1,2407.199999809265,77023.80000019073,7212,NTS,B,5
3,3,prac,1,A,circle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),82261.30000019073,1200,O,z,844,3,1,2822.300000190735,79439.0,7212,NTS,B,6
2,4,prac,1,A,circle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),85630.69999980927,2000,O,z,591,2,1,3359.7999997138977,82270.90000009537,7212,NTS,B,7
4,5,prac,1,A,circle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),88492.19999980927,1400,O,z,673,4,1,2854.699999809265,85637.5,7212,NTS,B,8
6,6,prac,1,A,circle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),91861.5,1900,O,m,672,5,1,3364.4000000953674,88497.09999990463,7212,NTS,B,9
2,7,prac,1,A,circle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),95456.09999990463,2000,O,z,801,2,1,3586.7999997138977,91869.30000019073,7212,NTS,B,10
3,8,prac,1,A,circle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),98189.69999980927,1200,O,z,753,3,1,2727.7999997138977,95461.90000009537,7212,NTS,B,11
7,9,prac,1,A,circle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),101408.0,1700,O,m,720,6,1,3213.5999999046326,98194.40000009537,7212,NTS,B,12
9,0,prac,1,B,triangle.png,0,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),136810.80000019073,1400,O,None,1515,8,1,3692.800000190735,133118.0,7212,NTS,B,1
7,1,prac,1,B,triangle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),140726.09999990463,2000,O,z,1127,6,1,3907.4000000953674,136818.69999980927,7212,NTS,B,2
2,2,prac,1,B,triangle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),144010.30000019073,1700,O,m,785,2,1,3277.800000190735,140732.5,7212,NTS,B,3
4,2,prac,1,B,triangle.png,0,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),147640.80000019073,1500,O,z,1333,4,1,3622.9000000953674,144017.90000009537,7212,NTS,B,4
3,3,prac,1,B,triangle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),150842.09999990463,1600,O,z,810,3,1,3195.5,147646.59999990463,7212,NTS,B,5
4,4,prac,1,B,triangle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),153854.80000019073,1500,O,m,720,4,1,3006.1000003814697,150848.69999980927,7212,NTS,B,6
8,5,prac,1,B,triangle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),156789.5,1200,O,m,951,7,1,2930.0999999046326,153859.40000009537,7212,NTS,B,7
9,6,prac,1,B,triangle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),159737.0,1400,O,z,762,8,1,2939.4000000953674,156797.59999990463,7212,NTS,B,8
1,7,prac,1,B,triangle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),163236.90000009537,1900,O,z,828,1,1,3496.0999999046326,159740.80000019073,7212,NTS,B,9
6,8,prac,1,B,triangle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),165837.0,1000,O,m,817,5,1,2591.800000190735,163245.19999980927,7212,NTS,B,10
7,9,prac,1,B,triangle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),169437.40000009537,2000,O,z,833,6,1,3594.300000190735,165843.09999990463,7212,NTS,B,11
8,10,prac,1,B,triangle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),172418.19999980927,1200,O,m,1009,7,1,2975.699999809265,169442.5,7212,NTS,B,12
1,1,test,1,A,circle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),192226.0,1000,O,z,741,1,1,1756.5,190469.5,7212,NTS,B,1
6,2,test,1,A,circle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),195075.69999980927,1900,O,m,925,5,1,2845.3999996185303,192230.30000019073,7212,NTS,B,2
8,3,test,1,A,circle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),197508.40000009537,1600,O,m,808,7,1,2428.2000002861023,195080.19999980927,7212,NTS,B,3
9,4,test,1,A,circle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),199857.09999990463,1500,O,m,817,8,1,2344.7999997138977,197512.30000019073,7212,NTS,B,4
3,5,test,1,A,circle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),201790.5,1200,O,z,713,3,1,1925.3000001907349,199865.19999980927,7212,NTS,B,5
6,6,test,1,A,circle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),204539.40000009537,1900,O,m,826,5,1,2741.2000002861023,201798.19999980927,7212,NTS,B,6
6,7,test,1,A,circle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),207054.69999980927,1900,O,m,586,5,1,2510.5999999046326,204544.09999990463,7212,NTS,B,7
7,8,test,1,A,circle.png,1,m,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),209520.59999990463,1700,O,m,744,6,1,2459.199999809265,207061.40000009537,7212,NTS,B,8
2,9,test,1,A,circle.png,1,z,Wed Sep 03 2025 15:13:00 GMT-0500 (Central Daylight Time),212102.30000019073,2000,O,z,564,2,1,2575.800000190735,209526.5,7212,NTS,B,9
