acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),35923.5,O,z,1156,,,4,yes,1,2678.89999999851,33244.60000000149,RSM,RSM,7221,LC,C,,,1
2,1,0.0,prac,1,m,30000.0,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),39855.40000000596,O,m,2400,,,3,no,1,3927.3000000044703,35928.10000000149,QHZXPC,QHZWPC,7221,LC,C,,,2
3,1,0.0,prac,1,m,30000.0,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),42421.40000000596,O,m,1028,,,1,no,1,2561.60000000149,39859.80000000447,RNV,FNV,7221,LC,C,,,3
3,1,0.0,prac,0,z,30000.0,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),45953.70000000298,O,m,2007,,,2,yes,1,3528.0,42425.70000000298,NBGFSM,NBGFSM,7221,LC,C,,,4
3,1,0.0,prac,0,m,30000.0,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),49885.80000000447,O,z,2402,,,5,no,1,3927.60000000149,45958.20000000298,LNDPRSKQB,LNDPRSJQB,7221,LC,C,,,5
4,1,0.0,prac,1,z,30000.0,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),55017.30000000447,O,z,3607,,,6,yes,1,5127.39999999851,49889.90000000596,CSDBFPHXZ,CSDBFPHXZ,7221,LC,C,,,6
1,1,3.0989999771118164,test,1,m,26901.000022888184,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),65330.90000000596,O,m,3087,3087,,1,no,1,3096.3000000044703,62234.60000000149,HCF,RCF,7221,LC,C,60008,,1
2,1,5.5980000495910645,test,1,m,24401.999950408936,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),67830.0,O,m,2490,2490,,2,no,1,2495.5999999940395,65334.40000000596,QTPRJX,QTPNJX,7221,LC,C,63108,,2
3,1,11.829999923706055,test,1,m,18170.000076293945,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),74061.5,O,m,6215,6215,,3,no,1,6228.19999999553,67833.30000000447,MZDYGVGKQ,MZDYGLBKQ,7221,LC,C,65607,,3
4,1,13.546000003814697,test,1,m,16453.999996185303,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),75777.70000000298,O,m,1703,1703,,4,no,1,1712.6000000014901,74065.10000000149,FQTNMK,JQTNMK,7221,LC,C,71839,,4
5,1,15.161999940872192,test,1,z,14838.000059127808,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),77393.5,O,z,1612,1612,,5,yes,1,1612.7999999970198,75780.70000000298,CLJ,CLJ,7221,LC,C,73554,,5
6,1,17.295000076293945,test,1,m,12704.999923706055,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),79526.5,O,m,2124,2124,,6,no,1,2130.0,77396.5,JGDMNSVPW,JGZMNSVPW,7221,LC,C,75170,,6
7,1,20.57699990272522,test,1,z,9423.00009727478,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),82808.70000000298,O,z,3272,3272,,7,yes,1,3278.89999999851,79529.80000000447,FPTVHKCBJ,FPTVHKCBJ,7221,LC,C,77303,,7
8,1,22.092999935150146,test,1,m,7907.0000648498535,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),84325.0,O,m,1509,1509,,8,no,1,1513.0999999940395,82811.90000000596,XRPZBS,ZRPBDH,7221,LC,C,80585,,8
9,1,23.375999927520752,test,1,m,6624.000072479248,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),85607.90000000596,O,m,1264,1264,,9,no,1,1279.5,84328.40000000596,ZSQ,ZSP,7221,LC,C,82102,,9
10,1,25.842000007629395,test,1,z,4157.9999923706055,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),88073.40000000596,O,z,2461,2461,,10,yes,1,2461.9000000059605,85611.5,MPZRXL,MPZRXL,7221,LC,C,83385,,10
11,1,27.04200005531311,test,1,m,2957.9999446868896,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),89273.30000000447,O,m,1196,1196,,11,no,1,1196.8999999985099,88076.40000000596,KJH,KRH,7221,LC,C,85850,,11
11,1,30.007999897003174,test,0,z,-7.999897003173828,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),92239.5,O,None,2963,2963,,12,yes,1,2963.5,89276.0,SMNHVTFCB,SMNHVTFCB,7221,LC,C,87049,,12
1,2,4.781999826431274,test,1,z,25218.000173568726,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),100153.20000000298,O,z,4763,,4763.0,1,yes,1,10877.20000000298,89276.0,PRDBZTYFN,PRDBZTYFN,7221,LC,C,,93147.0,1
2,2,7.013999938964844,test,1,m,22986.000061035156,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),102385.70000000298,O,m,2220,,2220.0,2,no,1,13109.70000000298,89276.0,NCWJDZ,NCMJDZ,7221,LC,C,,97930.0,2
3,2,8.04699993133545,test,1,m,21953.00006866455,Wed Sep 03 2025 14:43:46 GMT-0500 (Central Daylight Time),103418.90000000596,O,m,1027,,1027.0,3,no,1,14142.90000000596,89276.0,KHW,KBW,7221,LC,C,,100162.0,3
