block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,3.5490000247955322,delay,56450.99997520447,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),39516.89999997616,A,streetenter,O,enter,1361,1,3549.399999976158,35967.5,7229,DWL,B,1
8,7.164999961853027,delay,52835.00003814697,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),43132.10000002384,A,grassenter,O,enter,430,1,3614.7000000476837,39517.39999997616,7229,DWL,B,2
8,9.797000169754028,delay,50202.99983024597,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),45764.10000002384,A,doorenter,O,enter,521,1,2631.600000023842,43132.5,7229,DWL,B,3
8,11.02999997138977,delay,48970.00002861023,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),46997.200000047684,A,armenter,O,enter,503,1,1232.8000000715256,45764.39999997616,7229,DWL,B,4
8,12.779000043869019,delay,47220.99995613098,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),48746.300000071526,A,starenter,O,enter,972,1,1748.9000000953674,46997.39999997616,7229,DWL,B,5
8,14.978000164031982,delay,45021.99983596802,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),50945.60000002384,A,wifeenter,O,enter,539,1,2199.0,48746.60000002384,7229,DWL,B,6
8,17.66100001335144,delay,42338.99998664856,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),53628.300000071526,A,windowenter,O,enter,813,1,2682.5,50945.800000071526,7229,DWL,B,7
8,18.97699999809265,delay,41023.00000190735,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),54944.5,A,cityenter,O,enter,500,1,1316.0,53628.5,7229,DWL,B,8
8,21.725000143051147,delay,38274.99985694885,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),57693.700000047684,A,pupilenter,O,enter,1369,1,2748.899999976158,54944.800000071526,7229,DWL,B,9
8,27.624000072479248,delay,32375.999927520752,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),63592.60000002384,A,cabinenter,O,enter,308,1,5898.600000023842,57694.0,7229,DWL,B,10
8,29.606000185012817,delay,30393.999814987183,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),65574.60000002384,A,lakeenter,O,enter,1044,1,1981.6000000238419,63593.0,7229,DWL,B,11
8,32.973000049591064,delay,27026.999950408936,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),68941.0,A,fireenter,O,enter,405,1,3366.1999999284744,65574.80000007153,7229,DWL,B,12
8,36.087000131607056,delay,23912.999868392944,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),72055.60000002384,A,clockenter,O,enter,2057,1,3114.399999976158,68941.20000004768,7229,DWL,B,13
8,37.73699998855591,delay,22263.00001144409,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),73705.5,A,skinenter,O,enter,541,1,1649.6000000238419,72055.89999997616,7229,DWL,B,14
8,43.55200004577637,delay,16447.999954223633,Thu Nov 13 2025 13:32:33 GMT-0600 (Central Standard Time),79520.60000002384,A,cityenter,O,enter,567,1,5814.899999976158,73705.70000004768,7229,DWL,B,15
