acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
1,prac,1,1,,-331,-222,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,-192,62653.89999997616,CFD-BM-250-170-N.jpg,Sam,64,O,1,2238,,2238,,,1,,3261.100000023842,-416,-256,59392.799999952316,7240,FN,C,,55858,,,1,192,-320,-224
2,prac,1,1,,330,-6,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,32,65353.299999952316,CFD-WM-255-219-N.jpg,John,64,O,1,1677,,1677,,,2,,2697.5999999046326,224,-32,62655.700000047684,7240,FN,C,,59123,,,2,192,320,0
2,prac,1,0,,330,-6,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,256,69385.5,CFD-LF-208-127-N.jpg,Tina,64,O,None,3015,,3015,,,3,,4029.600000023842,-416,192,65355.89999997616,7240,FN,C,,61822,,,3,192,-320,224
3,prac,1,1,,308,-216,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,-192,73617.10000002384,CFD-BM-250-170-N.jpg,Sam,64,O,1,1168,,1168,,,4,,2197.600000023842,224,-256,71419.5,7240,FN,C,,67887,,,4,192,320,-224
4,prac,1,1,,-312,-4,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,32,75666.10000002384,CFD-WM-255-219-N.jpg,John,64,O,1,1024,,1024,,,5,,2047.5,-416,-32,73618.60000002384,7240,FN,C,,70087,,,5,192,-320,0
5,prac,1,1,,342,228,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,256,77599.60000002384,CFD-LF-208-127-N.jpg,Tina,64,O,1,913,,913,,,6,,1931.8000000715256,224,192,75667.79999995232,7240,FN,C,,72135,,,6,192,320,224
1,prac,1,1,m,342,228,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,256,101292.0,CFD-BM-250-170-N.jpg,John,64,O,m,1039,,,1039,,2,,2826.600000023842,224,192,98465.39999997616,7240,FN,C,,,94928,,1,192,320,224
2,prac,1,1,z,342,228,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,256,104227.79999995232,CFD-LF-208-127-N.jpg,Tina,64,O,z,1160,,,1160,,3,,2929.399999976158,224,192,101298.39999997616,7240,FN,C,,,97760,,2,192,320,224
2,prac,1,0,m,342,228,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,256,107839.70000004768,CFD-WM-255-219-N.jpg,Sam,64,O,z,1818,,,1818,,1,,3605.600000023842,224,192,104234.10000002384,7240,FN,C,,,100693,,3,192,320,224
1,learn,1,1,,-333,-2,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,32,126350.89999997616,CFD-LF-200-058-N.jpg,Cindy,64,O,1,1297,1297,,,,44,,2314.6999999284744,-416,-32,124036.20000004768,7240,FN,C,120503,,,,1,192,-320,0
2,learn,1,1,,311,-238,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,-192,128766.5,CFD-LF-217-082-N.jpg,Irene,64,O,1,1389,1389,,,,46,,2409.7000000476837,224,-256,126356.79999995232,7240,FN,C,122819,,,,2,192,320,-224
3,learn,1,1,,317,0,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,32,131133.0,CFD-LF-210-220-N.jpg,Helen,64,O,1,1348,1348,,,,47,,2364.2000000476837,224,-32,128768.79999995232,7240,FN,C,125235,,,,3,192,320,0
4,learn,1,1,,-287,-217,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,-192,133931.70000004768,CFD-BM-216-088-N.jpg,David,64,O,1,1774,1774,,,,7,,2797.3000000715256,-416,-256,131134.39999997616,7240,FN,C,127601,,,,4,192,-320,-224
5,learn,1,1,,-305,224,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,256,137412.89999997616,CFD-LF-217-082-N.jpg,Irene,64,O,1,2464,2464,,,,45,,3479.7999999523163,-416,192,133933.10000002384,7240,FN,C,130400,,,,5,192,-320,224
6,learn,1,1,,297,220,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,256,139979.5,CFD-LF-219-223-N.jpg,Jane,64,O,1,1548,1548,,,,42,,2565.399999976158,224,192,137414.10000002384,7240,FN,C,133883,,,,6,192,320,224
7,learn,1,1,,-338,-4,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,32,142711.39999997616,CFD-WF-244-163-N.jpg,Rachel,64,O,1,1711,1711,,,,32,,2726.7999999523163,-416,-32,139984.60000002384,7240,FN,C,136448,,,,7,192,-320,0
8,learn,1,1,,-327,212,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,256,145445.10000002384,CFD-BF-227-137-N.jpg,Lucy,64,O,1,1714,1714,,,,15,,2732.2000000476837,-416,192,142712.89999997616,7240,FN,C,139181,,,,8,192,-320,224
9,learn,1,1,,273,213,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),416,256,147944.20000004768,CFD-BF-239-180-N.jpg,Sarah,64,O,1,1477,1477,,,,12,,2497.8000000715256,224,192,145446.39999997616,7240,FN,C,141915,,,,9,192,320,224
9,learn,1,0,,273,213,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,-192,151976.70000004768,CFD-WF-244-163-N.jpg,Rachel,64,O,None,3017,3017,,,,31,,4027.2000000476837,-416,-256,147949.5,7240,FN,C,144412,,,,10,192,-320,-224
10,learn,1,1,,-326,-228,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,-192,155840.60000002384,CFD-WM-224-197-N.jpg,Chris,64,O,1,1319,1319,,,,19,,2347.399999976158,-416,-256,153493.20000004768,7240,FN,C,149960,,,,11,192,-320,-224
11,learn,1,1,,-279,-5,Fri Nov 14 2025 14:35:08 GMT-0600 (Central Standard Time),-224,32,157841.29999995232,CFD-BM-239-136-N.jpg,Mark,64,O,1,978,978,,,,2,,1999.2999999523163,-416,-32,155842.0,7240,FN,C,152309,,,,12,192,-320,0
