acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,A,haborder.png,0,m,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),55457.40000003576,CFD-WM-012-007-HC.jpg,1700,solid,O,None,1515,9,,3998.5,51458.90000003576,7246,ATS,B,1
1,prac,1,A,haborder.png,1,m,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),58523.60000002384,CFD-BM-020-024-HC.jpg,1500,solid,O,m,765,3,,7064.699999988079,51458.90000003576,7246,ATS,B,2
2,prac,1,A,haborder.png,1,z,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),62155.10000002384,CFD-WM-009-009-A.jpg,1900,solid,O,z,948,8,,10696.199999988079,51458.90000003576,7246,ATS,B,3
3,prac,1,A,haborder.png,1,m,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),65139.5,CFD-WF-011-006-HC.jpg,1500,solid,O,m,684,11,,13680.599999964237,51458.90000003576,7246,ATS,B,4
4,prac,1,A,haborder.png,1,z,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),68437.80000001192,CFD-BM-037-041-A.jpg,1600,solid,O,z,908,2,,16978.899999976158,51458.90000003576,7246,ATS,B,5
5,prac,1,A,haborder.png,1,m,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),71420.70000004768,CFD-WM-011-006-HC.jpg,1400,solid,O,m,790,7,,19961.80000001192,51458.90000003576,7246,ATS,B,6
6,prac,1,A,haborder.png,1,m,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),74967.60000002384,CFD-BF-035-007-HC.jpg,2000,solid,O,m,751,5,,23508.69999998808,51458.90000003576,7246,ATS,B,7
7,prac,1,A,haborder.png,1,z,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),78084.5,CFD-WF-026-008-A.jpg,1600,solid,O,z,738,10,,26625.599999964237,51458.90000003576,7246,ATS,B,8
8,prac,1,A,haborder.png,1,z,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),80584.10000002384,CFD-BF-051-043-A.jpg,1000,solid,O,z,726,4,,29125.19999998808,51458.90000003576,7246,ATS,B,9
9,prac,1,A,haborder.png,1,m,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),84015.10000002384,CFD-BM-015-017-HC.jpg,1700,solid,O,m,944,1,,32556.19999998808,51458.90000003576,7246,ATS,B,10
10,prac,1,A,haborder.png,1,z,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),86731.10000002384,CFD-WF-013-015-A.jpg,1000,solid,O,z,922,12,,35272.19999998808,51458.90000003576,7246,ATS,B,11
11,prac,1,A,haborder.png,1,z,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),89898.60000002384,CFD-BF-050-012-A.jpg,1200,solid,O,z,1176,6,,38439.69999998808,51458.90000003576,7246,ATS,B,12
1,prac,1,B,mfborder.png,1,m,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),115122.10000002384,CFD-BM-020-024-HC.jpg,1700,dash,O,m,1250,1,,3731.699999988079,111390.40000003576,7246,ATS,B,1
2,prac,1,B,mfborder.png,1,m,Thu Nov 20 2025 17:27:42 GMT-0600 (Central Standard Time),119335.10000002384,CFD-BM-037-041-A.jpg,2000,dash,O,m,1424,5,,7944.699999988079,111390.40000003576,7246,ATS,B,2
