acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),38297.60000002384,O,z,2214,,,5,yes,,3741.5,34556.10000002384,practrial5.png,practrial5.png,7246,PC,B,,,1
2,1,0.0,prac,1,z,30000.0,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),41880.0,O,z,2041,,,1,yes,,3574.699999988079,38305.30000001192,practrial1.png,practrial1.png,7246,PC,B,,,2
3,1,0.0,prac,1,m,30000.0,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),45778.700000047684,O,m,2371,,,4,no,,3891.5,41887.200000047684,practrial4.png,practrial4b.png,7246,PC,B,,,3
4,1,0.0,prac,1,m,30000.0,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),49077.700000047684,O,m,1764,,,6,no,,3295.100000023842,45782.60000002384,practrial6.png,practrial6b.png,7246,PC,B,,,4
4,1,0.0,prac,0,z,30000.0,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),53309.60000002384,O,m,2705,,,3,yes,,4226.899999976158,49082.700000047684,practrial3.png,practrial3.png,7246,PC,B,,,5
5,1,0.0,prac,1,m,30000.0,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),56925.90000003576,O,m,2091,,,2,no,,3613.600000023842,53312.30000001192,practrial2.png,practrial2b.png,7246,PC,B,,,6
1,1,2.2850000858306885,test,1,z,27714.99991416931,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),66357.30000001192,O,z,2280,2280,,1,yes,,2282.5,64074.80000001192,test1trial1.png,test1trial1.png,7246,PC,B,61303,,1
2,1,4.848999977111816,test,1,m,25151.000022888184,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),68921.40000003576,O,m,2545,2545,,2,no,,2559.800000011921,66361.60000002384,test1trial2.png,test1trial2b.png,7246,PC,B,63590,,2
3,1,7.180999994277954,test,1,z,22819.000005722046,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),71253.80000001192,O,z,2318,2318,,3,yes,,2330.199999988079,68923.60000002384,test1trial3.png,test1trial3.png,7246,PC,B,66152,,3
4,1,9.047000169754028,test,1,m,20952.99983024597,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),73119.40000003576,O,m,1857,1857,,4,no,,1861.699999988079,71257.70000004768,test1trial4.png,test1trial4b.png,7246,PC,B,68485,,4
4,1,10.797000169754028,test,0,z,19202.99983024597,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),74869.60000002384,O,m,1746,1746,,5,yes,,1747.0,73122.60000002384,test1trial5.png,test1trial5.png,7246,PC,B,70350,,5
5,1,12.731000185012817,test,1,m,17268.999814987183,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),76803.30000001192,O,m,1924,1924,,6,no,,1931.8999999761581,74871.40000003576,test1trial6.png,test1trial6b.png,7246,PC,B,72099,,6
6,1,14.26200008392334,test,1,z,15737.99991607666,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),78335.10000002384,O,z,1517,1517,,7,yes,,1529.8999999761581,76805.20000004768,test1trial7.png,test1trial7.png,7246,PC,B,74033,,7
6,1,16.66100001335144,test,0,m,13338.99998664856,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),80734.0,O,z,2385,2385,,8,no,,2396.0,78338.0,test1trial8.png,test1trial8b.png,7246,PC,B,75566,,8
7,1,18.86400008201599,test,1,z,11135.999917984009,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),82936.5,O,z,2195,2195,,9,yes,,2198.7999999523163,80737.70000004768,test1trial9.png,test1trial9.png,7246,PC,B,77966,,9
8,1,20.460000038146973,test,1,m,9539.999961853027,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),84532.60000002384,O,m,1582,1582,,10,no,,1592.699999988079,82939.90000003576,test1trial10.png,test1trial10b.png,7246,PC,B,80168,,10
9,1,21.978000164031982,test,1,z,8021.999835968018,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),86051.30000001192,O,z,1509,1509,,11,yes,,1516.199999988079,84535.10000002384,test1trial11.png,test1trial11.png,7246,PC,B,81763,,11
10,1,25.14400005340576,test,1,m,4855.999946594238,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),89216.70000004768,O,m,3158,3158,,12,no,,3163.0,86053.70000004768,test1trial12.png,test1trial12b.png,7246,PC,B,83281,,12
11,1,28.026000022888184,test,1,m,1973.9999771118164,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),92098.90000003576,O,m,2871,2871,,13,no,,2879.300000011921,89219.60000002384,test1trial13.png,test1trial13b.png,7246,PC,B,86448,,13
11,1,30.009000062942505,test,0,m,-9.000062942504883,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),94081.20000004768,O,None,1978,1978,,14,no,,1979.2000000476837,92102.0,test1trial14.png,test1trial14b.png,7246,PC,B,89330,,14
1,2,2.249000072479248,test,1,m,27750.999927520752,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),100229.20000004768,O,m,2236,,2236.0,1,no,,8127.200000047684,92102.0,test2trial1.png,test2trial1b.png,7246,PC,B,,95211.0,1
2,2,3.8970000743865967,test,1,m,26102.999925613403,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),101877.40000003576,O,m,1636,,1636.0,2,no,,9775.400000035763,92102.0,test2trial2.png,test2trial2b.png,7246,PC,B,,97459.0,2
3,2,5.614000082015991,test,1,z,24385.99991798401,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),103594.5,O,z,1698,,1698.0,3,yes,,11492.5,92102.0,test2trial3.png,test2trial3.png,7246,PC,B,,99108.0,3
4,2,7.313000202178955,test,1,z,22686.999797821045,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),105293.90000003576,O,z,1694,,1694.0,4,yes,,13191.900000035763,92102.0,test2trial4.png,test2trial4.png,7246,PC,B,,100826.0,4
5,2,9.546000003814697,test,1,z,20453.999996185303,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),107526.70000004768,O,z,2218,,2218.0,5,yes,,15424.700000047684,92102.0,test2trial5.png,test2trial5.png,7246,PC,B,,102525.0,5
6,2,11.478000164031982,test,1,z,18521.999835968018,Thu Nov 20 2025 18:35:47 GMT-0600 (Central Standard Time),109458.5,O,z,1913,,1913.0,6,yes,,17356.5,92102.0,test2trial6.png,test2trial6.png,7246,PC,B,,104757.0,6
