acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),,124_o_f_d_a.png,O,space,2619,1,,,,7713,VNB,A,0
0,prac,1,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),145068.19999998808,071_y_f_n_a.png,O,z,1972,2,,2772.300000011921,142295.89999997616,7713,VNB,A,1
0,prac,1,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),147733.79999998212,165_m_m_h_a.png,O,z,1854,3,,2655.699999988079,145078.09999999404,7713,VNB,A,2
1,prac,1,0.0,1-Back,1.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),150382.89999997616,109_y_m_d_a.png,O,m,1839,4,,2639.199999988079,147743.69999998808,7713,VNB,A,3
1,prac,1,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),153015.5,124_o_f_n_a.png,O,z,1793,5,,2623.2000000178814,150392.29999998212,7713,VNB,A,4
1,prac,1,1.0,1-Back,0.0,z,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),155831.39999997616,109_y_m_n_a.png,O,None,2009,6,,2806.0,153025.39999997616,7713,VNB,A,5
2,prac,1,0.0,1-Back,1.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),158263.89999997616,039_o_m_h_a.png,O,m,1630,7,,2422.2999999821186,155841.59999999404,7713,VNB,A,6
2,prac,1,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),160029.89999997616,139_m_f_d_a.png,O,z,948,8,,1756.3999999761581,158273.5,7713,VNB,A,7
3,prac,1,1.0,1-Back,1.0,z,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),162295.89999997616,071_y_f_d_a.png,O,z,1464,9,,2256.5,160039.39999997616,7713,VNB,A,8
3,prac,1,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),165036.29999998212,165_m_m_n_a.png,O,z,1803,10,,2730.0999999940395,162306.19999998808,7713,VNB,A,9
4,prac,1,0.0,1-Back,1.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),167561.0,124_o_f_h_a.png,O,m,1686,11,,2511.4000000059605,165049.59999999404,7713,VNB,A,10
4,prac,1,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),169277.39999997616,109_y_m_d_a.png,O,z,924,12,,1706.3999999761581,167571.0,7713,VNB,A,11
0,prac,2,0.0,1-Back,,,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),169277.39999997616,124_o_f_d_a.png,O,a,3694,1,,1706.3999999761581,167571.0,7713,VNB,A,0
0,prac,2,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),178823.89999997616,071_y_f_n_a.png,O,None,2010,2,,2805.0,176018.89999997616,7713,VNB,A,1
0,prac,2,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),181639.69999998808,165_m_m_h_a.png,O,None,2014,3,,2805.199999988079,178834.5,7713,VNB,A,2
0,prac,2,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),183739.29999998212,109_y_m_d_a.png,O,z,1317,4,,2089.0,181650.29999998212,7713,VNB,A,3
1,prac,2,0.0,1-Back,1.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),186421.5,124_o_f_n_a.png,O,m,1835,5,,2672.4000000059605,183749.09999999404,7713,VNB,A,4
2,prac,2,1.0,1-Back,1.0,z,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),188689.39999997616,109_y_m_n_a.png,O,z,1450,6,,2257.899999976158,186431.5,7713,VNB,A,5
3,prac,2,0.0,1-Back,1.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),190770.39999997616,039_o_m_h_a.png,O,m,1264,7,,2067.199999988079,188703.19999998808,7713,VNB,A,6
3,prac,2,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),192802.89999997616,139_m_f_d_a.png,O,z,1225,8,,2022.7999999821186,190780.09999999404,7713,VNB,A,7
4,prac,2,1.0,1-Back,1.0,z,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),195135.69999998808,071_y_f_d_a.png,O,z,1522,9,,2323.199999988079,192812.5,7713,VNB,A,8
5,prac,2,0.0,1-Back,1.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),197401.59999999404,165_m_m_n_a.png,O,m,1454,10,,2256.800000011921,195144.79999998212,7713,VNB,A,9
6,prac,2,0.0,1-Back,1.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),199817.09999999404,124_o_f_h_a.png,O,m,1584,11,,2404.300000011921,197412.79999998212,7713,VNB,A,10
6,prac,2,0.0,1-Back,0.0,m,Tue Dec 02 2025 15:02:14 GMT-0600 (Central Standard Time),201400.5,109_y_m_d_a.png,O,z,820,12,,1573.6000000238419,199826.89999997616,7713,VNB,A,11
