Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,224,148,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),,box1,yes,O,1,,,,7717,DSST,B,,,,0,160,113
+,1,1,0.0,9,prac,yes,1,9,120000.0,252,147,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),59707.5,box9,yes,O,1,,6992.300000011921,52715.19999998808,7717,DSST,B,,,,1,160,113
O,2,1,0.0,6,prac,yes,1,6,120000.0,283,149,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),69071.0,box6,yes,O,1,,8588.800000011921,60482.19999998808,7717,DSST,B,,,,2,160,113
-,3,1,0.0,1,prac,yes,1,1,120000.0,273,153,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),72952.59999996424,box1,yes,O,1,,3106.199999988079,69846.39999997616,7717,DSST,B,,,,3,160,113
L,4,1,0.0,4,prac,yes,1,4,120000.0,215,156,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),77351.0,box4,yes,O,1,,3624.800000011921,73726.19999998808,7717,DSST,B,,,,4,160,113
^,5,1,0.0,7,prac,yes,1,7,120000.0,227,146,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),82432.19999998808,box7,yes,O,1,,4309.199999988079,78123.0,7717,DSST,B,,,,5,160,113
X,6,1,0.0,8,prac,yes,1,8,120000.0,210,153,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),86664.19999998808,box8,yes,O,1,,3455.300000011921,83208.89999997616,7717,DSST,B,,,,6,160,113
T,7,1,0.0,2,prac,yes,1,2,120000.0,214,153,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),90996.19999998808,box2,yes,O,1,,3556.300000011921,87439.89999997616,7717,DSST,B,,,,7,160,113
),8,1,0.0,3,prac,yes,1,3,120000.0,219,147,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),94879.09999996424,box3,yes,O,1,,3108.2999999523163,91770.80000001192,7717,DSST,B,,,,8,160,113
U,9,1,0.0,5,prac,yes,1,5,120000.0,197,144,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),101726.59999996424,box5,yes,O,1,,6073.299999952316,95653.30000001192,7717,DSST,B,,,,9,160,113
T,1,1,4.230000019073486,2,test,yes,1,2,115769.99998092651,202,131,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),118119.59999996424,box2,yes,O,1,,4209.0,113910.59999996424,7717,DSST,B,114392.0,115953.0,111745.0,1,160,113
-,2,1,7.86899995803833,1,test,yes,1,1,112131.00004196167,234,150,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),121769.0,box1,yes,O,1,,3627.199999988079,118141.80000001192,7717,DSST,B,117764.0,119603.0,115976.0,2,160,113
),3,1,12.269000053405762,3,test,yes,1,3,107730.99994659424,198,154,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),126168.39999997616,box3,yes,O,1,,4386.5,121781.89999997616,7717,DSST,B,122943.0,124002.0,119616.0,3,160,113
^,4,1,15.799999952316284,7,test,yes,1,7,104200.00004768372,233,155,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),129701.5,box7,yes,O,1,,3522.699999988079,126178.80000001192,7717,DSST,B,126340.0,127535.0,124013.0,4,160,113
T,5,1,19.325999975204468,2,test,yes,1,2,100674.00002479553,229,149,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),133227.30000001192,box2,yes,O,1,,3515.400000035763,129711.89999997616,7717,DSST,B,130041.0,131061.0,127546.0,5,160,113
L,6,1,23.032000064849854,4,test,yes,1,4,96967.99993515015,234,144,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),136932.19999998808,box4,yes,O,1,,3695.600000023842,133236.59999996424,7717,DSST,B,133439.0,134766.0,131071.0,6,160,113
X,7,1,26.069999933242798,8,test,yes,1,8,93930.0000667572,212,140,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),139968.39999997616,box8,yes,O,1,,3024.699999988079,136943.69999998808,7717,DSST,B,136773.0,137802.0,134778.0,7,160,113
T,8,1,29.144999980926514,2,test,yes,1,2,90855.00001907349,187,141,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),143046.59999996424,box2,yes,O,1,,3063.399999976158,139983.19999998808,7717,DSST,B,139788.0,140881.0,137817.0,8,160,113
-,9,1,31.795000076293945,1,test,yes,1,1,88204.99992370605,213,137,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),145695.09999996424,box1,yes,O,1,,2639.599999964237,143055.5,7717,DSST,B,142523.0,143529.0,140890.0,9,160,113
),10,1,35.498000144958496,3,test,yes,1,3,84501.9998550415,179,156,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),149397.59999996424,box3,yes,O,1,,3692.7999999523163,145704.80000001192,7717,DSST,B,145902.0,147231.0,143539.0,10,160,113
T,11,1,38.24399995803833,2,test,yes,1,2,81756.00004196167,178,134,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),152144.80000001192,box2,yes,O,1,,2735.800000011921,149409.0,7717,DSST,B,149002.0,149979.0,147243.0,11,160,113
-,12,1,40.776999950408936,1,test,yes,1,1,79223.00004959106,279,139,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),154678.19999998808,box1,yes,O,1,,2523.600000023842,152154.59999996424,7717,DSST,B,151501.0,152512.0,149989.0,12,160,113
L,13,1,44.307000160217285,4,test,yes,1,4,75692.99983978271,204,144,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),158209.0,box4,yes,O,1,,3521.100000023842,154687.89999997616,7717,DSST,B,154765.0,156043.0,152522.0,13,160,113
T,14,1,46.60599994659424,2,test,yes,1,2,73394.00005340576,200,130,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),160508.09999996424,box2,yes,O,1,,2290.899999976158,158217.19999998808,7717,DSST,B,157466.0,158342.0,156051.0,14,160,113
),15,1,49.10599994659424,3,test,yes,1,3,70894.00005340576,204,144,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),163006.39999997616,box3,yes,O,1,,2489.399999976158,160517.0,7717,DSST,B,159898.0,160840.0,158351.0,15,160,113
U,16,1,51.98900008201599,5,test,yes,1,5,68010.99991798401,187,147,Thu Dec 11 2025 17:23:40 GMT-0600 (Central Standard Time),165889.19999998808,box5,yes,O,1,,2873.0,163016.19999998808,7717,DSST,B,162715.0,163723.0,160850.0,16,160,113
