acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),32001.80000001192,O,m,1819,,,1,no,,3344.800000011921,28657.0,RNV,FNV,7717,LC,B,,,1
2,1,0.0,prac,1,z,30000.0,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),36550.5,O,z,3015,,,6,yes,,4536.300000011921,32014.19999998808,CSDBFPHXZ,CSDBFPHXZ,7717,LC,B,,,2
3,1,0.0,prac,1,z,30000.0,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),39266.10000002384,O,z,1186,,,4,yes,,2711.199999988079,36554.90000003576,RSM,RSM,7717,LC,B,,,3
4,1,0.0,prac,1,m,30000.0,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),42931.5,O,m,2130,,,5,no,,3657.099999964237,39274.40000003576,LNDPRSKQB,LNDPRSJQB,7717,LC,B,,,4
5,1,0.0,prac,1,z,30000.0,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),47713.60000002384,O,z,3249,,,2,yes,,4774.300000011921,42939.30000001192,NBGFSM,NBGFSM,7717,LC,B,,,5
6,1,0.0,prac,1,m,30000.0,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),52412.0,O,m,3170,,,3,no,,4689.599999964237,47722.40000003576,QHZXPC,QHZWPC,7717,LC,B,,,6
1,1,1.7319998741149902,test,1,m,28268.00012588501,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),60026.40000003576,O,m,1710,1710,,1,no,,1725.0,58301.40000003576,HCF,RCF,7717,LC,B,56328,,1
2,1,3.863999843597412,test,1,m,26136.000156402588,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),62158.60000002384,O,m,2119,2119,,2,no,,2129.400000035763,60029.19999998808,QTPRJX,QTPNJX,7717,LC,B,58056,,2
2,1,8.113999843597412,test,0,m,21886.000156402588,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),66408.19999998808,O,z,4235,4235,,3,no,,4247.0,62161.19999998808,MZDYGVGKQ,MZDYGLBKQ,7717,LC,B,60188,,3
3,1,9.646999835968018,test,1,m,20353.000164031982,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),67941.40000003576,O,m,1512,1512,,4,no,,1529.1000000238419,66412.30000001192,FQTNMK,JQTNMK,7717,LC,B,64439,,4
4,1,11.01199984550476,test,1,z,18988.00015449524,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),69306.60000002384,O,z,1345,1345,,5,yes,,1358.6000000238419,67948.0,CLJ,CLJ,7717,LC,B,65975,,5
5,1,14.611999988555908,test,1,m,15388.000011444092,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),72906.10000002384,O,m,3577,3577,,6,no,,3591.199999988079,69314.90000003576,JGDMNSVPW,JGZMNSVPW,7717,LC,B,67342,,6
6,1,18.042999982833862,test,1,z,11957.000017166138,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),76337.69999998808,O,z,3422,3422,,7,yes,,3426.899999976158,72910.80000001192,FPTVHKCBJ,FPTVHKCBJ,7717,LC,B,70937,,7
7,1,19.842999935150146,test,1,m,10157.000064849854,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),78136.80000001192,O,m,1790,1790,,8,no,,1794.5,76342.30000001192,XRPZBS,ZRPBDH,7717,LC,B,74369,,8
8,1,21.14299988746643,test,1,m,8857.00011253357,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),79437.19999998808,O,m,1288,1288,,9,no,,1296.3999999761581,78140.80000001192,ZSQ,ZSP,7717,LC,B,76167,,9
9,1,22.85800004005432,test,1,z,7141.999959945679,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),81152.30000001192,O,z,1710,1710,,10,yes,,1712.6000000238419,79439.69999998808,MPZRXL,MPZRXL,7717,LC,B,77466,,10
10,1,24.342000007629395,test,1,m,5657.9999923706055,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),82636.60000002384,O,m,1473,1473,,11,no,,1480.5,81156.10000002384,KJH,KRH,7717,LC,B,79183,,11
11,1,28.85699987411499,test,1,z,1143.0001258850098,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),87150.90000003576,O,z,4500,4500,,12,yes,,4510.300000011921,82640.60000002384,SMNHVTFCB,SMNHVTFCB,7717,LC,B,80667,,12
11,1,30.00600004196167,test,0,z,-6.000041961669922,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),88300.30000001192,O,None,1145,1145,,13,yes,,1146.199999988079,87154.10000002384,KJWTQF,KJWTQF,7717,LC,B,85181,,13
1,2,5.414999961853027,test,1,z,24585.000038146973,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),99913.80000001192,O,z,5408,,5408.0,1,yes,,12759.699999988079,87154.10000002384,PRDBZTYFN,PRDBZTYFN,7717,LC,B,,92528.0,1
2,2,7.730999946594238,test,1,m,22269.00005340576,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),102230.0,O,m,2304,,2304.0,2,no,,15075.899999976158,87154.10000002384,NCWJDZ,NCMJDZ,7717,LC,B,,97943.0,2
3,2,9.513000011444092,test,1,m,20486.99998855591,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),104012.19999998808,O,m,1763,,1763.0,3,no,,16858.099999964237,87154.10000002384,KHW,KBW,7717,LC,B,,100259.0,3
4,2,12.245000123977661,test,1,m,17754.99987602234,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),106744.40000003576,O,m,2718,,2718.0,4,no,,19590.30000001192,87154.10000002384,ZRBGMF,ZRBCMF,7717,LC,B,,102041.0,4
5,2,13.898000001907349,test,1,m,16101.999998092651,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),108397.80000001192,O,m,1633,,1633.0,5,no,,21243.69999998808,87154.10000002384,BTH,BYH,7717,LC,B,,104774.0,5
6,2,17.960000038146973,test,1,z,12039.999961853027,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),112459.10000002384,O,z,4043,,4043.0,6,yes,,25305.0,87154.10000002384,XWKQRYCNZ,XWKQRYCNZ,7717,LC,B,,106428.0,6
7,2,20.694000005722046,test,1,z,9305.999994277954,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),115193.10000002384,O,z,2718,,2718.0,7,yes,,28039.0,87154.10000002384,HNPDLK,HNPDLK,7717,LC,B,,110490.0,7
8,2,24.825000047683716,test,1,m,5174.999952316284,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),119324.5,O,m,4122,,4122.0,8,no,,32170.399999976158,87154.10000002384,WMQTRSGLZ,WMQTRZGLZ,7717,LC,B,,113222.0,8
9,2,25.95799994468689,test,1,z,4042.0000553131104,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),120457.69999998808,O,z,1115,,1115.0,9,yes,,33303.59999996424,87154.10000002384,JPN,JPN,7717,LC,B,,117356.0,9
10,2,28.52300000190735,test,1,m,1476.9999980926514,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),123022.90000003576,O,m,2561,,2561.0,10,no,,35868.80000001192,87154.10000002384,QLXSVT,QLNSVT,7717,LC,B,,118488.0,10
10,2,30.006999969482422,test,0,z,-6.999969482421875,Thu Dec 11 2025 17:19:58 GMT-0600 (Central Standard Time),124506.30000001192,O,None,1480,,1480.0,11,yes,,37352.19999998808,87154.10000002384,YXHKZVFPB,YXHKZVFPD,7717,LC,B,,121052.0,11
