block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,,,O,space,893,1,,,7735,WL,A,
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,b,O,b,8196,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,bp,O,p,336,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,bpp,O,p,123,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,bpps,O,s,256,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,bppst,O,t,227,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,bpps,O,backspace,1741,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,bpp,O,backspace,169,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,bp,O,backspace,490,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,b,O,backspace,422,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,bo,O,o,1015,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,boo,O,o,123,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,boos,O,s,261,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,boost,O,t,226,1,,,7735,WL,A,1.0
prac,,0,,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),,NA,boostenter,O,enter,2417,1,,,7735,WL,A,1.0
1,2.4499998092651367,learn,57550.00019073486,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),196925.79999999702,A,b,O,b,2432,1,2450.2000000029802,194475.59999999404,7735,WL,A,1.0
1,3.133999824523926,learn,56866.000175476074,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),197609.29999999702,A,bo,O,o,658,1,3133.7000000029802,194475.59999999404,7735,WL,A,1.0
1,3.2819998264312744,learn,56718.000173568726,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),197757.70000000298,A,boo,O,o,136,1,3282.1000000089407,194475.59999999404,7735,WL,A,1.0
1,3.5989999771118164,learn,56401.00002288818,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),198074.5,A,book,O,k,309,1,3598.9000000059605,194475.59999999404,7735,WL,A,1.0
1,4.4659998416900635,learn,55534.00015830994,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),198941.09999999404,A,bookenter,O,enter,854,1,4465.5,194475.59999999404,7735,WL,A,1.0
1,5.132999897003174,learn,54867.000102996826,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),199608.20000000298,A,f,O,f,644,1,666.7000000029802,198941.5,7735,WL,A,2.0
1,5.483999967575073,learn,54516.00003242493,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),199959.0,A,fl,O,l,338,1,1017.5,198941.5,7735,WL,A,2.0
1,5.75,learn,54250.0,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),200225.0,A,flo,O,o,252,1,1283.5,198941.5,7735,WL,A,2.0
1,5.915999889373779,learn,54084.00011062622,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),200391.29999999702,A,flow,O,w,153,1,1449.7999999970198,198941.5,7735,WL,A,2.0
1,6.348999977111816,learn,53651.00002288818,Wed Mar 04 2026 15:45:08 GMT-0600 (Central Standard Time),200824.29999999702,A,flowe,O,e,410,1,1882.7999999970198,198941.5,7735,WL,A,2.0
