block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),,,,O,space,458,,,,7760,WL,A,
prac,,0,,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),,NA,b,O,b,2392,,,,7760,WL,A,1.0
prac,,0,,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),,NA,bo,O,o,379,,,,7760,WL,A,1.0
prac,,0,,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),,NA,boo,O,o,173,,,,7760,WL,A,1.0
prac,,0,,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),,NA,boos,O,s,421,,,,7760,WL,A,1.0
prac,,0,,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),,NA,boost,O,t,403,,,,7760,WL,A,1.0
prac,,0,,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),,NA,boostenter,O,enter,1887,,,,7760,WL,A,1.0
1,1.8630001544952393,learn,58136.99984550476,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),114953.60000002384,A,r,O,r,1855,,1862.7000000178814,113090.90000000596,7760,WL,A,1.0
1,2.065000057220459,learn,57934.99994277954,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),115155.10000002384,A,ru,O,u,190,,2064.2000000178814,113090.90000000596,7760,WL,A,1.0
1,2.447000026702881,learn,57552.99997329712,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),115537.20000001788,A,rug,O,g,378,,2446.300000011921,113090.90000000596,7760,WL,A,1.0
1,3.6780002117156982,learn,56321.9997882843,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),116768.30000001192,A,rugenter,O,enter,1218,,3677.4000000059605,113090.90000000596,7760,WL,A,1.0
1,5.629000186920166,learn,54370.999813079834,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),118719.40000000596,A,t,O,t,1928,,1950.7999999821186,116768.60000002384,7760,WL,A,2.0
1,5.928000211715698,learn,54071.9997882843,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),119018.90000000596,A,tr,O,r,286,,2250.2999999821186,116768.60000002384,7760,WL,A,2.0
1,6.630000114440918,learn,53369.99988555908,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),119720.0,A,tra,O,a,677,,2951.399999976158,116768.60000002384,7760,WL,A,2.0
1,7.078000068664551,learn,52921.99993133545,Mon Feb 23 2026 12:09:08 GMT-0600 (Central Standard Time),120169.0,A,trai,O,i,431,,3400.399999976158,116768.60000002384,7760,WL,A,2.0
