acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),,093_m_f_n_a.png,O,space,7071,1,,,,7766,NNB,C,0
1,prac,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),134699.20000000112,098_y_f_n_a.png,O,m,717,2,,1553.5,133145.70000000112,7766,NNB,C,1
1,prac,1,1.0,1-Back,0.0,z,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),137478.5,098_y_f_n_a.png,O,None,2002,3,,2768.7999999988824,134709.70000000112,7766,NNB,C,2
1,prac,1,0.0,1-Back,0.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),139897.5,059_o_m_n_a.png,O,z,1551,4,,2409.5,137488.0,7766,NNB,C,3
2,prac,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),141896.09999999963,092_m_m_n_a.png,O,m,1165,5,,1994.699999999255,139901.40000000037,7766,NNB,C,4
2,prac,1,1.0,1-Back,0.0,z,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),143309.90000000037,092_m_m_n_a.png,O,m,631,6,,1404.0999999996275,141905.80000000075,7766,NNB,C,5
2,prac,1,0.0,1-Back,0.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),145977.0,130_o_f_n_a.png,O,z,1792,7,,2655.9000000003725,143321.09999999963,7766,NNB,C,6
3,prac,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),148192.90000000037,082_m_m_n_a.png,O,m,1361,8,,2206.800000000745,145986.09999999963,7766,NNB,C,7
4,prac,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),150025.80000000075,093_m_f_n_a.png,O,m,1051,9,,1820.5999999996275,148205.20000000112,7766,NNB,C,8
5,prac,1,1.0,1-Back,1.0,z,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),151694.40000000037,093_m_f_n_a.png,O,z,902,10,,1659.699999999255,150034.70000000112,7766,NNB,C,9
6,prac,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),153875.20000000112,059_o_m_n_a.png,O,m,1410,11,,2173.0,151702.20000000112,7766,NNB,C,10
7,prac,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),156024.0,028_y_f_n_a.png,O,m,1298,12,,2142.0999999996275,153881.90000000037,7766,NNB,C,11
0,prac,2,0.0,1-Back,,,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),156024.0,093_m_f_n_a.png,O,a,6418,1,,2142.0999999996275,153881.90000000037,7766,NNB,C,0
0,prac,2,0.0,1-Back,0.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),167923.80000000075,098_y_f_n_a.png,O,z,1599,2,,2433.0,165490.80000000075,7766,NNB,C,1
1,prac,2,1.0,1-Back,1.0,z,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),170001.70000000112,098_y_f_n_a.png,O,z,1294,3,,2071.0,167930.70000000112,7766,NNB,C,2
2,prac,2,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),171984.30000000075,059_o_m_n_a.png,O,m,1204,4,,1972.0,170012.30000000075,7766,NNB,C,3
3,prac,2,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),174484.0,092_m_m_n_a.png,O,m,1640,5,,2489.5,171994.5,7766,NNB,C,4
3,prac,2,1.0,1-Back,0.0,z,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),175865.70000000112,092_m_m_n_a.png,O,m,597,6,,1373.2000000011176,174492.5,7766,NNB,C,5
3,prac,2,0.0,1-Back,0.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),178616.90000000037,130_o_f_n_a.png,O,z,1879,7,,2737.0,175879.90000000037,7766,NNB,C,6
3,prac,2,0.0,1-Back,0.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),181465.80000000075,082_m_m_n_a.png,O,None,2001,8,,2838.0999999996275,178627.70000000112,7766,NNB,C,7
3,prac,2,0.0,1-Back,0.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),184248.59999999963,093_m_f_n_a.png,O,None,2006,9,,2772.89999999851,181475.70000000112,7766,NNB,C,8
3,prac,2,1.0,1-Back,0.0,z,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),187028.5,093_m_f_n_a.png,O,None,2005,10,,2771.0999999996275,184257.40000000037,7766,NNB,C,9
3,prac,2,0.0,1-Back,0.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),189812.80000000075,059_o_m_n_a.png,O,None,2010,11,,2777.0999999996275,187035.70000000112,7766,NNB,C,10
3,prac,2,0.0,1-Back,0.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),192661.40000000037,028_y_f_n_a.png,O,None,2005,12,,2839.800000000745,189821.59999999963,7766,NNB,C,11
0,test,1,0.0,1-Back,,,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),192661.40000000037,098_y_f_n_a.png,O,space,21197,1,,2839.800000000745,189821.59999999963,7766,NNB,C,0
1,test,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),249194.20000000112,006_m_f_n_a.png,O,m,648,2,,1665.5,247528.70000000112,7766,NNB,C,1
2,test,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),251143.0,028_y_f_n_a.png,O,m,916,3,,1939.0,249204.0,7766,NNB,C,2
3,test,1,1.0,1-Back,1.0,z,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),252892.30000000075,028_y_f_n_a.png,O,z,722,4,,1742.2000000011176,251150.09999999963,7766,NNB,C,3
4,test,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),254892.0,006_m_f_n_a.png,O,m,972,5,,1991.0999999996275,252900.90000000037,7766,NNB,C,4
5,test,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),256825.09999999963,059_o_m_n_a.png,O,m,910,6,,1926.5,254898.59999999963,7766,NNB,C,5
6,test,1,1.0,1-Back,1.0,z,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),258539.90000000037,059_o_m_n_a.png,O,z,696,7,,1708.4000000003725,256831.5,7766,NNB,C,6
7,test,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),260423.80000000075,092_m_m_n_a.png,O,m,860,8,,1877.0,258546.80000000075,7766,NNB,C,7
8,test,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),262260.5999999996,130_o_f_n_a.png,O,m,799,9,,1831.5,260429.09999999963,7766,NNB,C,8
9,test,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),264170.9000000004,092_m_m_n_a.png,O,m,889,10,,1907.0,262263.9000000004,7766,NNB,C,9
10,test,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),266071.30000000075,057_y_m_n_a.png,O,m,868,11,,1892.7000000011176,264178.5999999996,7766,NNB,C,10
11,test,1,1.0,1-Back,1.0,z,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),267770.0,057_y_m_n_a.png,O,z,681,12,,1693.7999999988824,266076.2000000011,7766,NNB,C,11
12,test,1,0.0,1-Back,1.0,m,Tue Mar 03 2026 15:53:27 GMT-0600 (Central Standard Time),269853.4000000004,030_o_f_n_a.png,O,m,1054,13,,2076.800000000745,267776.5999999996,7766,NNB,C,12
