acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
0,1,0.0,prac,0,m,30000.0,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),35309.90000000037,O,z,3111,,,3,no,1,4643.4000000003725,30666.5,QHZXPC,QHZWPC,7776,LC,B,,,1
1,1,0.0,prac,1,z,30000.0,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),41373.90000000037,O,z,4533,,,6,yes,1,6057.300000000745,35316.59999999963,CSDBFPHXZ,CSDBFPHXZ,7776,LC,B,,,2
2,1,0.0,prac,1,m,30000.0,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),44356.699999999255,O,m,1455,,,1,no,1,2976.89999999851,41379.800000000745,RNV,FNV,7776,LC,B,,,3
3,1,0.0,prac,1,z,30000.0,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),48405.5,O,z,2520,,,2,yes,1,4042.800000000745,44362.699999999255,NBGFSM,NBGFSM,7776,LC,B,,,4
4,1,0.0,prac,1,m,30000.0,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),53835.90000000037,O,m,3902,,,5,no,1,5424.700000001118,48411.199999999255,LNDPRSKQB,LNDPRSJQB,7776,LC,B,,,5
5,1,0.0,prac,1,z,30000.0,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),56450.800000000745,O,z,1090,,,4,yes,1,2611.4000000003725,53839.40000000037,RSM,RSM,7776,LC,B,,,6
1,1,2.4660000801086426,test,1,m,27533.999919891357,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),61717.699999999255,O,m,2445,2445,,1,no,1,2463.39999999851,59254.300000000745,HCF,RCF,7776,LC,B,57500,,1
2,1,6.430999994277954,test,1,m,23569.000005722046,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),65683.40000000037,O,m,3944,3944,,2,no,1,3960.9000000003725,61722.5,QTPRJX,QTPNJX,7776,LC,B,59968,,2
3,1,9.264000177383423,test,1,m,20735.999822616577,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),68515.80000000075,O,m,2827,2827,,3,no,1,2828.4000000003725,65687.40000000037,MZDYGVGKQ,MZDYGLBKQ,7776,LC,B,63933,,3
4,1,10.529000043869019,test,1,m,19470.99995613098,Tue Mar 10 2026 15:21:18 GMT-0500 (Central Daylight Time),69781.19999999925,O,m,1248,1248,,4,no,1,1260.0999999996275,68521.09999999963,FQTNMK,JQTNMK,7776,LC,B,66767,,4
