acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,-192,59704.09999990463,CFD-BM-204-003-N.jpg,Sam,64,O,None,3017,,3017,,,1,1,4027.399999976158,-416,-256,55676.699999928474,7806,FN,A,,51821,,,1,192,-320,-224
1,prac,1,1,,314.0,-1.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,32,64067.699999928474,CFD-WM-012-001-N.jpg,John,64,O,1,1314,,1314,,,2,1,2330.100000023842,224,-32,61737.59999990463,7806,FN,A,,57885,,,2,192,320,0
2,prac,1,1,,-327.0,218.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,256,66018.39999997616,CFD-LF-249-132-N.jpg,Tina,64,O,1,924,,924,,,3,1,1949.3000000715256,-416,192,64069.09999990463,7806,FN,A,,60219,,,3,192,-320,224
3,prac,1,1,,308.0,-231.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,-192,68584.09999990463,CFD-BM-204-003-N.jpg,Sam,64,O,1,1542,,1542,,,4,1,2563.899999976158,224,-256,66020.19999992847,7806,FN,A,,62169,,,4,192,320,-224
4,prac,1,1,,-283.0,-9.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,32,70765.19999992847,CFD-WM-012-001-N.jpg,John,64,O,1,1161,,1161,,,5,1,2179.6999999284744,-416,-32,68585.5,7806,FN,A,,64734,,,5,192,-320,0
5,prac,1,1,,314.0,203.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,256,73365.0,CFD-LF-249-132-N.jpg,Tina,64,O,1,1578,,1578,,,6,1,2598.600000023842,224,192,70766.39999997616,7806,FN,A,,66917,,,6,192,320,224
1,prac,1,1,m,314.0,203.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,256,101689.5,CFD-WM-012-001-N.jpg,Sam,64,O,m,2391,,,2391,,1,1,4171.0,224,192,97518.5,7806,FN,A,,,93657,,1,192,320,224
2,prac,1,1,z,314.0,203.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,256,104826.0,CFD-LF-249-132-N.jpg,Tina,64,O,z,1343,,,1343,,3,1,3132.600000023842,224,192,101693.39999997616,7806,FN,A,,,97840,,2,192,320,224
3,prac,1,1,m,314.0,203.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,256,108504.79999995232,CFD-BM-204-003-N.jpg,John,64,O,m,1900,,,1900,,2,1,3675.399999976158,224,192,104829.39999997616,7806,FN,A,,,100972,,3,192,320,224
1,learn,1,1,,320.0,-2.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,32,130530.5,CFD-WM-205-007-N.jpg,Paul,64,O,1,1668,1668,,,,17,1,2692.7000000476837,224,-32,127837.79999995232,7806,FN,A,123981,,,,1,192,320,0
2,learn,1,1,,320.0,-2.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,32,132663.09999990463,CFD-LF-255-088-N.jpg,Helen,64,O,1,1110,1110,,,,47,1,2131.0,224,-32,130532.09999990463,7806,FN,A,126681,,,,2,192,320,0
3,learn,1,1,,341.0,-207.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,-192,135279.59999990463,CFD-BM-202-063-N.jpg,George,64,O,1,1594,1594,,,,4,1,2615.0999999046326,224,-256,132664.5,7806,FN,A,128813,,,,3,192,320,-224
4,learn,1,1,,-288.0,-217.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,-192,138010.5,CFD-WM-207-048-N.jpg,Chris,64,O,1,1714,1714,,,,19,1,2729.5,-416,-256,135281.0,7806,FN,A,131429,,,,4,192,-320,-224
5,learn,1,1,,-309.0,-12.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,32,140211.0,CFD-WF-206-147-N.jpg,Rachel,64,O,1,1173,1173,,,,32,1,2199.100000023842,-416,-32,138011.89999997616,7806,FN,A,134162,,,,5,192,-320,0
6,learn,1,1,,-309.0,-4.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,32,142642.79999995232,CFD-LF-226-174-N.jpg,Cindy,64,O,1,1405,1405,,,,44,1,2429.0,-416,-32,140213.79999995232,7806,FN,A,136362,,,,6,192,-320,0
7,learn,1,1,,-344.0,-224.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,-192,145260.09999990463,CFD-BF-221-223-N.jpg,Emily,64,O,1,1591,1591,,,,13,1,2616.0,-416,-256,142644.09999990463,7806,FN,A,138793,,,,7,192,-320,-224
8,learn,1,1,,312.0,-222.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,-192,147891.59999990463,CFD-WF-203-229-N.jpg,Kate,64,O,1,1616,1616,,,,28,1,2629.0999999046326,224,-256,145262.5,7806,FN,A,141409,,,,8,192,320,-224
9,learn,1,1,,-282.0,202.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,256,150324.69999992847,CFD-WM-209-038-N.jpg,Carl,64,O,1,1400,1400,,,,21,1,2431.7999999523163,-416,192,147892.89999997616,7806,FN,A,144042,,,,9,192,-320,224
10,learn,1,1,,-286.0,221.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,256,152673.5,CFD-LF-254-125-N.jpg,Irene,64,O,1,1324,1324,,,,45,1,2346.7000000476837,-416,192,150326.79999995232,7806,FN,A,146475,,,,10,192,-320,224
11,learn,1,1,,316.0,-6.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,32,155006.0,CFD-BF-204-189-N.jpg,Sarah,64,O,1,1311,1311,,,,11,1,2331.3000000715256,224,-32,152674.69999992847,7806,FN,A,148824,,,,11,192,320,0
12,learn,1,1,,384.0,-224.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),416,-192,157139.0,CFD-LM-225-130-N.jpg,Robert,64,O,1,1107,1107,,,,40,1,2131.600000023842,224,-256,155007.39999997616,7806,FN,A,151156,,,,12,192,320,-224
13,learn,1,1,,-300.0,213.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,256,160104.79999995232,CFD-WF-203-229-N.jpg,Kate,64,O,1,1934,1934,,,,27,1,2964.5,-416,192,157140.29999995232,7806,FN,A,153289,,,,13,192,-320,224
14,learn,1,1,,-354.0,-227.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,-192,162419.59999990463,CFD-LM-213-061-N.jpg,Richard,64,O,1,1296,1296,,,,37,1,2313.399999976158,-416,-256,160106.19999992847,7806,FN,A,156255,,,,14,192,-320,-224
15,learn,1,1,,-327.0,1.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,32,164786.59999990463,CFD-WM-207-048-N.jpg,Chris,64,O,1,1335,1335,,,,20,1,2365.6999999284744,-416,-32,162420.89999997616,7806,FN,A,158570,,,,15,192,-320,0
16,learn,1,1,,-346.0,-227.0,Tue May 12 2026 11:03:23 GMT-0500 (Central Daylight Time),-224,-192,167052.09999990463,CFD-WF-200-099-N.jpg,Julie,64,O,1,1246,1246,,,,25,1,2264.1999999284744,-416,-256,164787.89999997616,7806,FN,A,160937,,,,16,192,-320,-224
