task,subject_id,session,condition,accuracy,mean_rt
AF,8039,2,con,90.27777777777779,435.02777777777777
AF,8039,2,inc,95.83333333333334,478.2361111111111
AF,8060,1,con,88.88888888888889,564.4444444444445
AF,8060,1,inc,91.66666666666666,662.2083333333334
AF,8047,2,con,100.0,575.5138888888889
AF,8047,2,inc,98.61111111111111,589.1805555555555
AF,8011,3,con,98.61111111111111,634.4027777777778
AF,8011,3,inc,97.22222222222221,685.4305555555555
AF,8038,2,con,97.22222222222221,525.8333333333334
AF,8038,2,inc,98.61111111111111,592.5277777777778
AF,8046,2,con,88.88888888888889,470.55555555555554
AF,8046,2,inc,91.66666666666666,601.6527777777778
AF,8023,2,con,100.0,628.3194444444445
AF,8023,2,inc,98.61111111111111,698.9166666666666
AF,8037,2,con,98.61111111111111,827.5
AF,8037,2,inc,100.0,799.3472222222222
AF,9009,3,con,98.61111111111111,582.7777777777778
AF,9009,3,inc,98.61111111111111,634.8333333333334
AF,8054,2,con,81.94444444444444,658.875
AF,8054,2,inc,70.83333333333334,672.5833333333334
AF,9024,2,con,77.5,784.7125
AF,9024,2,inc,85.0,784.7875
AF,8051,2,con,80.55555555555556,605.0138888888889
AF,8051,2,inc,86.11111111111111,619.4166666666666
AF,8035,3,con,95.83333333333334,712.6805555555555
AF,8035,3,inc,94.44444444444444,704.4027777777778
AF,8026,3,con,95.83333333333334,469.31944444444446
AF,8026,3,inc,97.22222222222221,539.1944444444445
AF,9023,2,con,94.44444444444444,717.1666666666666
AF,9023,2,inc,90.27777777777779,681.1666666666666
AF,8067,1,con,95.83333333333334,556.5833333333334
AF,8067,1,inc,93.05555555555556,591.5
AF,9031,1,con,98.61111111111111,578.3333333333334
AF,9031,1,inc,95.83333333333334,621.5277777777778
AF,8064,1,con,93.05555555555556,797.1527777777778
AF,8064,1,inc,90.27777777777779,952.2083333333334
AF,8068,1,con,90.27777777777779,742.4861111111111
AF,8068,1,inc,90.27777777777779,795.5833333333334
AF,9015,3,con,94.44444444444444,474.05555555555554
AF,9015,3,inc,95.83333333333334,487.875
AF,8009,2,con,94.44444444444444,538.8055555555555
AF,8009,2,inc,95.83333333333334,569.8472222222222
AF,8018,3,con,98.61111111111111,603.7638888888889
AF,8018,3,inc,93.05555555555556,696.3888888888889
AF,9999,,con,94.44444444444444,459.9861111111111
AF,9999,,inc,100.0,503.27777777777777
AF,7176,1,con,95.83333333333334,766.5694444444445
AF,7176,1,inc,97.22222222222221,757.0972222222222
AF,7186,1,con,94.44444444444444,609.7361111111111
AF,7186,1,inc,97.22222222222221,617.9305555555555
AF,7188,1,con,91.66666666666666,498.0
AF,7188,1,inc,91.66666666666666,574.2083333333334
AF,7197,1,con,90.27777777777779,537.7361111111111
AF,7197,1,inc,88.88888888888889,644.5972222222222
AF,7201,1,con,98.61111111111111,649.5833333333334
AF,7201,1,inc,100.0,652.5972222222222
AF,7181,1,con,98.61111111111111,676.6666666666666
AF,7181,1,inc,95.83333333333334,682.5277777777778
AF,7215,1,con,87.5,528.2361111111111
AF,7215,1,inc,88.88888888888889,593.125
AF,7055,1,con,95.83333333333334,730.9305555555555
AF,7055,1,inc,94.44444444444444,756.8194444444445
AF,7208,1,con,95.83333333333334,703.2222222222222
AF,7208,1,inc,98.61111111111111,705.3472222222222
AF,7214,1,con,97.22222222222221,470.77777777777777
AF,7214,1,inc,98.61111111111111,535.0833333333334
AF,7219,1,con,91.66666666666666,556.8333333333334
AF,7219,1,inc,93.05555555555556,593.4722222222222
AF,7199,1,con,87.5,645.0875
AF,7199,1,inc,83.75,654.8125
AF,7171,1,con,98.61111111111111,568.9444444444445
AF,7171,1,inc,98.61111111111111,575.75
AF,7223,1,con,90.27777777777779,799.2638888888889
AF,7223,1,inc,95.83333333333334,825.9861111111111
AF,7700,1,con,98.61111111111111,976.1111111111111
AF,7700,1,inc,93.05555555555556,930.4722222222222
AF,7701,1,con,83.33333333333334,596.5138888888889
AF,7701,1,inc,90.27777777777779,613.5694444444445
AF,7703,1,con,92.5,669.625
AF,7703,1,inc,85.0,660.0375
AF,7231,1,con,95.83333333333334,608.6388888888889
AF,7231,1,inc,95.83333333333334,676.3472222222222
AF,7238,1,con,98.61111111111111,748.8888888888889
