dataset,site,subject,session,missing_task
int,NE,0,ses-1,ATS
int,NE,0,ses-1,DSST
int,NE,0,ses-1,FN
int,NE,0,ses-1,LC
int,NE,0,ses-1,NF
int,NE,0,ses-1,NNB
int,NE,0,ses-1,NTS
int,NE,0,ses-1,SM
int,NE,0,ses-1,VNB
int,NE,0,ses-33,DSST
int,NE,0,ses-33,DWL
int,NE,0,ses-33,FN
int,NE,0,ses-33,LC
int,NE,0,ses-33,NF
int,NE,0,ses-33,PC
int,NE,0,ses-33,SM
int,NE,0,ses-33,VNB
int,NE,00,ses-1,AF
int,NE,00,ses-1,ATS
int,NE,00,ses-1,DSST
int,NE,00,ses-1,DWL
int,NE,00,ses-1,FN
int,NE,00,ses-1,LC
int,NE,00,ses-1,NNB
int,NE,00,ses-1,NTS
int,NE,00,ses-1,PC
int,NE,00,ses-1,SM
int,NE,00,ses-1,VNB
int,NE,00,ses-1,WL
int,NE,00,ses-33,AF
int,NE,00,ses-33,ATS
int,NE,00,ses-33,DSST
int,NE,00,ses-33,DWL
int,NE,00,ses-33,FN
int,NE,00,ses-33,LC
int,NE,00,ses-33,NNB
int,NE,00,ses-33,NTS
int,NE,00,ses-33,PC
int,NE,00,ses-33,SM
int,NE,00,ses-33,VNB
int,NE,00,ses-33,WL
int,NE,1,ses-1,DSST
int,NE,1,ses-1,LC
int,NE,1,ses-1,SM
int,NE,1111,ses-1,AF
int,NE,1111,ses-1,ATS
int,NE,1111,ses-1,DSST
int,NE,1111,ses-1,DWL
int,NE,1111,ses-1,FN
int,NE,1111,ses-1,NNB
int,NE,1111,ses-1,NTS
int,NE,1111,ses-1,PC
int,NE,1111,ses-1,SM
int,NE,1111,ses-1,VNB
int,NE,1511,ses-1,AF
int,NE,1511,ses-1,ATS
int,NE,1511,ses-1,DSST
int,NE,1511,ses-1,DWL
int,NE,1511,ses-1,FN
int,NE,1511,ses-1,LC
int,NE,1511,ses-1,NNB
int,NE,1511,ses-1,PC
int,NE,1511,ses-1,SM
int,NE,1511,ses-1,VNB
int,NE,1511,ses-1,WL
int,NE,1538,ses-1,AF
int,NE,1538,ses-1,ATS
int,NE,1538,ses-1,DSST
int,NE,1538,ses-1,DWL
int,NE,1538,ses-1,FN
int,NE,1538,ses-1,LC
int,NE,1538,ses-1,NNB
int,NE,1538,ses-1,NTS
int,NE,1538,ses-1,PC
int,NE,1538,ses-1,SM
int,NE,1538,ses-1,VNB
int,NE,1538,ses-1,WL
int,NE,9005,ses-3,VNB
int,NE,9007,ses-1,WL
int,NE,9008,ses-1,SM
int,NE,9009,ses-2,DSST
int,NE,9009,ses-2,VNB
int,NE,9010,ses-3,NF
int,NE,9010,ses-3,NTS
int,NE,9013,ses-3,NNB
int,NE,9013,ses-2,VNB
int,NE,9015,ses-2,VNB
int,NE,9017,ses-3,LC
int,NE,9017,ses-3,VNB
int,NE,9019,ses-3,VNB
int,NE,9020,ses-1,NF
int,NE,9021,ses-1,VNB
int,NE,9021,ses-2,VNB
int,NE,9023,ses-1,VNB
int,NE,9024,ses-1,VNB
int,NE,9028,ses-2,NNB
int,NE,9028,ses-2,VNB
int,NE,9028,ses-1,VNB
int,NE,9029,ses-3,VNB
int,NE,9029,ses-1,NNB
int,NE,9029,ses-1,VNB
int,NE,9031,ses-3,NNB
int,NE,9031,ses-3,VNB
int,NE,9031,ses-2,VNB
int,NE,9033,ses-2,VNB
int,NE,9033,ses-1,DWL
int,NE,9033,ses-1,NNB
int,NE,9033,ses-1,NTS
int,NE,9033,ses-1,VNB
int,NE,9034,ses-1,VNB
int,NE,9035,ses-1,NNB
int,NE,9035,ses-1,VNB
int,NE,9035,ses-2,VNB
int,NE,9038,ses-1,VNB
int,NE,9045,ses-1,DSST
int,NE,9045,ses-2,VNB
int,NE,9047,ses-2,FN
int,NE,9049,ses-1,VNB
int,NE,9051,ses-2,NTS
int,NE,9051,ses-2,VNB
int,NE,9053,ses-1,ATS
int,NE,9053,ses-1,DSST
int,NE,9053,ses-1,DWL
int,NE,9053,ses-1,FN
int,NE,9053,ses-1,LC
int,NE,9053,ses-1,PC
int,NE,9053,ses-1,SM
int,NE,9053,ses-1,VNB
int,NE,9053,ses-1,WL
int,NE,9054,ses-2,VNB
int,NE,9057,ses-2,VNB
int,NE,9059,ses-2,VNB
int,NE,9064,ses-1,VNB
int,NE,9068,ses-1,VNB
int,NE,9070,ses-2,VNB
int,NE,9070,ses-1,DWL
int,NE,9070,ses-1,VNB
int,NE,9071,ses-1,VNB
int,NE,9073,ses-2,VNB
int,NE,9074,ses-2,VNB
int,NE,9077,ses-1,VNB
int,NE,9080,ses-1,VNB
int,NE,9082,ses-1,VNB
int,NE,9092,ses-1,VNB
int,UI,8004,ses-3,AF
int,UI,8005,ses-3,VNB
int,UI,8005,ses-2,NNB
int,UI,8005,ses-2,NTS
int,UI,8006,ses-3,DSST
int,UI,8006,ses-3,LC
int,UI,8006,ses-3,PC
int,UI,8007,ses-1,DSST
int,UI,8007,ses-1,DWL
int,UI,8007,ses-1,FN
int,UI,8007,ses-1,LC
int,UI,8007,ses-1,PC
int,UI,8007,ses-1,SM
int,UI,8008,ses-3,DWL
int,UI,8008,ses-2,NF
int,UI,8009,ses-3,DSST
int,UI,8009,ses-3,FN
int,UI,8009,ses-3,VNB
