task,subject_id,session,condition,count_correct,mean_rt,accuracy
FN,8052,1,1,67,1231.037037037037,82.71604938271605
FN,9019,1,1,74,1764.6543209876543,91.35802469135803
FN,8027,2,1,70,1402.1851851851852,86.41975308641975
FN,8027,2,2,8,1650.0,88.88888888888889
FN,9018,1,1,64,2033.9382716049383,79.01234567901234
FN,8048,1,1,70,1319.2716049382716,86.41975308641975
FN,8056,1,1,68,1202.7283950617284,83.9506172839506
FN,8039,2,1,74,1511.1728395061727,91.35802469135803
FN,8060,1,1,76,1312.111111111111,93.82716049382715
FN,8060,1,2,8,1519.3333333333333,88.88888888888889
FN,8047,2,1,68,1117.530864197531,83.9506172839506
FN,8011,3,1,70,1555.1975308641975,86.41975308641975
FN,8038,2,1,75,1737.1234567901236,92.5925925925926
FN,8046,2,1,59,1104.4197530864199,72.8395061728395
FN,8023,2,1,70,1743.0493827160494,86.41975308641975
FN,8037,2,1,69,1858.2592592592594,85.18518518518519
FN,9009,3,1,71,1435.9382716049383,87.65432098765432
FN,8054,2,1,68,1374.148148148148,83.9506172839506
FN,9024,2,1,66,1226.5432098765432,81.48148148148148
FN,9024,2,2,7,1781.2222222222222,77.77777777777779
FN,8051,2,1,69,1335.9753086419753,85.18518518518519
FN,8035,3,1,73,1577.469135802469,90.12345679012346
FN,8026,3,1,48,888.5925925925926,59.25925925925925
FN,7136,1,1,71,1576.9753086419753,87.65432098765432
FN,7158,1,1,75,1162.9135802469136,92.5925925925926
FN,7159,1,1,71,1270.9506172839506,87.65432098765432
FN,7166,1,1,70,1752.7530864197531,86.41975308641975
FN,7170,1,1,73,1794.9876543209878,90.12345679012346
FN,7170,1,2,9,1759.5555555555557,100.0
FN,7175,1,1,70,1328.3333333333333,86.41975308641975
FN,7176,1,1,63,1261.3950617283951,77.77777777777779
FN,7176,1,2,5,1952.4444444444443,55.55555555555556
FN,7186,1,1,70,1234.962962962963,86.41975308641975
FN,7188,1,1,68,1469.5061728395062,83.9506172839506
FN,7197,1,1,67,1192.962962962963,82.71604938271605
FN,7197,1,2,7,1388.5555555555557,77.77777777777779
FN,7201,1,1,62,1914.0493827160494,76.5432098765432
FN,7201,1,2,7,2187.222222222222,77.77777777777779
FN,7181,1,1,68,1533.1728395061727,83.9506172839506
FN,7215,1,1,73,1635.4074074074074,90.12345679012346
FN,7055,1,1,69,1369.888888888889,85.18518518518519
FN,7208,1,1,62,1591.8641975308642,76.5432098765432
FN,7208,1,2,9,1372.3333333333333,100.0
FN,7214,1,1,71,1663.0493827160494,87.65432098765432
FN,7219,1,1,66,1496.530864197531,81.48148148148148
FN,7199,1,1,72,1895.1604938271605,88.88888888888889
FN,7171,1,1,73,1429.8271604938273,90.12345679012346
FN,7223,1,1,67,1684.7037037037037,82.71604938271605
FN,7700,1,1,73,2047.4814814814815,90.12345679012346
FN,9020,1,1,65,2013.0987654320988,80.24691358024691
FN,9020,1,2,6,2282.3333333333335,66.66666666666666
FN,8003,3,1,65,1028.20987654321,80.24691358024691
FN,8003,3,2,6,1625.888888888889,66.66666666666666
FN,8035,2,1,73,1531.0864197530864,90.12345679012346
FN,8051,1,1,64,1116.5555555555557,79.01234567901234
FN,9021,1,1,69,1589.0246913580247,85.18518518518519
FN,9005,3,1,67,1253.9753086419753,82.71604938271605
FN,8053,2,1,68,1491.3333333333333,83.9506172839506
FN,8053,2,2,8,1387.6666666666667,88.88888888888889
FN,8040,2,1,71,1892.037037037037,87.65432098765432
FN,8050,2,1,76,1143.320987654321,93.82716049382715
FN,8019,3,1,73,1474.0617283950617,90.12345679012346
FN,8009,1,1,68,1402.716049382716,83.9506172839506
FN,8009,1,2,6,1241.0,66.66666666666666
FN,9010,2,1,67,1747.7037037037037,82.71604938271605
FN,9019,2,1,77,1680.8148148148148,95.06172839506173
FN,9017,2,1,74,1782.679012345679,91.35802469135803
FN,8036,1,1,69,1088.0864197530864,85.18518518518519
FN,8016,3,1,76,1613.0864197530864,93.82716049382715
FN,8014,3,1,74,1443.4197530864199,91.35802469135803
FN,8014,3,2,9,1306.3333333333333,100.0
FN,9013,3,1,73,1136.3333333333333,90.12345679012346
FN,8048,2,1,76,1659.1851851851852,93.82716049382715
FN,8060,2,1,73,1432.4814814814815,90.12345679012346
FN,8060,2,2,9,1293.3333333333333,100.0
FN,7165,1,1,76,1782.8024691358025,93.82716049382715
FN,7164,1,1,72,1643.851851851852,88.88888888888889
FN,7172,1,1,68,1655.0864197530864,83.9506172839506
FN,7172,1,2,6,1499.2222222222222,66.66666666666666
FN,7147,1,1,61,1430.8765432098764,75.30864197530865
FN,7147,1,2,5,2052.3333333333335,55.55555555555556
FN,7174,1,1,64,910.6666666666666,79.01234567901234
FN,7180,1,1,73,1798.4938271604938,90.12345679012346
FN,7177,1,1,71,1795.2222222222222,87.65432098765432
FN,7177,1,2,9,1844.2222222222222,100.0
FN,7192,1,1,72,1369.8641975308642,88.88888888888889
FN,7191,1,1,68,1655.2592592592594,83.9506172839506
FN,7191,1,2,8,1840.4444444444443,88.88888888888889
FN,7183,1,1,65,1297.5061728395062,80.24691358024691
FN,7183,1,2,8,1707.888888888889,88.88888888888889
FN,7190,1,1,69,1743.283950617284,85.18518518518519
FN,7194,1,1,68,1573.8271604938273,83.9506172839506
FN,7203,1,1,68,1324.2592592592594,83.9506172839506
FN,7206,1,1,65,1649.148148148148,80.24691358024691
FN,7206,1,2,9,1426.0,100.0
FN,7207,1,1,71,1141.2962962962963,87.65432098765432
FN,7216,1,1,68,1700.2592592592594,83.9506172839506
FN,7216,1,2,8,1483.4444444444443,88.88888888888889
FN,7212,1,1,66,1764.2592592592594,81.48148148148148
FN,7212,1,2,8,1842.4444444444443,88.88888888888889
FN,7195,1,1,66,1057.5555555555557,81.48148148148148
FN,7213,1,1,72,1363.6172839506173,88.88888888888889
FN,7225,1,1,70,1320.1851851851852,86.41975308641975
FN,7225,1,2,8,1357.0,88.88888888888889
FN,8046,1,1,62,1176.6172839506173,76.5432098765432
FN,8024,2,1,69,1642.9259259259259,85.18518518518519
FN,8054,1,1,71,1445.8765432098764,87.65432098765432
FN,8053,1,1,68,1497.5185185185185,83.9506172839506
FN,8053,1,2,9,1562.6666666666667,100.0
FN,9013,2,1,73,1749.567901234568,90.12345679012346
FN,9023,1,1,76,1677.6049382716049,93.82716049382715
FN,9023,1,2,8,1518.5555555555557,88.88888888888889
FN,9024,1,1,66,1332.2345679012346,81.48148148148148
FN,9015,2,1,69,1093.6543209876543,85.18518518518519
FN,8020,3,1,71,1920.5802469135801,87.65432098765432
FN,8020,3,2,8,2409.4444444444443,88.88888888888889
FN,8061,1,1,69,2229.0,85.18518518518519
FN,8031,3,1,68,1192.9382716049383,83.9506172839506
FN,8017,3,1,77,1153.9506172839506,95.06172839506173
FN,8036,2,1,65,1949.7777777777778,80.24691358024691
FN,8032,2,1,72,1495.6543209876543,88.88888888888889
FN,8052,2,1,68,1014.5185185185185,83.9506172839506
FN,8022,3,1,70,1631.358024691358,86.41975308641975
FN,8030,3,1,69,1589.0617283950617,85.18518518518519
FN,9021,2,1,70,1810.1728395061727,86.41975308641975
FN,8058,1,1,64,1483.3333333333333,79.01234567901234
FN,8058,1,2,8,1384.3333333333333,88.88888888888889
FN,8065,1,1,70,1179.3950617283951,86.41975308641975
FN,8012,3,1,70,1543.9506172839506,86.41975308641975
FN,8056,2,1,69,1215.358024691358,85.18518518518519
FN,7155,1,1,67,1174.0864197530864,82.71604938271605
FN,7155,1,2,3,2703.1111111111113,33.33333333333333
FN,7155,1,3,8,1711.888888888889,88.88888888888889
FN,7160,1,1,70,1447.679012345679,86.41975308641975
FN,7160,1,2,7,1568.4444444444443,77.77777777777779
FN,7161,1,1,73,2156.8395061728397,90.12345679012346
FN,7161,1,2,7,1999.6666666666667,77.77777777777779
FN,7168,1,1,66,1359.2962962962963,81.48148148148148
FN,7168,1,2,6,1365.6666666666667,66.66666666666666
FN,7167,1,1,72,1562.8148148148148,88.88888888888889
FN,7178,1,1,65,1655.0,80.24691358024691
FN,7178,1,2,8,1557.6666666666667,88.88888888888889
FN,7182,1,1,62,1158.5432098765432,76.5432098765432
FN,7182,1,2,8,1388.0,88.88888888888889
FN,7198,1,1,62,1485.320987654321,76.5432098765432
FN,7198,1,2,7,1774.2222222222222,77.77777777777779
FN,7173,1,1,61,1625.5432098765432,75.30864197530865
FN,7187,1,1,72,1624.2345679012346,88.88888888888889
FN,7196,1,1,64,1865.432098765432,79.01234567901234
FN,7200,1,1,72,1255.962962962963,88.88888888888889
FN,7211,1,1,68,1498.8765432098764,83.9506172839506
FN,7209,1,1,67,1143.8148148148148,82.71604938271605
FN,7204,1,1,65,1267.9876543209878,80.24691358024691
FN,7218,1,1,67,1433.5061728395062,82.71604938271605
FN,7221,1,1,77,1380.6172839506173,95.06172839506173
FN,7202,1,1,73,1267.0987654320988,90.12345679012346
SM,8052,1,1,69,1422.5795454545455,78.4090909090909
SM,9019,1,1,69,1339.2386363636363,78.4090909090909
SM,8027,2,1,62,1396.9545454545455,70.45454545454545
SM,9018,1,1,63,1351.2386363636363,71.5909090909091
SM,8048,1,1,75,1204.5227272727273,85.22727272727273
SM,8056,1,1,56,1570.340909090909,63.63636363636363
SM,8039,2,1,73,1167.1136363636363,82.95454545454545
SM,8060,1,1,76,1323.6818181818182,86.36363636363636
SM,8047,2,1,74,1348.3977272727273,84.0909090909091
SM,8011,3,1,73,1130.3522727272727,82.95454545454545
SM,8038,2,1,67,1396.0113636363637,76.13636363636364
SM,8046,2,1,79,1210.9772727272727,89.77272727272727
SM,8023,2,1,60,1568.6931818181818,68.18181818181817
SM,8037,2,1,67,1429.409090909091,76.13636363636364
SM,9009,3,1,78,1310.909090909091,88.63636363636364
SM,8054,2,1,70,1223.4318181818182,79.54545454545455
SM,9024,2,1,49,1489.7272727272727,55.68181818181818
SM,9024,2,2,6,1268.25,75.0
SM,8051,2,1,62,1365.5,70.45454545454545
SM,8035,3,1,72,1352.7954545454545,81.81818181818183
SM,8026,3,1,75,1202.6818181818182,85.22727272727273
SM,7136,1,1,48,1555.9545454545455,54.54545454545454
SM,7136,1,2,3,1632.75,37.5
SM,7158,1,1,64,1194.75,72.72727272727273
SM,7159,1,1,67,1532.034090909091,76.13636363636364
SM,7159,1,2,8,1555.375,100.0
SM,7166,1,1,39,1746.590909090909,44.31818181818182
SM,7170,1,1,54,1467.659090909091,61.36363636363637
SM,7170,1,2,5,1330.375,62.5
SM,7175,1,1,63,1479.8295454545455,71.5909090909091
SM,7176,1,1,59,1411.4772727272727,67.04545454545455
SM,7176,1,2,5,1454.75,62.5
SM,7186,1,1,67,1543.7272727272727,76.13636363636364
SM,7188,1,1,55,1553.7613636363637,62.5
SM,7197,1,1,71,1437.9318181818182,80.68181818181817
SM,7201,1,1,51,1710.6136363636363,57.95454545454546
SM,7201,1,2,4,1705.0,50.0
SM,7181,1,1,73,1297.3977272727273,82.95454545454545
SM,7215,1,1,65,1429.5227272727273,73.86363636363636
SM,7055,1,1,56,1494.4431818181818,63.63636363636363
SM,7208,1,1,75,1311.9204545454545,85.22727272727273
SM,7214,1,1,68,1263.625,77.27272727272727
SM,7219,1,1,45,1523.034090909091,51.13636363636363
SM,7199,1,1,64,1588.9431818181818,72.72727272727273
SM,7171,1,1,77,1099.8863636363637,87.5
SM,7223,1,1,51,1308.9204545454545,57.95454545454546
SM,7700,1,1,66,1605.7045454545455,75.0
SM,9020,1,1,54,1537.1818181818182,61.36363636363637
SM,9020,1,2,4,1427.75,50.0
SM,8003,3,1,66,1455.6477272727273,75.0
SM,8035,2,1,69,1381.090909090909,78.4090909090909
SM,8051,1,1,51,1306.659090909091,57.95454545454546
SM,9021,1,1,53,1606.034090909091,60.22727272727273
SM,9005,3,1,70,1290.9318181818182,79.54545454545455
SM,8053,2,1,68,1254.8863636363637,77.27272727272727
